station,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
US1CASK0004,33.7,0.0,25.6,57.2,18.1,28.0,0.0,0.0,5.3,0.0,36.3,225.1
US1CABT0009,2.8,0.0,23.3,26.4,0.8,10.2,0.0,0.0,50.9,0.0,47.5,166.3
USC00041428,2.3,0.0,29.0,89.4,0.0,6.6,0.0,0.0,13.0,0.3,48.6,304.0
US1CAAM0013,1.0,0.0,9.1,81.3,0.0,5.0,0.3,0.3,15.0,0.0,72.5,346.1
US1CASJ0017,1.0,1.3,16.3,43.0,0.0,0.0,0.0,0.0,2.6,0.0,38.9,252.5
US1CASJ0017,1.0,1.3,16.3,43.0,0.0,0.0,0.0,0.0,2.6,0.0,38.9,252.5
US1CAST0005,3.6,4.6,19.4,20.0,0.0,0.5,0.0,1.0,1.4,0.8,55.0,154.0
USW00093209,5.6,0.8,28.2,5.6,0.0,0.0,0.0,0.0,9.7,0.0,18.0,140.7
USW00093209,5.6,0.8,28.2,5.6,0.0,0.0,0.0,0.0,9.7,0.0,18.0,140.7
USC00046675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1,114.2
US1CASH0010,72.4,0.5,34.1,94.5,6.1,22.2,0.5,0.0,21.6,0.0,78.4,328.4
US1CASH0057,6.1,0.0,11.6,52.8,2.8,12.2,0.0,0.0,25.4,0.0,75.0,199.0
US1CASH0051,21.1,0.3,21.0,71.7,5.0,31.0,0.0,0.3,28.8,0.0,76.2,232.1
US1CABT0032,12.2,0.8,52.1,52.1,0.3,28.4,0.0,0.0,32.3,0.0,84.7,229.4
USC00046521,21.1,0.0,31.8,55.2,8.9,20.3,0.0,0.0,54.4,0.0,56.4,245.5
US1CARV0065,4.1,25.6,36.7,11.5,0.8,1.5,0.0,0.3,9.4,11.3,64.1,38.9
US1CARV0065,4.1,25.6,36.7,11.5,0.8,1.5,0.0,0.3,9.4,11.3,64.1,38.9
USC00047306,7.9,8.6,18.1,7.1,1.0,0.5,0.0,0.0,18.6,11.9,39.6,27.1
US1CARV0034,1.5,10.5,19.1,2.0,1.0,0.0,0.0,0.0,37.9,10.2,34.9,38.6
US1CARV0058,0.0,18.7,21.4,5.6,0.0,0.0,0.0,0.5,40.4,9.6,47.0,14.6
US1CABT0026,3.6,0.0,21.3,33.8,6.9,34.6,0.0,0.5,57.8,0.0,48.8,199.7
US1CATY0039,40.2,5.6,23.7,90.4,32.4,16.5,0.0,0.0,48.0,0.8,81.7,218.2
US1CABT0009,2.8,0.0,23.3,26.4,0.8,10.2,0.0,0.0,50.9,0.0,47.5,166.3
US1CAED0003,7.9,5.6,31.9,130.7,2.3,7.1,0.0,3.3,23.1,0.0,62.6,368.7
USC00046657,11.5,46.0,82.5,14.0,0.0,0.0,0.0,31.6,39.7,18.0,187.5,74.2
US1CAAM0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,123.0,452.5
US1CABT0005,9.1,0.8,36.5,72.6,12.0,31.5,0.0,0.0,40.9,0.0,90.2,277.2
USC00041244,0.0,0.0,7.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10.9,21.8
USW00023155,0.3,2.8,34.0,10.0,0.0,0.3,0.0,0.0,0.0,0.0,16.8,43.0
USC00040332,1.3,1.3,17.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00044534,0.0,0.0,32.5,0.8,0.0,0.0,0.0,0.0,27.2,0.0,0.0,2.0
USC00044534,0.0,0.0,32.5,0.8,0.0,0.0,0.0,0.0,27.2,0.0,0.0,2.0
USC00042346,0.0,0.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.5,35.4
USC00046154,2.8,2.5,21.8,4.8,0.0,0.0,0.3,0.0,4.9,0.0,20.9,56.3
US1CAKN0026,0.0,3.3,11.9,8.9,0.0,10.2,0.0,1.5,17.1,0.0,38.7,72.6
USC00040332,1.3,1.3,17.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00046154,2.8,2.5,21.8,4.8,0.0,0.0,0.3,0.0,4.9,0.0,20.9,56.3
USC00048122,0.0,2.0,32.0,11.9,0.0,0.8,1.5,0.0,0.0,0.0,0.0,21.6
USC00041244,0.0,0.0,7.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10.9,21.8
USC00044534,0.0,0.0,32.5,0.8,0.0,0.0,0.0,0.0,27.2,0.0,0.0,2.0
USC00048122,0.0,2.0,32.0,11.9,0.0,0.8,1.5,0.0,0.0,0.0,0.0,21.6
USC00041244,0.0,0.0,7.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10.9,21.8
USC00048407,0.0,0.0,3.9,3.8,0.0,2.5,0.0,0.0,0.0,0.0,8.9,78.7
USC00044534,0.0,0.0,32.5,0.8,0.0,0.0,0.0,0.0,27.2,0.0,0.0,2.0
USC00048829,0.8,4.1,30.2,21.4,0.0,28.4,0.0,24.1,24.1,0.0,34.3,55.1
USC00046154,2.8,2.5,21.8,4.8,0.0,0.0,0.3,0.0,4.9,0.0,20.9,56.3
USC00048122,0.0,2.0,32.0,11.9,0.0,0.8,1.5,0.0,0.0,0.0,0.0,21.6
USC00048829,0.8,4.1,30.2,21.4,0.0,28.4,0.0,24.1,24.1,0.0,34.3,55.1
USW00023155,0.3,2.8,34.0,10.0,0.0,0.3,0.0,0.0,0.0,0.0,16.8,43.0
US1CAKN0031,1.0,19.9,34.1,23.6,0.0,8.6,0.5,1.5,9.7,2.0,32.8,67.3
USC00040332,1.3,1.3,17.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00041244,0.0,0.0,7.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10.9,21.8
USC00044863,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00040332,1.3,1.3,17.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
US1CAKN0013,0.3,3.1,3.3,3.8,0.0,7.6,0.0,8.6,0.0,7.9,29.0,51.2
US1CAKN0031,1.0,19.9,34.1,23.6,0.0,8.6,0.5,1.5,9.7,2.0,32.8,67.3
USC00044863,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00040332,1.3,1.3,17.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00023155,0.3,2.8,34.0,10.0,0.0,0.3,0.0,0.0,0.0,0.0,16.8,43.0
USC00044863,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00041244,0.0,0.0,7.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10.9,21.8
USC00048829,0.8,4.1,30.2,21.4,0.0,28.4,0.0,24.1,24.1,0.0,34.3,55.1
US1CAKN0031,1.0,19.9,34.1,23.6,0.0,8.6,0.5,1.5,9.7,2.0,32.8,67.3
USC00040332,1.3,1.3,17.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
US1CAKN0031,1.0,19.9,34.1,23.6,0.0,8.6,0.5,1.5,9.7,2.0,32.8,67.3
USC00048829,0.8,4.1,30.2,21.4,0.0,28.4,0.0,24.1,24.1,0.0,34.3,55.1
USC00041244,0.0,0.0,7.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10.9,21.8
USC00040332,1.3,1.3,17.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00044534,0.0,0.0,32.5,0.8,0.0,0.0,0.0,0.0,27.2,0.0,0.0,2.0
US1CAKN0031,1.0,19.9,34.1,23.6,0.0,8.6,0.5,1.5,9.7,2.0,32.8,67.3
USC00048122,0.0,2.0,32.0,11.9,0.0,0.8,1.5,0.0,0.0,0.0,0.0,21.6
US1CAKN0031,1.0,19.9,34.1,23.6,0.0,8.6,0.5,1.5,9.7,2.0,32.8,67.3
US1CAKN0031,1.0,19.9,34.1,23.6,0.0,8.6,0.5,1.5,9.7,2.0,32.8,67.3
USC00040332,1.3,1.3,17.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00023155,0.3,2.8,34.0,10.0,0.0,0.3,0.0,0.0,0.0,0.0,16.8,43.0
USW00023155,0.3,2.8,34.0,10.0,0.0,0.3,0.0,0.0,0.0,0.0,16.8,43.0
USC00044534,0.0,0.0,32.5,0.8,0.0,0.0,0.0,0.0,27.2,0.0,0.0,2.0
USC00048839,5.6,7.3,53.0,15.5,0.0,0.0,0.0,0.0,8.6,0.0,16.1,0.0
USC00041244,0.0,0.0,7.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10.9,21.8
USC00046154,2.8,2.5,21.8,4.8,0.0,0.0,0.3,0.0,4.9,0.0,20.9,56.3
USC00044534,0.0,0.0,32.5,0.8,0.0,0.0,0.0,0.0,27.2,0.0,0.0,2.0
USC00045100,0.0,0.0,17.4,11.7,0.0,0.0,0.0,16.5,31.8,0.0,55.3,54.8
USW00023155,0.3,2.8,34.0,10.0,0.0,0.3,0.0,0.0,0.0,0.0,16.8,43.0
USC00041244,0.0,0.0,7.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10.9,21.8
USC00048122,0.0,2.0,32.0,11.9,0.0,0.8,1.5,0.0,0.0,0.0,0.0,21.6
USC00041244,0.0,0.0,7.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10.9,21.8
USC00041244,0.0,0.0,7.5,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10.9,21.8
USW00023155,0.3,2.8,34.0,10.0,0.0,0.3,0.0,0.0,0.0,0.0,16.8,43.0
USW00023155,0.3,2.8,34.0,10.0,0.0,0.3,0.0,0.0,0.0,0.0,16.8,43.0
USW00023155,0.3,2.8,34.0,10.0,0.0,0.3,0.0,0.0,0.0,0.0,16.8,43.0
USW00023155,0.3,2.8,34.0,10.0,0.0,0.3,0.0,0.0,0.0,0.0,16.8,43.0
USW00023155,0.3,2.8,34.0,10.0,0.0,0.3,0.0,0.0,0.0,0.0,16.8,43.0
USC00046154,2.8,2.5,21.8,4.8,0.0,0.0,0.3,0.0,4.9,0.0,20.9,56.3
USC00047681,4.1,9.4,46.8,7.4,0.0,0.0,0.0,0.0,66.1,1.8,37.8,158.1
US1CASB0007,8.9,2.8,43.4,10.2,0.0,0.0,0.0,0.0,6.4,0.0,42.0,140.0
