station,2021-12-23
US1CAAL0001,35.8
US1CAAL0003,30.2
US1CAAL0004,14.7
US1CAAL0006,28.7
US1CAAL0011,28.7
US1CAAL0012,21.1
US1CAAL0024,11.9
US1CAAL0030,37.8
US1CAAL0034,22.4
US1CAAL0039,20.8
US1CAAL0050,24.9
US1CAAL0052,24.4
US1CAAL0053,35.6
US1CAAM0009,47.0
US1CAAM0011,31.0
US1CAAM0013,13.0
US1CAAM0016,16.8
US1CAAM0017,14.7
US1CABT0005,26.4
US1CABT0008,12.2
US1CABT0009,10.9
US1CABT0013,28.4
US1CABT0015,17.3
US1CABT0019,13.0
US1CABT0026,10.9
US1CABT0032,29.0
US1CABT0033,18.5
US1CACC0001,25.9
US1CACC0004,39.9
US1CACC0006,37.1
US1CACC0010,38.6
US1CACC0011,29.2
US1CACC0012,18.8
US1CACC0018,29.7
US1CACC0025,39.6
US1CACC0028,21.8
US1CACC0031,15.7
US1CACC0036,10.2
US1CACC0037,22.9
US1CACC0040,32.0
US1CACC0045,38.9
US1CACC0046,18.0
US1CACC0050,21.3
US1CACL0001,3.8
US1CACV0011,26.4
US1CACV0012,57.9
US1CADN0001,28.4
US1CADN0005,23.1
US1CADN0006,21.8
US1CADN0007,21.6
US1CADN0008,21.3
US1CADN0011,17.3
US1CADN0015,22.1
US1CADN0016,71.4
US1CADN0017,22.6
US1CAED0003,25.9
US1CAED0010,39.1
US1CAED0020,38.1
US1CAED0023,22.6
US1CAED0027,17.8
US1CAED0029,43.2
US1CAED0032,16.5
US1CAED0033,47.2
US1CAED0036,40.1
US1CAFR0002,15.0
US1CAFR0008,13.7
US1CAFR0021,12.2
US1CAFR0022,10.2
US1CAFR0025,14.7
US1CAFR0026,11.4
US1CAFR0030,11.7
US1CAFR0031,12.4
US1CAFR0033,14.5
US1CAFR0034,10.4
US1CAHM0001,18.8
US1CAHM0004,22.4
US1CAHM0005,22.1
US1CAHM0006,8.1
US1CAHM0007,34.3
US1CAHM0009,15.2
US1CAHM0012,14.5
US1CAHM0022,24.1
US1CAHM0026,27.9
US1CAHM0030,28.2
US1CAHM0031,29.2
US1CAHM0035,24.4
US1CAHM0037,22.9
US1CAHM0038,22.9
US1CAHM0039,24.4
US1CAHM0041,17.0
US1CAHM0044,37.3
US1CAHM0046,13.5
US1CAHM0051,15.5
US1CAHM0060,11.9
US1CAHM0063,19.6
US1CAHM0066,55.9
US1CAHM0070,107.7
US1CAHM0073,25.9
US1CAHM0078,27.7
US1CAHM0079,34.8
US1CAHM0084,19.6
US1CAHM0087,16.5
US1CAHM0088,23.4
US1CAHM0089,25.4
US1CAHM0091,61.0
US1CAHM0092,12.2
US1CAHM0093,26.2
US1CAHM0094,17.0
US1CAHM0095,15.7
US1CAHM0097,15.7
US1CAHM0102,20.1
US1CAHM0103,54.6
US1CAHM0104,19.3
US1CAHM0111,16.5
US1CAHM0114,21.8
US1CAIM0002,0.0
US1CAIN0004,0.3
US1CAIN0005,1.8
US1CAIN0007,0.8
US1CAIN0008,0.0
US1CAIN0013,0.5
US1CAKG0003,8.4
US1CAKG0004,7.4
US1CAKN0001,1.3
US1CAKN0013,13.2
US1CAKN0017,8.4
US1CAKN0022,4.1
US1CAKN0026,9.7
US1CAKN0031,9.9
US1CALA0001,1.5
US1CALA0003,1.0
US1CALA0005,2.3
US1CALA0010,0.0
US1CALA0014,3.0
US1CALA0023,1.5
US1CALA0036,28.2
US1CALA0043,1.8
