station,2021-03-06
US1CAAL0001,6.9
US1CAAL0003,7.9
US1CAAL0004,4.6
US1CAAL0006,7.6
US1CAAL0011,6.1
US1CAAL0012,4.1
US1CAAL0024,5.1
US1CAAL0025,4.3
US1CAAL0030,6.1
US1CAAL0034,5.8
US1CAAL0039,5.1
US1CAAL0050,4.1
US1CAAL0052,5.1
US1CAAL0053,7.9
US1CAAM0007,13.0
US1CAAM0009,11.9
US1CAAM0011,7.9
US1CAAM0016,6.6
US1CABT0005,6.6
US1CABT0008,7.4
US1CABT0009,8.1
US1CABT0015,8.1
US1CABT0019,6.9
US1CABT0026,6.4
US1CABT0032,7.1
US1CABT0033,6.4
US1CACC0001,7.4
US1CACC0004,5.3
US1CACC0006,9.1
US1CACC0011,7.1
US1CACC0012,3.0
US1CACC0018,5.1
US1CACC0025,6.4
US1CACC0028,6.9
US1CACC0031,5.3
US1CACC0036,0.5
US1CACC0037,5.1
US1CACC0040,7.1
US1CACC0045,5.3
US1CACC0046,4.1
US1CACC0047,4.1
US1CACL0001,6.4
US1CACV0011,3.6
US1CADN0001,74.2
US1CADN0005,79.2
US1CADN0006,85.9
US1CADN0007,83.8
US1CADN0008,77.0
US1CADN0011,61.2
US1CADN0015,71.9
US1CADN0017,61.0
US1CAED0003,8.4
US1CAED0010,8.6
US1CAED0017,10.2
US1CAED0020,8.9
US1CAED0023,5.6
US1CAED0027,11.4
US1CAED0029,9.1
US1CAED0032,8.6
US1CAED0033,6.4
US1CAFR0002,0.0
US1CAFR0008,0.0
US1CAFR0014,0.0
US1CAFR0026,0.0
US1CAFR0031,0.0
US1CAFR0034,0.0
US1CAHM0001,52.8
US1CAHM0004,55.6
US1CAHM0005,45.7
US1CAHM0006,62.5
US1CAHM0007,84.8
US1CAHM0009,61.2
US1CAHM0012,39.9
US1CAHM0014,40.6
US1CAHM0022,32.5
US1CAHM0026,45.0
US1CAHM0029,38.1
US1CAHM0030,33.0
US1CAHM0031,35.8
US1CAHM0032,36.8
US1CAHM0034,48.3
US1CAHM0035,45.7
US1CAHM0037,54.6
US1CAHM0038,43.9
US1CAHM0039,42.2
US1CAHM0041,49.5
US1CAHM0044,37.1
US1CAHM0046,62.5
US1CAHM0048,32.3
US1CAHM0051,60.2
US1CAHM0054,49.5
US1CAHM0060,61.7
US1CAHM0063,45.7
US1CAHM0065,52.6
US1CAHM0066,47.8
US1CAHM0070,93.7
US1CAHM0073,89.4
US1CAHM0074,47.8
US1CAHM0075,56.1
US1CAHM0077,39.6
US1CAHM0078,31.5
US1CAHM0079,37.8
US1CAHM0084,41.9
US1CAHM0086,55.1
US1CAHM0087,49.5
US1CAHM0088,49.8
US1CAHM0089,46.7
US1CAHM0091,42.7
US1CAHM0092,46.7
US1CAHM0093,33.0
US1CAHM0094,35.6
US1CAHM0095,85.9
US1CAHM0097,56.1
US1CAHM0098,52.6
US1CAHM0099,50.3
US1CAHM0102,42.2
US1CAHM0103,27.7
US1CAHM0104,38.1
US1CAHM0111,39.1
US1CAIN0004,0.0
US1CAIN0008,0.0
US1CAIN0012,0.0
US1CAIN0013,0.0
US1CAKG0003,0.0
US1CAKG0004,0.0
US1CAKG0005,0.0
US1CAKN0001,0.0
US1CAKN0013,0.0
US1CAKN0017,0.0
US1CAKN0022,0.0
US1CAKN0026,0.0
US1CAKN0031,0.0
US1CAKN0034,0.0
US1CALA0001,0.0
US1CALA0003,0.0
US1CALA0005,0.0
US1CALA0010,0.0
US1CALA0014,0.0
US1CALA0021,0.0
US1CALA0023,0.0
US1CALA0036,0.0
US1CALA0043,0.0
US1CALA0048,0.0
US1CALA0064,0.0
US1CALA0068,0.0
US1CALA0077,0.0
US1CALA0081,0.0
US1CALA0089,0.0
US1CALA0090,0.0
US1CALA0091,0.0
US1CALA0092,0.0
US1CALA0096,0.0
US1CALA0104,0.0
US1CALA0108,0.0
US1CALA0112,0.0
US1CALK0004,9.4
US1CALK0006,16.3
US1CALK0009,25.7
US1CALK0014,9.9
US1CALK0017,9.1
US1CALS0001,9.7
