station,2019-01-18
US1CAAL0001,13.2
US1CAAL0003,1.0
US1CAAL0004,6.9
US1CAAL0006,12.7
US1CAAL0011,5.6
US1CAAL0012,3.8
US1CAAL0018,8.4
US1CAAL0024,6.6
US1CAAL0025,5.3
US1CAAL0030,5.6
US1CAAL0039,2.3
US1CAAL0045,13.5
US1CAAM0002,23.4
US1CAAM0009,20.1
US1CAAM0011,12.4
US1CAAM0013,1.3
US1CABT0002,4.8
US1CABT0005,9.1
US1CABT0009,6.9
US1CABT0012,7.1
US1CABT0013,6.6
US1CABT0015,3.6
US1CABT0017,9.1
US1CABT0026,6.9
US1CABT0032,7.1
US1CABT0033,6.6
US1CACC0001,6.6
US1CACC0004,21.1
US1CACC0006,13.7
US1CACC0010,17.8
US1CACC0011,8.6
US1CACC0012,9.1
US1CACC0016,8.9
US1CACC0018,20.6
US1CACC0025,14.0
US1CACC0027,3.3
US1CACC0028,3.0
US1CACC0031,14.5
US1CACC0035,1.8
US1CACC0036,3.8
US1CACC0037,7.4
US1CACC0040,7.1
US1CACC0041,6.9
US1CACL0001,2.3
US1CADN0001,18.8
US1CADN0005,20.1
US1CADN0006,15.2
US1CADN0007,18.0
US1CADN0008,18.5
US1CADN0011,28.4
US1CAED0003,9.1
US1CAED0010,13.7
US1CAED0011,38.9
US1CAED0012,23.6
US1CAED0017,16.8
US1CAED0020,15.2
US1CAED0021,12.7
US1CAED0023,7.1
US1CAED0027,21.8
US1CAED0029,11.9
US1CAFR0002,21.1
US1CAFR0006,2.0
US1CAFR0009,26.9
US1CAFR0014,3.3
US1CAFR0021,4.3
US1CAFR0022,5.1
US1CAFR0025,23.1
US1CAFR0026,5.1
US1CAFR0027,2.0
US1CAFR0030,18.3
US1CAFR0031,20.1
US1CAHM0001,13.7
US1CAHM0004,11.2
US1CAHM0005,18.5
US1CAHM0006,13.5
US1CAHM0007,6.6
US1CAHM0009,16.5
US1CAHM0012,6.1
US1CAHM0014,18.3
US1CAHM0016,29.7
US1CAHM0020,10.7
US1CAHM0022,20.6
US1CAHM0026,9.7
US1CAHM0029,5.8
US1CAHM0030,16.0
US1CAHM0031,17.3
US1CAHM0034,35.6
US1CAHM0035,30.7
US1CAHM0037,13.5
US1CAHM0038,27.7
US1CAHM0039,15.0
US1CAHM0041,33.0
US1CAHM0044,14.0
US1CAHM0046,10.9
US1CAHM0048,22.9
US1CAHM0051,22.4
US1CAHM0052,14.2
US1CAHM0060,10.7
US1CAHM0063,10.2
US1CAHM0066,12.2
US1CAHM0070,21.1
US1CAHM0073,3.0
US1CAHM0074,26.4
US1CAHM0075,4.3
US1CAHM0078,14.0
US1CAHM0079,10.2
US1CAHM0081,40.6
US1CAIN0004,1.3
US1CAIN0005,3.8
US1CAIN0007,2.8
US1CAIN0008,8.6
US1CAIN0010,3.3
US1CAIN0012,2.8
US1CAIN0013,1.8
US1CAKG0001,0.5
US1CAKG0003,0.3
US1CAKG0004,0.3
US1CAKG0005,0.0
US1CAKN0001,13.5
US1CAKN0013,7.9
US1CAKN0017,2.0
US1CAKN0022,3.0
US1CAKN0026,15.7
US1CAKN0031,15.0
US1CALA0001,6.1
US1CALA0002,9.7
US1CALA0003,8.6
US1CALA0005,30.2
US1CALA0010,31.2
US1CALA0014,10.7
US1CALA0021,36.6
US1CALA0023,6.6
US1CALA0031,4.6
US1CALA0036,0.0
US1CALA0038,11.4
US1CALA0039,4.8
US1CALA0043,31.8
US1CALA0044,3.8
US1CALA0046,14.7
US1CALA0048,5.1
US1CALA0054,5.6
US1CALA0057,16.3
US1CALA0059,30.0
US1CALA0060,22.6
US1CALA0063,29.2
US1CALA0064,18.3
US1CALA0066,8.9
US1CALA0067,17.0
US1CALA0068,8.4
US1CALA0075,19.1
US1CALA0077,4.3
US1CALA0078,5.1
US1CALA0081,46.7
US1CALA0083,0.5
US1CALA0085,17.8
US1CALA0087,6.1
US1CALA0089,20.1
US1CALA0090,44.7
US1CALK0004,9.4
US1CALK0006,24.1
US1CALK0009,14.0
US1CALS0001,12.4
US1CALS0002,1.0
US1CALS0006,12.7
US1CAMA0002,32.3
US1CAMA0003,14.7
US1CAMA0004,11.7
US1CAMA0007,21.8
US1CAMA0008,1.3
US1CAMA0009,2.5
US1CAMA0011,3.0
US1CAMD0001,16.3
US1CAMD0003,5.6
US1CAMD0005,2.3
US1CAMD0007,13.7
US1CAMD0009,11.7
US1CAMD0014,11.9
US1CAMD0017,21.3
US1CAMD0021,15.7
US1CAMD0022,14.7
US1CAMD0026,8.1
US1CAMD0029,4.8
US1CAMD0030,6.4
US1CAMD0033,6.9
US1CAMD0034,2.5
US1CAMD0036,3.6
US1CAMD0037,24.1
US1CAME0004,0.8
US1CAMN0004,16.0
US1CAMP0002,10.2
US1CAMP0003,5.1
US1CAMP0004,8.9
US1CAMP0008,3.8
US1CAMP0009,8.1
US1CAMR0005,1.5
US1CAMR0007,0.5
US1CAMR0009,0.8
US1CAMR0011,2.0
US1CAMR0013,16.5
US1CAMR0016,8.6
US1CAMR0025,0.5
US1CAMR0026,0.8
US1CAMR0029,1.0
US1CAMR0030,1.0
US1CAMR0031,0.5
US1CAMR0032,1.5
US1CAMR0035,1.0
US1CAMR0037,3.0
US1CAMR0040,1.5
US1CAMR0049,1.3
US1CAMT0003,0.0
US1CAMT0006,0.0
US1CAMT0009,3.8
US1CAMT0017,0.0
US1CAMT0019,2.0
US1CAMT0020,0.3
US1CAMT0021,1.8
US1CAMT0023,7.1
US1CAMT0025,1.5
US1CAMT0027,8.1
US1CAMT0029,0.3
US1CAMT0033,0.0
US1CAMT0036,1.3
US1CAMT0041,0.0
US1CAMT0042,5.1
US1CAMT0043,5.6
US1CAMT0046,0.0
US1CAMT0048,1.0
US1CANP0003,17.0
US1CANP0010,4.6
US1CANP0014,5.1
US1CANV0001,12.4
US1CANV0014,14.5
US1CANV0016,17.5
US1CANV0022,13.7
US1CANV0035,17.8
US1CANV0036,14.5
US1CANV0041,17.0
US1CANV0042,15.7
US1CAOR0001,19.6
US1CAOR0006,45.7
US1CAOR0015,10.2
US1CAOR0016,10.2
US1CAOR0019,25.4
US1CAOR0021,7.6
US1CAOR0025,18.8
US1CAOR0026,20.6
US1CAOR0027,13.2
US1CAOR0031,17.0
US1CAOR0035,30.5
US1CAOR0039,25.7
US1CAOR0042,14.5
US1CAOR0043,11.4
US1CAOR0047,18.0
US1CAOR0049,39.9
US1CAOR0050,15.5
US1CAOR0053,17.8
US1CAOR0058,35.6
US1CAOR0059,25.1
US1CAOR0060,15.2
US1CAOR0061,7.6
US1CAOR0067,9.7
US1CAOR0070,20.6
US1CAOR0071,4.3
US1CAOR0072,16.5
US1CAPC0001,26.7
US1CAPC0007,3.8
US1CAPC0010,8.1
US1CAPC0011,14.5
US1CAPC0013,9.4
US1CAPC0019,4.1
US1CAPC0021,2.8
US1CAPC0024,19.1
US1CAPC0032,5.8
US1CAPC0034,11.2
US1CAPC0035,5.8
US1CAPC0037,8.1
US1CAPC0045,1.5
US1CAPM0002,34.0
