Causes,Average Duration (days),Average GIS Acres,Number of Occurences (in the Year)
Lightning,37.57,22560.9,49
Equipment Use,19.83,447.06,47
Smoking,3.5,62.2,2
Campfire,3.57,157.18,7
Debris,1.55,63.46,29
Railroad,0.0,18.6,1
Arson,1.45,496.17,20
Playing with fire,0.5,16.05,2
Vehicle,0.44,42.48,32
Powerline,7.94,60263.05,16
Structure,0.0,2.88,1
Escaped Prescribed Burn,2.38,208.22,8
