latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.82274,-114.25684,321.35,0.39,0.36,2013-01-01,933,N,VIIRS,n,2,261.47,2.23,N,2
38.07133,-122.13743,297.08,0.57,0.43,2013-01-01,934,N,VIIRS,n,2,280.74,1.68,N,2
34.24416,-118.38185,297.61,0.39,0.36,2013-01-01,935,N,VIIRS,n,2,273.31,0.6,N,0
34.31968,-118.51084,296.82,0.39,0.36,2013-01-01,935,N,VIIRS,n,2,273.48,0.41,N,2
34.32547,-118.52694,303.11,0.39,0.36,2013-01-01,935,N,VIIRS,n,2,273.95,0.85,N,0
34.33487,-118.52065,316.64,0.39,0.36,2013-01-01,935,N,VIIRS,n,2,272.92,1.48,N,2
36.35647,-114.9114,306.29,0.4,0.37,2013-01-01,935,N,VIIRS,n,2,270.44,1.51,N,0
37.77493,-120.41843,303.28,0.48,0.4,2013-01-01,935,N,VIIRS,n,2,272.11,0.79,N,0
37.95023,-122.4001,298.06,0.39,0.44,2013-01-01,935,N,VIIRS,n,2,282.56,1.03,N,0
38.01471,-122.11392,297.27,0.57,0.43,2013-01-01,935,N,VIIRS,n,2,279.19,1.75,N,2
38.07008,-122.13774,295.16,0.57,0.43,2013-01-01,935,N,VIIRS,n,2,279.6,0.96,N,2
33.71566,-117.71088,295.75,0.38,0.36,2013-01-01,936,N,VIIRS,n,2,264.36,0.34,N,0
33.77758,-118.22843,296.09,0.39,0.36,2013-01-01,936,N,VIIRS,n,2,271.54,0.42,N,0
33.81941,-118.24271,295.72,0.39,0.36,2013-01-01,936,N,VIIRS,n,2,277.49,0.89,N,2
33.85303,-118.33042,301.09,0.39,0.36,2013-01-01,936,N,VIIRS,n,2,283.59,0.75,N,2
33.85366,-118.33461,295.07,0.39,0.36,2013-01-01,936,N,VIIRS,n,2,282.12,0.75,N,0
33.92576,-118.42746,317.83,0.39,0.36,2013-01-01,936,N,VIIRS,n,2,278.09,1.54,N,0
34.03596,-118.10448,295.38,0.39,0.36,2013-01-01,936,N,VIIRS,n,2,269.96,0.49,N,2
34.72985,-114.51844,339.31,0.5,0.41,2013-01-01,2055,N,VIIRS,n,2,286.2,5.06,D,0
36.3577,-114.91109,306.3,0.43,0.38,2013-01-02,916,N,VIIRS,n,2,271.88,1.33,N,0
36.99951,-120.68295,297.06,0.55,0.51,2013-01-02,916,N,VIIRS,n,2,271.94,0.66,N,0
37.317,-122.09032,300.88,0.33,0.55,2013-01-02,916,N,VIIRS,n,2,278.23,0.62,N,2
37.45487,-121.93312,297.38,0.33,0.55,2013-01-02,916,N,VIIRS,n,2,272.74,0.27,N,2
38.01386,-122.11391,295.92,0.34,0.56,2013-01-02,916,N,VIIRS,n,2,278.98,1.16,N,2
38.07315,-122.13916,301.03,0.34,0.56,2013-01-02,916,N,VIIRS,n,2,283.33,1.43,N,2
32.56405,-115.23853,295.82,0.41,0.37,2013-01-02,917,N,VIIRS,n,2,272.88,0.36,N,0
32.59902,-117.01242,296.35,0.48,0.4,2013-01-02,917,N,VIIRS,n,2,274.15,0.77,N,2
33.71704,-117.71229,299.12,0.53,0.42,2013-01-02,917,N,VIIRS,n,2,279.39,1.02,N,2
33.77604,-118.22798,297.29,0.56,0.43,2013-01-02,917,N,VIIRS,n,2,278.95,1.23,N,2
33.82046,-118.24503,296.36,0.56,0.43,2013-01-02,917,N,VIIRS,n,2,281.67,2.26,N,2
33.85439,-118.33353,301.19,0.57,0.43,2013-01-02,917,N,VIIRS,n,2,284.05,2.18,N,2
33.92642,-118.42894,299.03,0.38,0.44,2013-01-02,917,N,VIIRS,n,2,277.78,0.71,N,0
34.24208,-118.38147,295.69,0.39,0.44,2013-01-02,917,N,VIIRS,n,2,275.5,0.52,N,0
34.29152,-118.80323,298.74,0.41,0.45,2013-01-02,917,N,VIIRS,n,2,279.52,0.47,N,0
34.32315,-118.52615,296.91,0.39,0.44,2013-01-02,917,N,VIIRS,n,2,278.03,0.34,N,2
34.3349,-118.52031,312.95,0.39,0.44,2013-01-02,917,N,VIIRS,n,2,277.43,1.01,N,2
38.0143,-122.11087,296.39,0.5,0.66,2013-01-02,1056,N,VIIRS,n,2,278.75,1.7,N,2
32.65172,-114.99857,334.68,0.39,0.36,2013-01-02,2035,N,VIIRS,n,2,297.13,7.75,D,0
39.65285,-121.35419,325.83,0.52,0.42,2013-01-02,2037,N,VIIRS,n,2,283.11,2.55,D,0
36.35831,-114.90972,301.08,0.48,0.48,2013-01-03,857,N,VIIRS,n,2,273.2,1.18,N,0
33.71503,-117.71191,305.45,0.32,0.55,2013-01-03,858,N,VIIRS,n,2,277.15,0.51,N,0
33.77857,-118.2281,297.42,0.34,0.56,2013-01-03,858,N,VIIRS,n,2,279.12,0.59,N,0
33.85382,-118.33355,303.39,0.35,0.57,2013-01-03,858,N,VIIRS,n,2,285.26,1.55,N,2
33.85497,-118.33143,301.36,0.35,0.57,2013-01-03,858,N,VIIRS,n,2,284.8,1.22,N,2
34.0927,-117.52749,307.2,0.63,0.54,2013-01-03,858,N,VIIRS,n,2,276.97,2.14,N,2
34.09321,-117.53444,313.37,0.63,0.54,2013-01-03,858,N,VIIRS,n,2,276.86,2.14,N,2
34.09372,-117.52666,302.04,0.63,0.54,2013-01-03,858,N,VIIRS,n,2,276.58,0.97,N,2
34.09427,-117.53359,315.28,0.63,0.54,2013-01-03,858,N,VIIRS,n,2,277.13,3.64,N,2
34.31867,-118.51247,296.58,0.36,0.58,2013-01-03,858,N,VIIRS,n,2,278.9,0.32,N,2
34.33548,-118.52173,302.73,0.36,0.58,2013-01-03,858,N,VIIRS,n,2,277.34,0.58,N,2
38.01543,-122.11214,297.82,0.58,0.52,2013-01-03,1037,N,VIIRS,n,2,279.36,1.44,N,2
38.07225,-122.13683,296.29,0.57,0.52,2013-01-03,1037,N,VIIRS,n,2,280.4,1.34,N,2
38.07271,-122.13858,296.96,0.57,0.52,2013-01-03,1037,N,VIIRS,n,2,281.43,1.66,N,2
34.09448,-117.52589,303.18,0.63,0.72,2013-01-03,1038,N,VIIRS,n,2,277.44,1.38,N,2
34.33527,-118.51661,295.21,0.55,0.68,2013-01-03,1038,N,VIIRS,n,2,277.3,0.77,N,2
32.65513,-115.0029,339.71,0.39,0.44,2013-01-03,2016,N,VIIRS,n,2,293.36,2.74,D,0
34.09494,-117.53521,330.92,0.5,0.49,2013-01-03,2017,N,VIIRS,n,2,294.55,2.14,D,2
33.77744,-118.23203,296.21,0.65,0.73,2013-01-04,839,N,VIIRS,n,2,279.58,1.08,N,0
33.81796,-118.24507,295.38,0.65,0.73,2013-01-04,839,N,VIIRS,n,2,281.59,1.35,N,2
34.0926,-117.53395,315.39,0.59,0.7,2013-01-04,839,N,VIIRS,n,2,275.75,2.67,N,2
34.09407,-117.533,317.29,0.59,0.7,2013-01-04,839,N,VIIRS,n,2,275.54,3.01,N,2
36.35674,-114.91034,295.34,0.42,0.61,2013-01-04,1018,N,VIIRS,n,2,269.62,0.45,N,0
38.02412,-122.06327,298.51,0.51,0.41,2013-01-04,1018,N,VIIRS,n,2,279.64,1.26,N,2
33.715,-117.71096,301.12,0.35,0.57,2013-01-04,1019,N,VIIRS,n,2,278.18,0.6,N,0
33.77179,-118.28662,295.19,0.32,0.55,2013-01-04,1019,N,VIIRS,n,2,283.6,0.84,N,0
33.77789,-118.22871,303.4,0.33,0.55,2013-01-04,1019,N,VIIRS,n,2,280.26,0.78,N,0
33.79409,-117.47506,295.03,0.36,0.57,2013-01-04,1019,N,VIIRS,n,2,273.84,0.55,N,0
33.79427,-117.47372,295.23,0.36,0.57,2013-01-04,1019,N,VIIRS,n,2,274.37,0.58,N,0
33.79522,-118.23386,297.43,0.33,0.55,2013-01-04,1019,N,VIIRS,n,2,282.64,0.62,N,0
33.81913,-118.24413,301.05,0.32,0.55,2013-01-04,1019,N,VIIRS,n,2,282.97,0.97,N,2
33.85147,-118.33308,298.16,0.32,0.55,2013-01-04,1019,N,VIIRS,n,2,282.99,1.41,N,2
33.92978,-117.83823,297.74,0.34,0.56,2013-01-04,1019,N,VIIRS,n,2,280.58,0.67,N,2
34.07774,-117.4991,301.18,0.35,0.57,2013-01-04,1019,N,VIIRS,n,2,274.7,0.6,N,2
34.09126,-117.53098,309.9,0.35,0.57,2013-01-04,1019,N,VIIRS,n,2,274.43,1.11,N,2
34.0922,-117.53471,315.32,0.35,0.57,2013-01-04,1019,N,VIIRS,n,2,274.95,1.11,N,2
34.09637,-117.52925,299.99,0.35,0.57,2013-01-04,1019,N,VIIRS,n,2,274.57,0.67,N,2
34.33473,-118.52193,297.45,0.61,0.53,2013-01-04,1019,N,VIIRS,n,2,275.99,0.64,N,2
34.60785,-117.33704,295.75,0.35,0.57,2013-01-04,1019,N,VIIRS,n,2,269.93,0.82,N,0
37.45505,-121.93224,296.72,0.53,0.42,2013-01-04,1019,N,VIIRS,n,2,274.02,0.78,N,2
32.5895,-115.54208,367.0,0.38,0.59,2013-01-04,1958,N,VIIRS,h,2,292.95,6.89,D,0
32.59049,-115.53806,332.85,0.38,0.59,2013-01-04,1958,N,VIIRS,n,2,289.8,6.53,D,0
32.59113,-115.54256,367.0,0.38,0.59,2013-01-04,1958,N,VIIRS,h,2,292.47,6.16,D,0
38.90618,-123.28954,310.2,0.39,0.36,2013-01-05,959,N,VIIRS,n,2,269.19,1.26,N,0
34.08094,-117.49842,296.29,0.39,0.44,2013-01-05,1000,N,VIIRS,n,2,275.86,0.9,N,2
34.09187,-117.53056,314.28,0.39,0.44,2013-01-05,1000,N,VIIRS,n,2,274.31,1.24,N,2
34.09583,-117.52941,310.31,0.39,0.44,2013-01-05,1000,N,VIIRS,n,2,274.5,1.24,N,2
34.31969,-118.50918,297.02,0.52,0.41,2013-01-05,1000,N,VIIRS,n,2,276.3,0.53,N,0
34.32316,-118.52665,300.37,0.52,0.41,2013-01-05,1000,N,VIIRS,n,2,277.8,0.81,N,2
34.3332,-118.5173,301.24,0.52,0.41,2013-01-05,1000,N,VIIRS,n,2,275.51,1.1,N,0
36.34392,-119.57138,298.53,0.44,0.38,2013-01-05,1000,N,VIIRS,n,2,273.2,0.69,N,0
36.3474,-119.5704,301.32,0.44,0.38,2013-01-05,1000,N,VIIRS,n,2,273.81,0.69,N,0
36.35601,-114.90979,303.21,0.48,0.48,2013-01-05,1000,N,VIIRS,n,2,269.24,0.68,N,0
37.18429,-121.67905,301.87,0.39,0.36,2013-01-05,1000,N,VIIRS,n,2,276.48,0.64,N,0
37.45426,-121.93393,305.91,0.39,0.36,2013-01-05,1000,N,VIIRS,n,2,274.94,0.81,N,2
38.00505,-121.93266,299.06,0.39,0.36,2013-01-05,1000,N,VIIRS,n,2,274.28,0.68,N,0
38.02269,-122.06379,296.27,0.38,0.36,2013-01-05,1000,N,VIIRS,n,2,279.66,1.54,N,2
38.07193,-122.1391,302.9,0.38,0.36,2013-01-05,1000,N,VIIRS,n,2,284.54,1.43,N,2
38.15936,-122.56442,296.77,0.38,0.36,2013-01-05,1000,N,VIIRS,n,2,273.89,0.43,N,0
33.71483,-117.71146,309.52,0.39,0.44,2013-01-05,1001,N,VIIRS,n,2,276.39,0.95,N,0
33.77602,-118.23004,297.31,0.55,0.42,2013-01-05,1001,N,VIIRS,n,2,278.99,0.82,N,2
33.77721,-118.23585,295.68,0.55,0.42,2013-01-05,1001,N,VIIRS,n,2,282.0,0.82,N,0
33.81911,-118.24209,296.32,0.54,0.42,2013-01-05,1001,N,VIIRS,n,2,281.66,1.37,N,2
33.853,-118.33001,299.21,0.54,0.42,2013-01-05,1001,N,VIIRS,n,2,284.06,2.48,N,2
33.9317,-117.83817,302.3,0.57,0.43,2013-01-05,1001,N,VIIRS,n,2,279.49,1.27,N,2
32.53692,-115.47377,336.54,0.69,0.74,2013-01-05,1939,N,VIIRS,n,2,289.29,7.34,D,0
32.53906,-115.46653,348.39,0.69,0.74,2013-01-05,1939,N,VIIRS,n,2,290.24,7.34,D,0
32.54354,-115.47644,347.37,0.69,0.74,2013-01-05,1939,N,VIIRS,n,2,289.03,7.34,D,0
32.54568,-115.4692,333.57,0.69,0.74,2013-01-05,1939,N,VIIRS,n,2,288.62,7.34,D,0
32.66961,-114.76966,353.45,0.34,0.56,2013-01-05,2119,N,VIIRS,n,2,297.88,8.32,D,0
32.66988,-114.76601,367.0,0.34,0.56,2013-01-05,2119,N,VIIRS,h,2,293.12,8.32,D,0
33.11952,-115.46653,329.69,0.62,0.54,2013-01-05,2119,N,VIIRS,n,2,292.88,3.08,D,0
33.71513,-117.70968,308.54,0.39,0.36,2013-01-06,942,N,VIIRS,n,2,277.86,0.7,N,0
33.7944,-117.47359,302.13,0.4,0.37,2013-01-06,942,N,VIIRS,n,2,273.51,0.54,N,0
37.31584,-122.08947,296.53,0.54,0.51,2013-01-07,922,N,VIIRS,n,2,278.39,1.1,N,0
38.02497,-122.06383,298.36,0.55,0.51,2013-01-07,922,N,VIIRS,n,2,281.66,1.54,N,2
32.85681,-117.14926,301.98,0.43,0.38,2013-01-07,923,N,VIIRS,n,2,277.17,0.68,N,2
32.85825,-117.02831,297.0,0.42,0.38,2013-01-07,923,N,VIIRS,n,2,278.36,0.51,N,2
33.71711,-117.70991,296.33,0.45,0.39,2013-01-07,923,N,VIIRS,n,2,270.48,0.53,N,2
33.81354,-118.23689,295.08,0.48,0.4,2013-01-07,923,N,VIIRS,n,2,281.37,1.08,N,2
33.85386,-118.33416,301.95,0.48,0.4,2013-01-07,923,N,VIIRS,n,2,284.5,1.69,N,2
34.3198,-118.51353,300.0,0.5,0.41,2013-01-07,923,N,VIIRS,n,2,275.95,0.57,N,2
34.32537,-118.52831,296.94,0.5,0.41,2013-01-07,923,N,VIIRS,n,2,275.7,0.72,N,0
34.33599,-118.52138,311.49,0.5,0.41,2013-01-07,923,N,VIIRS,n,2,275.35,1.26,N,2
36.0047,-119.14616,342.4,0.42,0.38,2013-01-07,2043,N,VIIRS,n,2,278.22,7.21,D,0
36.00689,-119.14836,345.82,0.43,0.38,2013-01-07,2043,N,VIIRS,n,2,277.51,5.15,D,0
36.25019,-121.10619,325.37,0.5,0.41,2013-01-07,2043,N,VIIRS,n,2,286.92,2.76,D,0
33.77773,-118.22977,298.08,0.56,0.51,2013-01-08,904,N,VIIRS,n,2,279.97,1.03,N,0
33.85327,-118.33281,303.11,0.57,0.52,2013-01-08,904,N,VIIRS,n,2,285.71,2.29,N,2
34.0938,-117.52908,309.47,0.51,0.5,2013-01-08,904,N,VIIRS,n,2,278.08,1.48,N,2
34.09429,-117.53473,313.46,0.51,0.5,2013-01-08,904,N,VIIRS,n,2,277.58,1.88,N,2
34.33603,-118.52264,296.22,0.59,0.53,2013-01-08,904,N,VIIRS,n,2,279.16,0.73,N,2
34.09212,-117.53359,302.14,0.76,0.77,2013-01-08,1044,N,VIIRS,n,2,276.53,1.89,N,2
34.09529,-117.52914,303.8,0.76,0.77,2013-01-08,1044,N,VIIRS,n,2,277.09,1.79,N,2
32.88049,-114.47421,333.98,0.47,0.39,2013-01-08,2023,N,VIIRS,n,2,298.99,8.03,D,0
33.24717,-117.01775,330.17,0.4,0.44,2013-01-08,2023,N,VIIRS,n,2,292.88,2.81,D,0
33.28789,-117.02389,325.33,0.4,0.44,2013-01-08,2023,N,VIIRS,n,2,292.92,1.43,D,0
34.09483,-117.53406,330.71,0.41,0.45,2013-01-08,2023,N,VIIRS,n,2,297.38,2.16,D,2
36.83368,-120.13655,325.63,0.49,0.49,2013-01-08,2024,N,VIIRS,n,2,285.7,2.08,D,0
34.09423,-117.52902,304.16,0.48,0.65,2013-01-09,845,N,VIIRS,n,2,270.66,1.23,N,2
34.09451,-117.53439,311.66,0.48,0.65,2013-01-09,845,N,VIIRS,n,2,271.44,1.23,N,2
34.09582,-117.5335,313.65,0.48,0.65,2013-01-09,845,N,VIIRS,n,2,271.25,2.12,N,2
40.82332,-114.25276,295.58,0.42,0.61,2013-01-09,1023,N,VIIRS,n,2,260.18,1.25,N,2
