station,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12
US1CAMD0017,36.4,305.3,342.1,67.4,4.0,0.0,0.0,0.0,55.1,136.1,201.0,405.7
US1CAMD0016,14.9,249.3,134.0,79.6,0.0,0.0,0.5,0.5,12.2,38.9,117.4,331.4
USC00046168,8.4,65.6,22.2,11.2,0.0,0.0,0.0,0.0,1.5,0.5,47.9,154.7
USC00046252,26.7,86.4,56.2,44.7,15.0,0.0,12.7,0.0,2.1,0.0,20.3,139.4
US1CAMA0003,36.6,55.0,24.2,47.8,3.3,0.3,0.6,0.0,21.3,0.0,39.1,93.4
US1CAMP0001,32.7,60.1,74.8,44.7,6.1,0.0,0.5,0.0,39.9,4.6,44.1,97.2
US1CASD0103,0.0,0.0,0.0,8.9,0.0,0.0,0.0,4.1,0.0,0.0,8.3,71.5
USC00041424,3.0,38.6,32.2,27.5,0.3,0.0,4.6,14.2,14.5,0.0,9.7,105.4
US1CASD0040,3.3,19.6,33.3,19.0,0.0,0.0,12.7,2.5,6.9,0.3,16.0,111.8
USC00043914,7.9,31.8,120.7,41.4,0.3,0.0,0.5,19.7,1.8,0.0,22.3,137.3
USW00053151,4.5,64.1,38.2,14.7,0.0,0.2,2.4,26.1,1.3,0.0,11.7,147.3
US1CAYB0004,15.6,138.0,105.4,39.2,4.6,0.0,0.0,0.8,10.2,7.4,75.3,259.3
US1CARV0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,75.0
USW00053175,0.0,57.6,0.3,3.9,0.0,0.0,0.0,4.4,0.0,0.3,6.9,0.3
USW00023119,0.0,30.2,17.3,12.4,0.0,0.0,0.0,14.5,1.3,0.0,4.6,74.0
US1CARV0018,9.6,21.1,74.2,28.7,0.8,0.0,0.0,15.2,0.0,0.0,2.8,127.1
US1CARV0002,4.6,35.7,117.8,43.2,17.0,0.0,21.6,73.2,41.4,0.0,32.8,137.8
USC00042327,0.0,0.8,12.2,2.8,1.0,0.0,5.3,17.0,9.4,0.0,1.5,13.0
USC00047306,0.8,48.5,12.2,28.7,0.3,0.0,0.0,31.7,0.0,0.0,9.9,100.9
USW00023119,0.0,30.2,17.3,12.4,0.0,0.0,0.0,14.5,1.3,0.0,4.6,74.0
US1CARV0018,9.6,21.1,74.2,28.7,0.8,0.0,0.0,15.2,0.0,0.0,2.8,127.1
USC00044997,2.0,65.5,31.8,25.0,0.0,0.3,0.0,0.0,5.6,4.3,30.4,209.2
US1CAST0004,3.8,52.1,41.6,43.7,0.0,0.0,0.0,0.0,1.3,4.4,50.3,149.8
US1CASL0001,0.0,97.3,80.7,41.7,0.0,0.0,0.0,0.0,0.0,0.0,37.8,118.2
USC00049490,25.2,158.0,216.0,10.8,7.9,0.5,11.0,0.0,43.9,85.1,92.0,236.3
USC00049490,25.2,158.0,216.0,10.8,7.9,0.5,11.0,0.0,43.9,85.1,92.0,236.3
US1CASH0051,8.7,187.5,179.9,19.0,5.6,0.0,3.1,3.3,82.1,63.2,127.7,346.2
US1CASH0067,0.0,231.8,214.7,47.1,18.0,13.5,1.8,4.8,43.1,118.0,105.9,465.5
US1CASH0067,0.0,231.8,214.7,47.1,18.0,13.5,1.8,4.8,43.1,118.0,105.9,465.5
US1CASH0030,12.0,189.2,164.2,21.6,8.4,0.8,0.0,3.1,68.1,36.8,90.8,310.7
US1CASK0010,5.5,48.8,47.2,11.5,18.6,7.1,21.4,15.0,36.6,45.7,40.8,72.3
USC00041990,17.7,98.5,94.1,48.1,17.9,6.1,12.2,9.7,37.1,65.7,67.0,96.1
USW00024259,4.9,57.2,58.9,16.9,10.6,5.1,3.6,0.0,35.1,51.6,29.4,69.4
USW00024259,4.9,57.2,58.9,16.9,10.6,5.1,3.6,0.0,35.1,51.6,29.4,69.4
USW00023273,0.3,48.0,32.3,21.3,0.3,0.0,0.0,0.0,0.0,27.2,6.4,107.6
USC00045064,1.8,91.7,29.9,14.4,1.3,0.8,0.8,0.0,0.0,0.0,29.8,110.3
US1CASB0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USC00049111,0.8,49.1,45.4,28.9,0.8,0.0,0.0,0.0,0.3,0.0,51.6,133.9
US1CASB0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US1CATL0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,78.1
US1CASH0067,0.0,231.8,214.7,47.1,18.0,13.5,1.8,4.8,43.1,118.0,105.9,465.5
US1CATH0007,4.6,81.0,53.0,4.1,4.1,0.0,0.0,0.0,60.0,28.9,72.7,291.5
US1CATH0036,37.6,225.1,296.6,37.8,35.0,7.1,3.0,116.8,63.0,118.9,130.5,325.7
US1CATH0040,1.3,103.5,92.7,15.6,9.9,0.0,0.0,5.3,33.8,15.8,86.8,260.5
US1CATH0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,52.8,20.1,76.0,294.2
US1CATH0038,0.0,182.4,129.7,7.6,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US1CATH0043,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US1CATH0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,52.8,20.1,76.0,294.2
US1CATH0036,37.6,225.1,296.6,37.8,35.0,7.1,3.0,116.8,63.0,118.9,130.5,325.7
US1CATH0023,0.3,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US1CATH0040,1.3,103.5,92.7,15.6,9.9,0.0,0.0,5.3,33.8,15.8,86.8,260.5
US1CATH0038,0.0,182.4,129.7,7.6,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
