station,2018-03-22
US1CAAL0001,19.3
US1CAAL0003,22.6
US1CAAL0004,22.6
US1CAAL0006,23.6
US1CAAL0007,6.6
US1CAAL0011,16.3
US1CAAL0012,15.0
US1CAAL0018,20.6
US1CAAL0024,11.4
US1CAAL0025,19.3
US1CAAL0030,13.7
US1CAAL0031,11.7
US1CAAL0033,20.6
US1CAAL0035,12.4
US1CAAL0039,16.8
US1CAAM0002,71.4
US1CAAM0003,87.9
US1CAAM0009,73.9
US1CAAM0011,34.0
US1CABT0002,30.2
US1CABT0005,40.6
US1CABT0008,33.0
US1CABT0012,31.0
US1CABT0013,32.8
US1CABT0015,26.7
US1CABT0016,66.8
US1CABT0017,46.2
US1CABT0019,27.4
US1CABT0026,17.8
US1CABT0032,67.3
US1CABT0033,35.3
US1CACC0001,15.5
US1CACC0004,19.1
US1CACC0006,28.4
US1CACC0010,27.9
US1CACC0011,15.7
US1CACC0012,7.9
US1CACC0016,11.9
US1CACC0018,19.3
US1CACC0019,20.6
US1CACC0027,11.9
US1CACC0028,12.2
US1CACC0031,25.7
US1CACC0035,17.3
US1CACC0036,7.9
US1CACC0037,8.4
US1CACC0040,18.0
US1CACC0041,10.4
US1CADN0001,89.2
US1CADN0005,89.9
US1CADN0006,88.9
US1CADN0007,88.9
US1CADN0011,61.5
US1CADN0012,42.7
US1CAED0003,29.5
US1CAED0010,37.1
US1CAED0011,82.6
US1CAED0012,36.6
US1CAED0017,40.1
US1CAED0020,70.4
US1CAED0021,34.5
US1CAED0023,32.0
US1CAED0027,32.5
US1CAED0029,74.4
US1CAFR0002,40.1
US1CAFR0005,68.8
US1CAFR0006,38.6
US1CAFR0008,25.9
US1CAFR0009,76.2
US1CAFR0013,35.1
US1CAFR0014,31.0
US1CAFR0021,39.1
US1CAFR0022,41.7
US1CAFR0025,43.4
US1CAFR0026,36.3
US1CAFR0027,34.8
US1CAFR0030,52.8
US1CAHM0001,33.3
US1CAHM0004,34.0
US1CAHM0005,31.0
US1CAHM0006,44.7
US1CAHM0007,66.5
US1CAHM0009,37.8
US1CAHM0012,28.7
US1CAHM0014,23.1
US1CAHM0016,38.6
US1CAHM0020,13.5
US1CAHM0022,12.2
US1CAHM0026,29.0
US1CAHM0029,24.4
US1CAHM0030,34.3
US1CAHM0031,35.8
US1CAHM0034,33.0
US1CAHM0035,37.8
US1CAHM0037,35.6
US1CAHM0038,23.4
US1CAHM0041,35.6
US1CAHM0044,30.2
US1CAHM0046,40.9
US1CAHM0047,33.5
US1CAHM0048,13.0
US1CAHM0051,37.3
US1CAHM0052,20.1
US1CAHM0054,28.2
US1CAHM0060,39.9
US1CAHM0063,34.3
US1CAHM0065,48.8
US1CAHM0066,49.5
US1CAHM0070,101.6
US1CAHM0073,57.2
US1CAHM0074,32.5
US1CAHM0075,26.9
US1CAHM0078,33.3
US1CAHM0079,41.1
US1CAIN0002,12.4
US1CAIN0004,14.0
US1CAIN0005,16.3
US1CAIN0007,12.7
US1CAIN0008,16.8
US1CAIN0009,0.0
US1CAIN0010,14.0
US1CAIN0012,14.2
US1CAIN0013,14.0
US1CAKG0001,19.6
US1CAKG0003,16.5
US1CAKG0004,23.6
US1CAKG0005,22.6
US1CAKN0001,18.5
