station,2023-03-10
US1CAAL0001,70.1
US1CAAL0003,41.4
US1CAAL0004,49.8
US1CAAL0006,65.0
US1CAAL0011,67.1
US1CAAL0012,30.7
US1CAAL0024,42.2
US1CAAL0025,63.5
US1CAAL0030,62.5
US1CAAL0034,69.1
US1CAAL0039,58.7
US1CAAL0050,53.8
US1CAAL0052,31.8
US1CAAL0060,69.9
US1CAAM0009,67.6
US1CAAM0011,50.0
US1CAAM0013,39.4
US1CAAM0016,39.4
US1CAAM0018,78.7
US1CAAM0019,42.4
US1CABT0005,40.1
US1CABT0008,36.8
US1CABT0009,38.1
US1CABT0015,37.6
US1CABT0019,31.8
US1CABT0026,25.1
US1CABT0033,32.8
US1CABT0042,29.7
US1CABT0044,31.8
US1CACC0001,54.6
US1CACC0004,61.7
US1CACC0006,70.4
US1CACC0011,55.6
US1CACC0012,38.1
US1CACC0018,52.6
US1CACC0025,81.8
US1CACC0031,64.3
US1CACC0036,54.1
US1CACC0037,35.8
US1CACC0040,77.7
US1CACC0045,74.4
US1CACC0046,34.0
US1CACC0052,86.9
US1CACC0053,77.0
US1CACL0001,31.0
US1CACV0011,63.5
US1CACV0012,79.5
US1CADN0001,29.7
US1CADN0005,27.9
US1CADN0006,26.2
US1CADN0007,7.9
US1CADN0008,24.4
US1CADN0011,24.6
US1CADN0015,24.4
US1CADN0017,26.2
US1CAED0003,36.6
US1CAED0010,55.1
US1CAED0020,53.6
US1CAED0023,32.0
US1CAED0029,35.8
US1CAED0032,52.3
US1CAED0036,65.5
US1CAFR0002,24.1
US1CAFR0008,9.7
US1CAFR0014,17.0
US1CAFR0021,68.6
US1CAFR0025,58.7
US1CAFR0026,21.1
US1CAFR0030,46.7
US1CAFR0031,24.9
US1CAFR0033,18.3
US1CAFR0034,17.5
US1CAFR0035,20.8
US1CAFR0036,120.9
US1CAHM0001,25.9
US1CAHM0004,25.1
US1CAHM0005,33.8
US1CAHM0006,30.7
US1CAHM0007,73.9
US1CAHM0009,33.5
US1CAHM0012,26.7
US1CAHM0014,80.0
US1CAHM0026,71.1
US1CAHM0030,86.4
US1CAHM0031,87.9
US1CAHM0032,77.7
US1CAHM0034,33.0
US1CAHM0035,31.5
US1CAHM0037,29.2
US1CAHM0038,103.4
US1CAHM0039,32.3
US1CAHM0041,32.8
US1CAHM0044,85.1
US1CAHM0046,32.8
US1CAHM0060,30.7
US1CAHM0063,25.9
US1CAHM0065,86.6
US1CAHM0066,87.4
US1CAHM0070,124.2
US1CAHM0073,60.7
US1CAHM0074,33.8
US1CAHM0078,77.0
US1CAHM0079,74.2
US1CAHM0084,23.9
US1CAHM0086,30.0
US1CAHM0087,24.9
US1CAHM0088,31.2
US1CAHM0089,31.5
US1CAHM0091,80.5
US1CAHM0092,29.0
US1CAHM0093,77.2
US1CAHM0094,24.1
US1CAHM0095,57.7
US1CAHM0097,31.8
US1CAHM0098,32.3
US1CAHM0102,28.2
US1CAHM0104,26.7
US1CAHM0111,45.5
US1CAHM0115,23.4
US1CAHM0118,71.4
US1CAHM0123,26.4
US1CAHM0125,28.4
US1CAHM0126,45.0
US1CAHM0127,26.2
US1CAHM0128,20.8
US1CAHM0138,28.4
US1CAHM0139,31.8
US1CAHM0142,26.2
US1CAHM0144,1.3
US1CAHM0145,22.6
US1CAHM0146,26.2
US1CAHM0148,27.4
US1CAHM0149,54.6
US1CAHM0150,33.3
US1CAHM0155,30.7
US1CAHM0156,30.0
US1CAHM0157,31.5
US1CAHM0159,31.0
US1CAIN0007,29.2
US1CAIN0008,51.1
US1CAIN0012,25.7
US1CAIN0013,26.7
US1CAKG0003,15.2
US1CAKN0001,2.3
US1CAKN0013,8.4
US1CAKN0017,3.0
US1CAKN0022,1.0
US1CAKN0026,10.2
US1CAKN0031,3.8
US1CALA0001,4.1
US1CALA0010,2.3
US1CALA0014,4.8
US1CALA0036,23.6
US1CALA0043,4.6
US1CALA0048,4.1
US1CALA0064,2.3
US1CALA0067,3.8
US1CALA0068,1.0
US1CALA0081,3.3
US1CALA0083,5.6
US1CALA0085,3.0
US1CALA0089,0.0
US1CALA0090,3.3
US1CALA0091,4.6
US1CALA0092,1.0
US1CALA0096,0.8
US1CALA0097,3.8
US1CALA0106,5.1
US1CALA0109,5.8
US1CALA0113,6.4
US1CALA0120,2.0
US1CALK0004,42.9
US1CALK0006,72.9
US1CALK0009,55.9
US1CALK0017,46.0
US1CALK0018,59.2
US1CALK0019,44.5
US1CALK0020,36.8
US1CALK0021,27.9
US1CALK0022,39.4
US1CALS0001,5.1
US1CALS0002,17.5
US1CAMA0002,45.5
US1CAMA0003,19.6
US1CAMA0004,99.3
US1CAMA0007,78.2
US1CAMA0008,18.5
US1CAMA0009,19.8
US1CAMA0011,33.5
US1CAMA0012,78.2
US1CAMA0017,81.8
US1CAMA0019,91.7
US1CAMD0001,42.4
US1CAMD0003,46.5
US1CAMD0007,43.2
US1CAMD0014,39.9
US1CAMD0017,54.9
US1CAMD0026,41.9
US1CAMD0030,41.9
US1CAMD0033,39.6
US1CAMD0036,57.2
US1CAMD0039,30.5
US1CAMD0042,21.6
US1CAMD0045,37.8
US1CAMD0046,43.2
US1CAMD0050,83.8
US1CAMD0056,53.3
US1CAMD0057,27.4
US1CAMN0005,43.2
US1CAMN0006,50.5
US1CAMP0001,90.2
US1CAMP0002,90.9
US1CAMP0009,17.0
US1CAMR0002,125.2
US1CAMR0005,89.2
US1CAMR0009,53.3
US1CAMR0011,58.9
US1CAMR0013,53.1
US1CAMR0016,57.2
US1CAMR0024,89.9
US1CAMR0025,96.3
US1CAMR0026,71.1
US1CAMR0030,13.5
US1CAMR0031,126.5
US1CAMR0032,102.9
US1CAMR0040,95.3
US1CAMR0045,57.9
US1CAMR0049,73.2
US1CAMR0053,59.2
US1CAMR0054,91.2
US1CAMR0055,36.1
US1CAMR0058,99.3
US1CAMR0060,95.3
US1CAMT0003,59.2
US1CAMT0005,72.6
US1CAMT0006,34.0
US1CAMT0009,34.5
US1CAMT0019,37.6
US1CAMT0020,36.1
US1CAMT0023,83.1
US1CAMT0033,51.6
US1CAMT0038,19.1
US1CAMT0041,22.9
US1CAMT0042,63.0
US1CAMT0043,26.7
US1CAMT0046,136.7
US1CAMT0048,25.7
US1CANP0003,78.7
US1CANP0007,93.5
US1CANV0001,58.2
US1CANV0010,40.1
US1CANV0014,44.7
US1CANV0035,55.6
US1CANV0036,55.4
US1CANV0047,32.5
US1CANV0050,43.4
US1CANV0051,39.6
US1CANV0053,65.0
US1CANV0056,38.1
US1CANV0057,52.1
US1CAOR0005,0.0
US1CAOR0006,0.5
US1CAOR0009,1.0
US1CAOR0016,0.0
US1CAOR0021,2.0
US1CAOR0025,0.0
US1CAOR0026,0.0
US1CAOR0027,0.0
US1CAOR0031,0.5
US1CAOR0039,2.3
US1CAOR0042,1.0
US1CAOR0043,0.5
US1CAOR0058,0.0
US1CAOR0060,0.5
US1CAOR0061,2.8
US1CAOR0067,2.5
US1CAOR0070,0.5
US1CAOR0071,1.3
US1CAOR0072,0.0
US1CAOR0076,0.0
US1CAOR0077,0.3
US1CAOR0079,0.3
US1CAPC0010,29.2
US1CAPC0011,54.6
US1CAPC0013,26.7
US1CAPC0034,28.4
US1CAPC0035,26.2
US1CAPC0037,34.8
US1CAPC0045,23.1
US1CAPC0047,21.3
US1CAPC0049,18.0
US1CAPC0050,31.0
US1CAPC0054,35.1
US1CAPC0055,32.5
US1CAPC0057,37.1
US1CAPM0002,74.7
US1CAPM0003,27.2
US1CAPM0009,19.8
US1CARV0003,0.8
US1CARV0005,0.0
US1CARV0012,0.5
US1CARV0015,2.5
US1CARV0018,0.0
US1CARV0019,0.3
US1CARV0028,3.3
US1CARV0034,0.0
US1CARV0038,0.0
US1CARV0043,0.0
US1CARV0050,0.0
US1CARV0053,2.5
US1CARV0058,0.0
US1CARV0060,0.0
US1CARV0061,0.0
US1CARV0063,0.0
US1CARV0065,0.0
US1CARV0072,0.0
US1CARV0077,0.0
US1CARV0079,0.0
US1CARV0081,0.0
US1CASA0002,31.2
US1CASA0005,25.7
US1CASA0006,28.7
US1CASA0007,30.0
US1CASA0012,26.9
US1CASA0029,31.8
US1CASA0030,27.4
US1CASA0031,21.6
US1CASA0035,25.4
US1CASA0045,20.1
US1CASA0058,23.9
US1CASA0061,31.2
US1CASA0070,31.5
US1CASA0074,23.9
US1CASA0076,23.4
US1CASA0082,26.2
US1CASB0001,19.3
US1CASB0005,25.4
US1CASB0007,15.2
US1CASB0017,16.0
US1CASB0023,15.2
US1CASC0003,33.0
US1CASC0004,20.3
US1CASC0005,75.9
US1CASC0010,28.4
US1CASC0015,55.9
US1CASC0032,36.3
US1CASC0040,120.9
US1CASC0041,38.4
US1CASC0042,30.7
US1CASC0045,80.8
US1CASC0048,40.6
US1CASC0052,26.7
US1CASC0053,139.2
US1CASC0054,101.3
US1CASC0057,50.0
US1CASC0060,31.2
US1CASC0063,109.7
US1CASC0069,22.1
US1CASC0070,68.6
US1CASC0075,16.3
US1CASD0001,0.0
US1CASD0007,0.0
US1CASD0009,16.5
US1CASD0010,0.0
US1CASD0011,0.0
US1CASD0012,0.0
US1CASD0018,0.0
US1CASD0022,0.0
US1CASD0024,0.0
US1CASD0027,0.0
US1CASD0029,0.0
US1CASD0030,0.0
US1CASD0035,0.0
US1CASD0040,0.0
US1CASD0052,0.0
US1CASD0053,0.0
US1CASD0055,0.0
US1CASD0057,0.0
US1CASD0060,0.0
US1CASD0074,0.0
US1CASD0076,0.0
US1CASD0080,0.0
US1CASD0086,0.0
US1CASD0090,0.0
US1CASD0097,0.0
US1CASD0101,0.0
US1CASD0103,0.0
US1CASD0104,0.0
US1CASD0105,0.0
US1CASD0114,0.0
US1CASD0120,0.0
US1CASD0123,0.0
US1CASD0128,0.0
US1CASD0131,0.0
US1CASD0133,0.0
US1CASD0146,0.0
US1CASD0157,0.0
US1CASD0164,0.0
US1CASD0172,0.0
US1CASD0173,0.0
US1CASD0186,0.0
US1CASD0193,0.0
US1CASD0195,0.0
US1CASD0199,0.0
US1CASD0203,0.0
US1CASD0207,0.0
US1CASD0217,0.0
US1CASD0221,0.0
US1CASD0224,0.0
US1CASD0227,0.0
US1CASD0230,0.0
US1CASF0004,11.7
US1CASF0017,32.0
US1CASF0020,31.8
US1CASF0021,32.0
US1CASH0010,64.5
US1CASH0011,79.0
US1CASH0018,55.9
US1CASH0030,73.7
US1CASH0051,70.4
US1CASH0056,68.6
US1CASH0057,60.2
