station,2020-03-14
US1CAAL0001,0.0
US1CAAL0003,0.0
US1CAAL0004,0.0
US1CAAL0012,0.0
US1CAAL0025,6.1
US1CAAL0030,0.0
US1CAAL0034,5.1
US1CAAL0039,2.5
US1CAAL0045,0.3
US1CAAM0007,6.6
US1CAAM0009,6.6
US1CAAM0011,1.8
US1CAAM0014,2.5
US1CABT0005,3.8
US1CABT0008,0.0
US1CABT0009,0.3
US1CABT0026,0.0
US1CABT0032,5.6
US1CABT0033,0.0
US1CACC0001,0.0
US1CACC0004,1.3
US1CACC0011,0.3
US1CACC0016,0.0
US1CACC0018,1.8
US1CACC0025,0.0
US1CACC0028,8.4
US1CACC0031,0.0
US1CACC0037,0.0
US1CACC0040,6.4
US1CACC0043,0.0
US1CADN0001,13.5
US1CADN0005,10.2
US1CADN0006,12.4
US1CADN0007,10.7
US1CADN0008,9.4
US1CADN0015,9.4
US1CADN0017,9.4
US1CAED0003,0.8
US1CAED0010,3.0
US1CAED0017,4.1
US1CAED0020,3.0
US1CAED0023,0.0
US1CAED0027,5.3
US1CAED0029,1.5
US1CAFR0002,0.0
US1CAFR0008,0.0
US1CAFR0009,2.3
US1CAFR0014,0.0
US1CAFR0021,1.5
US1CAFR0022,2.5
US1CAFR0025,0.8
US1CAFR0026,0.0
US1CAFR0027,0.0
US1CAFR0031,0.0
US1CAHM0001,7.1
US1CAHM0004,3.3
US1CAHM0005,9.7
US1CAHM0006,4.1
US1CAHM0007,5.3
US1CAHM0009,7.9
US1CAHM0014,3.3
US1CAHM0022,9.1
US1CAHM0026,4.8
US1CAHM0029,12.7
US1CAHM0030,5.1
US1CAHM0031,5.3
US1CAHM0034,2.5
US1CAHM0035,4.3
US1CAHM0037,10.2
US1CAHM0038,9.4
US1CAHM0039,7.1
US1CAHM0041,4.1
US1CAHM0044,6.9
US1CAHM0046,5.6
US1CAHM0048,9.4
US1CAHM0051,7.9
US1CAHM0052,14.2
US1CAHM0060,3.8
US1CAHM0063,6.6
US1CAHM0065,9.9
US1CAHM0066,8.4
US1CAHM0070,7.1
US1CAHM0073,4.3
US1CAHM0074,4.3
US1CAHM0075,7.9
US1CAHM0077,11.4
US1CAHM0078,4.6
US1CAHM0079,10.7
US1CAHM0081,9.9
US1CAHM0084,6.9
US1CAHM0086,9.4
US1CAHM0087,4.6
US1CAHM0088,5.1
US1CAHM0089,5.1
US1CAHM0091,3.3
US1CAHM0092,4.3
US1CAHM0094,11.2
US1CAHM0095,3.3
US1CAHM0097,7.1
US1CAHM0098,4.3
US1CAHM0099,7.9
US1CAHM0102,7.9
US1CAIN0004,0.0
US1CAIN0005,0.0
US1CAIN0012,0.0
US1CAIN0013,0.0
US1CAKG0003,0.0
US1CAKG0004,0.0
US1CAKG0005,0.3
US1CAKN0001,0.3
US1CAKN0003,15.2
US1CAKN0013,0.3
US1CAKN0017,0.0
US1CAKN0022,0.0
US1CAKN0026,0.0
US1CAKN0031,0.0
US1CALA0001,4.6
US1CALA0010,0.0
US1CALA0014,3.0
US1CALA0021,11.4
US1CALA0023,5.1
US1CALA0031,2.0
US1CALA0036,2.5
US1CALA0038,0.5
US1CALA0043,6.9
US1CALA0048,6.1
US1CALA0054,4.1
US1CALA0057,0.8
US1CALA0059,8.4
US1CALA0060,8.9
US1CALA0064,5.1
US1CALA0067,2.5
US1CALA0068,1.3
US1CALA0077,2.0
US1CALA0081,4.1
US1CALA0083,8.1
US1CALA0085,5.1
US1CALA0089,11.9
US1CALA0090,8.1
US1CALA0091,6.6
US1CALA0092,1.8
US1CALA0096,6.4
US1CALA0097,1.3
US1CALK0006,6.4
US1CALK0009,3.6
US1CALK0014,1.5
US1CALK0017,0.3
US1CALS0001,2.5
US1CAMA0002,0.0
US1CAMA0003,0.0
US1CAMA0004,0.8
US1CAMA0008,0.0
US1CAMA0009,0.0
US1CAMA0012,1.8
US1CAMA0016,1.0
US1CAMD0001,6.6
US1CAMD0003,2.3
US1CAMD0005,5.8
US1CAMD0007,3.0
US1CAMD0014,2.3
US1CAMD0017,4.6
US1CAMD0021,7.1
US1CAMD0022,9.7
US1CAMD0026,3.0
US1CAMD0030,3.8
US1CAMD0033,4.3
US1CAMD0034,0.5
US1CAMD0036,2.5
US1CAMD0037,7.6
US1CAMD0038,2.5
US1CAMD0039,8.1
US1CAMD0040,9.4
US1CAMD0042,7.1
US1CAME0004,0.0
US1CAMN0001,0.0
US1CAMN0004,0.0
US1CAMP0001,1.0
US1CAMP0002,2.0
US1CAMP0003,0.0
US1CAMP0008,1.8
US1CAMP0009,1.3
US1CAMR0002,4.8
US1CAMR0004,7.9
US1CAMR0005,5.8
US1CAMR0009,5.1
US1CAMR0011,4.8
US1CAMR0013,9.7
US1CAMR0016,6.4
US1CAMR0024,3.0
US1CAMR0025,4.1
US1CAMR0026,3.0
US1CAMR0029,3.3
US1CAMR0030,4.3
US1CAMR0031,6.4
US1CAMR0035,2.5
US1CAMR0037,0.0
US1CAMR0040,3.8
US1CAMR0049,3.8
US1CAMR0053,11.2
US1CAMT0003,0.0
US1CAMT0006,0.3
US1CAMT0019,0.0
US1CAMT0033,3.6
US1CAMT0041,3.0
US1CAMT0042,0.0
US1CAMT0043,1.3
US1CAMT0046,6.4
US1CAMT0048,3.3
US1CAMT0049,2.5
US1CANP0007,3.8
US1CANP0014,2.0
US1CANV0001,6.9
US1CANV0014,0.0
US1CANV0016,0.0
US1CANV0022,10.4
US1CANV0035,0.3
US1CANV0036,0.0
US1CANV0041,0.3
US1CANV0050,0.3
US1CANV0052,0.0
US1CANV0053,3.6
US1CAOR0005,5.6
US1CAOR0006,5.6
US1CAOR0009,1.0
US1CAOR0015,0.8
US1CAOR0016,1.3
US1CAOR0019,4.1
US1CAOR0021,2.0
US1CAOR0026,3.3
US1CAOR0027,1.5
US1CAOR0031,6.6
US1CAOR0039,6.4
US1CAOR0041,6.4
US1CAOR0042,2.5
US1CAOR0043,1.8
US1CAOR0049,7.1
US1CAOR0050,4.8
US1CAOR0052,0.0
US1CAOR0058,8.6
US1CAOR0059,2.0
US1CAOR0060,1.5
US1CAOR0061,1.0
US1CAOR0067,1.3
US1CAOR0070,2.5
US1CAOR0071,0.8
US1CAOR0072,9.4
US1CAOR0076,0.3
US1CAOR0077,8.4
US1CAOR0079,0.8
US1CAOR0080,0.8
US1CAPC0001,10.4
US1CAPC0007,0.0
US1CAPC0010,0.0
US1CAPC0011,0.0
US1CAPC0013,0.0
US1CAPC0019,27.9
US1CAPC0024,1.8
US1CAPC0032,0.0
US1CAPC0034,0.0
US1CAPC0035,0.0
US1CAPC0037,0.0
US1CAPC0045,0.0
US1CAPC0049,0.0
US1CAPM0009,1.0
US1CARV0005,5.1
US1CARV0008,0.3
US1CARV0015,1.5
US1CARV0018,17.8
US1CARV0019,3.6
US1CARV0020,1.0
US1CARV0028,2.3
US1CARV0034,2.8
US1CARV0036,5.1
US1CARV0039,25.7
US1CARV0043,9.1
US1CARV0050,5.6
US1CARV0053,2.0
US1CARV0058,0.0
US1CARV0060,1.3
US1CARV0061,20.8
US1CARV0063,2.5
US1CARV0065,11.9
US1CARV0066,0.0
US1CARV0067,3.0
US1CARV0071,3.8
US1CARV0072,0.0
US1CASA0002,0.0
US1CASA0005,0.0
US1CASA0006,0.0
US1CASA0007,0.0
US1CASA0008,0.0
US1CASA0012,0.0
US1CASA0029,0.0
US1CASA0030,0.0
US1CASA0045,0.0
US1CASA0051,0.0
US1CASA0061,0.0
US1CASA0062,0.0
US1CASB0001,0.8
US1CASB0005,0.0
US1CASB0007,0.0
US1CASB0017,6.1
US1CASB0020,0.3
US1CASC0001,0.0
US1CASC0003,0.0
US1CASC0004,4.3
US1CASC0005,0.0
US1CASC0010,2.5
US1CASC0011,0.0
US1CASC0012,0.0
US1CASC0015,0.0
US1CASC0032,0.0
US1CASC0040,0.3
US1CASC0041,0.0
US1CASC0042,0.0
US1CASC0045,0.0
US1CASC0048,0.5
US1CASC0052,0.0
US1CASC0053,1.0
US1CASC0054,0.5
US1CASC0063,0.5
US1CASC0069,0.0
US1CASC0070,0.8
US1CASD0001,0.0
US1CASD0006,10.4
US1CASD0007,4.6
US1CASD0008,5.8
US1CASD0009,1.5
US1CASD0010,7.4
US1CASD0012,17.0
US1CASD0014,0.0
US1CASD0018,6.9
US1CASD0022,13.5
US1CASD0023,9.1
US1CASD0024,4.8
US1CASD0027,7.1
US1CASD0029,12.2
US1CASD0030,7.6
US1CASD0035,11.2
US1CASD0040,15.7
US1CASD0047,3.6
US1CASD0049,5.1
US1CASD0052,12.7
US1CASD0053,5.6
US1CASD0054,16.3
US1CASD0055,7.1
US1CASD0057,10.9
US1CASD0059,6.4
US1CASD0063,13.0
US1CASD0074,5.8
US1CASD0076,15.2
US1CASD0080,3.0
US1CASD0086,7.1
US1CASD0090,18.5
US1CASD0096,5.1
US1CASD0097,11.2
US1CASD0099,12.2
US1CASD0100,4.3
US1CASD0101,10.4
US1CASD0103,12.4
US1CASD0104,12.7
US1CASD0105,3.8
US1CASD0114,10.7
US1CASD0120,3.8
US1CASD0123,5.6
US1CASD0128,8.9
US1CASD0130,0.0
US1CASD0131,15.0
US1CASD0132,10.2
US1CASD0133,9.7
US1CASD0140,8.9
US1CASD0142,10.4
US1CASD0146,9.7
US1CASD0147,14.5
US1CASD0148,5.8
US1CASD0162,13.5
US1CASD0164,13.5
US1CASD0165,9.1
US1CASD0172,10.7
US1CASD0173,11.4
US1CASD0180,9.4
US1CASD0181,18.8
US1CASD0182,20.1
US1CASD0184,5.8
US1CASD0185,10.9
US1CASD0186,7.1
US1CASD0191,6.4
US1CASD0193,4.3
US1CASD0195,31.0
US1CASD0197,2.5
US1CASD0199,6.4
US1CASD0202,6.1
US1CASD0203,11.2
US1CASD0206,8.9
US1CASF0004,16.0
US1CASF0014,5.8
US1CASF0017,0.3
US1CASH0002,3.6
US1CASH0006,2.5
US1CASH0011,0.0
US1CASH0018,0.0
US1CASH0030,3.8
US1CASH0051,0.0
US1CASH0056,0.0
US1CASH0057,2.0
US1CASH0068,1.5
US1CASH0071,0.3
US1CASH0077,0.0
US1CASJ0001,0.0
US1CASJ0005,0.0
US1CASJ0011,0.0
US1CASJ0015,0.0
US1CASJ0017,27.9
US1CASK0003,0.0
US1CASK0005,0.8
US1CASK0009,3.8
US1CASK0010,0.0
US1CASK0020,0.0
US1CASK0024,0.0
US1CASL0008,0.0
US1CASL0010,3.0
US1CASL0016,0.8
US1CASL0026,2.8
US1CASM0001,2.5
US1CASM0005,0.0
US1CASM0006,0.0
US1CASM0007,4.3
US1CASM0009,0.5
US1CASM0013,0.5
US1CASM0015,0.0
US1CASM0016,0.0
US1CASM0019,0.0
US1CASM0022,4.8
US1CASM0034,0.0
US1CASM0038,0.3
US1CASN0006,2.3
US1CASN0013,2.5
US1CASN0016,3.8
US1CASN0021,1.3
US1CASN0029,0.8
US1CASN0039,3.0
US1CASN0042,3.0
US1CASN0051,1.3
US1CASN0053,3.8
US1CASN0062,2.5
US1CASN0063,2.0
US1CASN0070,6.9
US1CASN0071,3.6
US1CASN0074,1.0
US1CASN0078,1.0
US1CASN0080,5.1
US1CASN0081,3.6
US1CASN0084,1.0
US1CASN0088,6.6
US1CASN0089,0.5
US1CASN0090,2.0
US1CASN0093,2.3
US1CASN0098,3.3
US1CASN0099,2.5
US1CASN0100,3.3
US1CASN0104,6.4
US1CASN0106,3.3
US1CASN0112,2.0
US1CASN0115,1.5
US1CASN0116,3.0
US1CASN0117,4.1
US1CASN0121,3.6
US1CASN0122,2.8
US1CASN0123,4.8
US1CASN0125,4.3
US1CASN0126,3.3
US1CASN0128,6.4
US1CASN0130,1.5
US1CASN0131,5.3
US1CASN0136,1.8
US1CASN0139,1.3
US1CASN0141,5.1
US1CASN0142,2.0
US1CASN0143,6.1
US1CASN0149,0.8
US1CASN0151,4.1
US1CASN0152,4.6
US1CASN0153,4.3
US1CASN0155,4.6
US1CASN0159,0.8
US1CASN0160,0.8
US1CASO0001,1.8
US1CASO0007,6.4
US1CASO0010,2.8
US1CASO0012,2.5
US1CASO0014,5.6
US1CASR0014,0.0
US1CASR0026,0.0
US1CASR0027,0.5
US1CASR0029,11.4
US1CASR0034,2.3
US1CASR0035,0.0
US1CASR0044,13.0
US1CASR0052,0.0
US1CASR0053,8.9
US1CASR0055,14.7
US1CASR0058,18.3
US1CASR0066,0.0
US1CASR0068,9.4
US1CASR0069,0.3
US1CASR0072,0.0
US1CASR0073,0.0
US1CASR0074,2.8
US1CASR0079,0.0
US1CASR0083,16.0
US1CASR0084,16.3
US1CASS0001,0.0
US1CASS0006,0.0
US1CASS0007,0.0
US1CAST0005,0.0
US1CAST0006,0.3
US1CAST0009,0.0
US1CAST0010,0.5
US1CASZ0006,0.5
US1CASZ0021,1.0
US1CASZ0024,0.0
US1CASZ0028,6.6
US1CASZ0031,1.0
US1CASZ0036,0.5
US1CASZ0041,0.0
US1CASZ0044,0.0
US1CASZ0047,1.0
US1CASZ0048,1.3
US1CASZ0049,0.8
US1CASZ0050,0.0
US1CASZ0051,0.8
US1CASZ0052,3.0
US1CASZ0055,0.0
US1CASZ0057,1.0
US1CATH0005,0.0
US1CATH0010,2.3
US1CATH0012,0.0
US1CATH0018,0.0
US1CATH0019,0.0
US1CATH0028,0.0
US1CATH0029,1.8
US1CATH0030,0.0
US1CATH0049,3.0
US1CATL0005,0.0
US1CATL0011,1.5
US1CATL0016,0.0
US1CATM0003,2.5
US1CATM0004,4.8
US1CATM0005,2.0
US1CATM0007,1.8
US1CATY0005,7.9
US1CATY0006,4.1
US1CATY0011,0.0
US1CATY0026,7.9
US1CATY0028,11.9
US1CATY0031,0.0
US1CATY0037,1.0
US1CAVT0001,6.1
US1CAVT0002,0.0
US1CAVT0012,7.1
US1CAVT0016,5.8
