station,2020-03-17
US1CAAL0001,0.0
US1CAAL0003,0.5
US1CAAL0004,0.5
US1CAAL0012,0.0
US1CAAL0024,1.8
US1CAAL0025,0.0
US1CAAL0030,0.0
US1CAAL0034,0.5
US1CAAL0039,0.3
US1CAAL0045,0.0
US1CAAM0009,32.3
US1CAAM0011,21.3
US1CAAM0014,16.5
US1CABT0005,13.5
US1CABT0008,12.4
US1CABT0009,11.4
US1CABT0015,13.2
US1CABT0019,11.9
US1CABT0026,4.3
US1CABT0032,14.0
US1CABT0033,8.9
US1CACC0001,0.3
US1CACC0004,1.3
US1CACC0010,0.0
US1CACC0011,0.5
US1CACC0016,0.0
US1CACC0018,1.0
US1CACC0025,0.3
US1CACC0028,0.0
US1CACC0031,2.5
US1CACC0036,3.3
US1CACC0037,1.3
US1CACC0040,0.3
US1CACC0043,0.5
US1CADN0001,0.3
US1CADN0005,0.0
US1CADN0006,0.5
US1CADN0007,2.8
US1CADN0008,2.3
US1CADN0011,0.0
US1CADN0017,0.0
US1CAED0003,17.3
US1CAED0010,19.3
US1CAED0017,26.7
US1CAED0020,17.0
US1CAED0023,15.7
US1CAED0027,30.7
US1CAED0029,12.7
US1CAFR0002,29.0
US1CAFR0008,22.1
US1CAFR0009,38.1
US1CAFR0014,20.1
US1CAFR0021,22.6
US1CAFR0022,23.9
US1CAFR0025,27.7
US1CAFR0026,24.6
US1CAFR0027,25.4
US1CAFR0030,35.1
US1CAFR0031,29.2
US1CAHM0001,2.5
US1CAHM0004,1.5
US1CAHM0005,2.5
US1CAHM0006,0.0
US1CAHM0007,6.4
US1CAHM0009,0.8
US1CAHM0014,8.1
US1CAHM0022,3.6
US1CAHM0026,14.0
US1CAHM0029,5.8
US1CAHM0030,4.6
US1CAHM0031,4.1
US1CAHM0034,2.5
US1CAHM0035,4.1
US1CAHM0037,2.5
US1CAHM0038,4.6
US1CAHM0039,1.3
US1CAHM0041,3.0
US1CAHM0044,5.6
US1CAHM0046,0.3
US1CAHM0048,3.8
US1CAHM0051,0.8
US1CAHM0052,4.6
US1CAHM0060,0.0
US1CAHM0063,2.5
US1CAHM0066,5.8
US1CAHM0070,6.6
US1CAHM0073,7.4
US1CAHM0074,3.6
US1CAHM0075,4.3
US1CAHM0077,6.9
US1CAHM0078,5.1
US1CAHM0079,14.7
US1CAHM0084,3.0
US1CAHM0086,1.5
US1CAHM0087,1.5
US1CAHM0088,3.8
US1CAHM0089,0.0
US1CAHM0091,7.1
US1CAHM0092,0.5
US1CAHM0094,5.6
US1CAHM0095,6.1
US1CAHM0097,0.8
US1CAHM0098,3.0
US1CAHM0099,2.5
US1CAHM0102,5.8
US1CAIN0004,5.1
US1CAIN0005,4.3
US1CAIN0007,3.8
US1CAIN0012,5.3
US1CAIN0013,4.6
US1CAKG0003,14.5
US1CAKG0004,18.3
US1CAKG0005,4.6
US1CAKN0001,6.1
US1CAKN0003,8.9
US1CAKN0013,4.1
US1CAKN0017,14.7
US1CAKN0022,15.0
US1CAKN0026,7.6
US1CAKN0031,7.9
US1CALA0001,15.2
US1CALA0003,12.7
US1CALA0005,31.0
US1CALA0010,12.2
US1CALA0014,25.1
US1CALA0021,24.9
US1CALA0023,10.2
US1CALA0036,11.7
US1CALA0038,7.4
US1CALA0039,11.9
US1CALA0043,20.6
US1CALA0048,11.2
US1CALA0054,21.1
US1CALA0057,9.7
US1CALA0059,10.4
US1CALA0060,31.0
US1CALA0063,23.9
US1CALA0064,10.4
US1CALA0068,10.4
US1CALA0077,2.0
US1CALA0081,10.4
US1CALA0083,28.7
US1CALA0085,14.0
US1CALA0089,13.2
US1CALA0090,16.8
US1CALA0091,21.6
US1CALA0092,11.2
US1CALA0096,8.4
US1CALA0097,6.1
US1CALK0009,4.6
US1CALK0014,6.6
US1CALK0017,0.8
US1CALS0001,11.9
US1CALS0002,6.9
US1CAMA0002,45.7
US1CAMA0003,37.6
US1CAMA0004,35.1
US1CAMA0007,40.9
US1CAMA0008,21.6
US1CAMA0009,19.3
US1CAMA0011,19.8
US1CAMA0012,42.7
US1CAMA0016,41.7
US1CAMD0001,1.3
US1CAMD0003,1.3
US1CAMD0005,3.0
US1CAMD0007,0.8
US1CAMD0014,0.3
US1CAMD0017,3.3
US1CAMD0021,4.6
US1CAMD0022,6.4
US1CAMD0026,2.0
US1CAMD0033,1.0
US1CAMD0034,0.3
US1CAMD0038,1.0
US1CAMD0039,4.6
US1CAMD0040,4.8
US1CAMD0042,2.0
US1CAME0004,18.0
US1CAMN0001,12.2
US1CAMN0004,3.0
US1CAMN0005,25.4
US1CAMP0001,40.6
US1CAMP0002,39.6
US1CAMP0003,39.1
US1CAMP0004,35.1
US1CAMP0008,25.4
US1CAMP0009,49.8
US1CAMR0002,1.5
US1CAMR0005,0.3
US1CAMR0009,0.3
US1CAMR0013,0.0
US1CAMR0024,0.0
US1CAMR0025,0.5
US1CAMR0026,0.3
US1CAMR0029,0.5
US1CAMR0030,5.8
US1CAMR0031,2.0
US1CAMR0037,0.0
US1CAMR0045,2.5
US1CAMR0049,0.8
US1CAMT0003,14.7
US1CAMT0005,13.7
US1CAMT0006,0.8
US1CAMT0009,8.1
US1CAMT0019,4.3
US1CAMT0027,9.1
US1CAMT0033,0.3
US1CAMT0041,1.3
US1CAMT0042,7.4
US1CAMT0043,9.1
US1CAMT0046,7.6
US1CAMT0048,0.8
US1CAMT0049,6.6
US1CANP0003,0.0
US1CANP0014,2.5
US1CANV0001,11.2
US1CANV0014,15.7
US1CANV0016,15.2
US1CANV0022,13.2
US1CANV0035,11.4
US1CANV0036,14.0
US1CANV0041,0.0
US1CANV0047,17.8
US1CANV0050,9.7
US1CANV0052,10.2
US1CANV0053,17.0
US1CAOR0001,8.4
US1CAOR0005,15.5
US1CAOR0006,22.6
US1CAOR0009,11.7
US1CAOR0015,6.4
US1CAOR0016,4.8
US1CAOR0019,15.2
US1CAOR0021,8.1
US1CAOR0026,13.0
US1CAOR0027,6.9
US1CAOR0031,8.4
US1CAOR0039,8.1
US1CAOR0041,21.1
US1CAOR0042,5.6
US1CAOR0043,8.1
US1CAOR0049,22.1
US1CAOR0050,10.9
US1CAOR0052,13.0
US1CAOR0058,21.3
US1CAOR0059,12.4
US1CAOR0060,12.2
US1CAOR0061,13.5
US1CAOR0067,12.7
US1CAOR0070,12.7
US1CAOR0071,4.8
US1CAOR0072,8.9
US1CAOR0076,17.5
US1CAOR0077,8.9
US1CAOR0079,4.3
US1CAOR0080,7.9
US1CAPC0001,17.3
US1CAPC0007,4.1
US1CAPC0010,0.0
US1CAPC0011,11.2
US1CAPC0013,12.7
US1CAPC0019,5.6
US1CAPC0024,24.1
US1CAPC0032,11.2
US1CAPC0034,10.7
US1CAPC0035,6.1
US1CAPC0037,11.2
US1CAPC0045,5.6
US1CAPC0047,2.5
US1CAPC0049,8.9
US1CAPM0009,16.5
US1CARV0005,7.4
US1CARV0008,9.9
US1CARV0015,11.4
US1CARV0018,10.7
US1CARV0019,6.1
US1CARV0020,10.2
US1CARV0028,6.1
US1CARV0034,8.6
US1CARV0036,7.4
US1CARV0038,7.6
US1CARV0039,9.9
US1CARV0043,9.7
US1CARV0050,8.4
US1CARV0053,5.6
US1CARV0058,4.3
US1CARV0060,8.9
US1CARV0061,8.4
US1CARV0063,7.4
US1CARV0064,1.0
US1CARV0065,7.9
US1CARV0066,0.0
US1CARV0071,5.3
US1CASA0002,6.4
US1CASA0005,7.1
US1CASA0006,5.6
US1CASA0012,0.3
US1CASA0029,11.2
US1CASA0030,5.8
US1CASA0035,1.8
US1CASA0051,5.6
US1CASA0058,4.6
US1CASA0061,8.4
US1CASA0062,4.6
US1CASA0063,3.6
US1CASB0001,25.9
US1CASB0005,25.1
US1CASB0007,33.0
US1CASB0017,28.2
US1CASB0020,16.3
US1CASC0001,0.3
US1CASC0003,0.3
US1CASC0004,23.9
US1CASC0005,1.8
US1CASC0011,7.9
US1CASC0012,0.8
US1CASC0015,1.0
US1CASC0027,16.3
US1CASC0032,1.5
US1CASC0040,5.6
US1CASC0041,0.5
US1CASC0042,1.5
US1CASC0045,7.4
US1CASC0052,0.8
US1CASC0053,5.3
US1CASC0054,0.3
US1CASC0057,5.1
US1CASC0063,1.0
US1CASC0064,0.5
US1CASC0069,1.5
US1CASC0070,3.3
US1CASD0001,17.8
US1CASD0006,9.4
US1CASD0007,7.9
US1CASD0008,10.4
US1CASD0009,7.1
US1CASD0010,13.5
US1CASD0011,0.0
US1CASD0012,14.7
US1CASD0014,0.0
US1CASD0015,13.7
US1CASD0018,7.1
US1CASD0022,13.5
US1CASD0023,4.6
US1CASD0024,8.9
US1CASD0027,11.4
US1CASD0029,11.4
US1CASD0030,13.0
US1CASD0035,14.0
US1CASD0040,11.4
US1CASD0047,8.4
US1CASD0049,16.5
US1CASD0051,8.6
US1CASD0052,11.4
US1CASD0053,8.4
US1CASD0054,7.9
US1CASD0055,6.4
US1CASD0057,12.4
US1CASD0059,10.2
US1CASD0063,13.2
US1CASD0074,17.0
US1CASD0076,13.2
US1CASD0080,15.2
US1CASD0086,15.7
US1CASD0090,10.4
US1CASD0096,9.7
US1CASD0097,6.4
US1CASD0099,9.9
US1CASD0101,12.4
US1CASD0103,10.9
US1CASD0104,8.4
US1CASD0105,4.6
US1CASD0114,12.2
US1CASD0115,7.6
US1CASD0117,0.8
US1CASD0120,10.4
US1CASD0123,12.2
US1CASD0128,8.9
US1CASD0130,0.0
US1CASD0131,13.2
US1CASD0132,8.9
US1CASD0133,7.4
US1CASD0140,10.4
US1CASD0142,12.2
US1CASD0146,5.8
US1CASD0147,4.3
US1CASD0148,10.9
US1CASD0162,9.7
US1CASD0164,10.4
US1CASD0165,11.7
US1CASD0172,11.7
US1CASD0173,10.4
US1CASD0180,9.9
US1CASD0181,8.4
US1CASD0182,7.6
US1CASD0184,0.0
US1CASD0185,9.9
US1CASD0186,7.6
US1CASD0191,11.2
US1CASD0193,7.4
US1CASD0195,8.6
US1CASD0197,9.9
US1CASD0199,13.5
US1CASD0202,13.7
