station,2020-04-07
US1CAAL0001,6.9
US1CAAL0003,8.1
US1CAAL0004,13.7
US1CAAL0012,14.0
US1CAAL0024,9.1
US1CAAL0025,7.9
US1CAAL0030,8.4
US1CAAL0034,8.4
US1CAAL0039,8.6
US1CAAL0045,7.1
US1CAAL0052,4.1
US1CAAM0009,5.6
US1CAAM0011,7.4
US1CAAM0013,6.6
US1CAAM0014,5.1
US1CABT0005,2.3
US1CABT0008,1.3
US1CABT0009,1.3
US1CABT0015,3.6
US1CABT0019,2.3
US1CABT0026,1.5
US1CABT0032,2.3
US1CABT0033,2.5
US1CACC0001,6.9
US1CACC0006,9.1
US1CACC0010,6.4
US1CACC0011,7.6
US1CACC0012,6.1
US1CACC0016,0.3
US1CACC0018,4.6
US1CACC0025,5.1
US1CACC0028,11.2
US1CACC0031,6.9
US1CACC0037,4.1
US1CACC0040,8.9
US1CACC0043,4.8
US1CADN0001,0.0
US1CADN0005,0.0
US1CADN0006,0.5
US1CADN0007,0.5
US1CADN0011,0.0
US1CADN0017,0.0
US1CAED0003,6.6
US1CAED0010,5.3
US1CAED0012,7.9
US1CAED0017,8.1
US1CAED0020,4.8
US1CAED0023,3.6
US1CAED0027,5.6
US1CAED0029,3.3
US1CAFR0002,6.9
US1CAFR0006,4.1
US1CAFR0008,3.0
US1CAFR0009,1.3
US1CAFR0014,5.3
US1CAFR0021,3.8
US1CAFR0022,4.3
US1CAFR0025,2.0
US1CAFR0026,2.8
US1CAFR0027,1.5
US1CAFR0031,7.9
US1CAHM0001,0.0
US1CAHM0004,0.0
US1CAHM0005,0.5
US1CAHM0006,0.0
US1CAHM0007,0.0
US1CAHM0009,0.0
US1CAHM0014,0.0
US1CAHM0022,0.5
US1CAHM0026,2.8
US1CAHM0030,0.3
US1CAHM0031,0.3
US1CAHM0035,0.0
US1CAHM0037,0.5
US1CAHM0038,0.0
US1CAHM0039,0.0
US1CAHM0041,0.0
US1CAHM0044,0.0
US1CAHM0046,0.0
US1CAHM0048,0.5
US1CAHM0052,0.3
US1CAHM0060,0.0
US1CAHM0063,0.0
US1CAHM0065,0.3
US1CAHM0066,0.3
US1CAHM0070,0.3
US1CAHM0073,0.0
US1CAHM0074,0.8
US1CAHM0077,0.3
US1CAHM0078,0.5
US1CAHM0079,2.0
US1CAHM0084,0.0
US1CAHM0086,0.0
US1CAHM0087,0.0
US1CAHM0091,0.5
US1CAHM0092,0.0
US1CAHM0094,0.3
US1CAHM0097,0.0
US1CAHM0098,0.3
US1CAHM0103,10.2
US1CAIN0004,4.6
US1CAIN0005,0.0
US1CAIN0007,5.1
US1CAIN0008,0.0
US1CAIN0010,4.8
US1CAIN0012,3.6
US1CAIN0013,5.3
US1CAKG0003,9.4
US1CAKG0004,3.6
US1CAKG0005,0.0
US1CAKN0001,17.0
US1CAKN0003,3.8
US1CAKN0013,6.6
US1CAKN0017,10.4
US1CAKN0022,8.9
US1CAKN0026,8.4
US1CAKN0031,3.6
US1CALA0001,7.6
US1CALA0003,0.0
US1CALA0005,12.4
US1CALA0010,25.9
US1CALA0014,14.2
US1CALA0021,21.8
US1CALA0023,14.0
US1CALA0036,6.1
US1CALA0038,7.9
US1CALA0043,24.4
US1CALA0048,1.0
US1CALA0054,0.5
US1CALA0057,7.4
US1CALA0059,13.2
US1CALA0060,10.2
