Year,Alarm Date,Containment Date,Cause #,GIS Calculated Acres,Cause
2017,10/9/2017,10/9/2017,4,0.07946421,Campfire
2017,9/26/2017,11/27/2017,1,1.385606,Lightning
2017,8/3/2017,9/24/2017,1,3.495089,Lightning
2017,9/12/2017,9/24/2017,1,0.07936531,Lightning
2017,9/26/2017,9/26/2017,9,1.425338,Miscellaneous
2017,8/3/2017,9/1/2017,1,0.07913961,Lightning
2017,9/11/2017,9/27/2017,1,0.07920874,Lightning
2017,7/31/2017,11/27/2017,1,8577.552,Lightning
2017,9/11/2017,9/12/2017,1,0.07938439,Lightning
2017,9/11/2017,10/6/2017,1,0.07928222,Lightning
2017,7/8/2017,7/8/2017,9,0.2380705,Miscellaneous
2017,6/26/2017,8/26/2017,9,0.07936285,Miscellaneous
2017,9/21/2017,9/21/2017,9,8.266294,Miscellaneous
2017,6/21/2017,6/21/2017,10,0.07949797,Vehicle
2017,9/12/2017,9/12/2017,1,0.002815646,Lightning
2017,8/2/2017,9/12/2017,1,0.157021,Lightning
2017,7/16/2017,7/26/2017,9,0.2380988,Miscellaneous
2017,7/18/2017,11/27/2017,1,8.235841,Lightning
2017,8/2/2017,8/3/2017,1,0.07938903,Lightning
2017,7/25/2017,8/12/2017,1,0.09953451,Lightning
2017,7/12/2017,7/12/2017,1,0.07913565,Lightning
2017,9/11/2017,9/24/2017,1,0.0792798,Lightning
2017,9/12/2017,9/30/2017,1,0.07950435,Lightning
2017,7/10/2017,7/11/2017,9,0.414853,Miscellaneous
2017,9/11/2017,10/7/2017,1,0.07934111,Lightning
2017,7/23/2017,7/23/2017,9,0.2380843,Miscellaneous
2017,9/7/2017,9/15/2017,10,14.99418,Vehicle
2017,8/2/2017,8/6/2017,1,0.1571503,Lightning
2017,9/12/2017,9/12/2017,1,0.07944368,Lightning
2017,7/10/2017,7/11/2017,1,3.757229,Lightning
2017,7/8/2017,7/11/2017,1,4.578662,Lightning
2017,8/4/2017,9/12/2017,1,0.3168842,Lightning
2017,8/15/2017,8/15/2017,9,0.07963382,Miscellaneous
2017,6/21/2017,6/22/2017,9,0.07965158,Miscellaneous
2017,8/2/2017,11/2/2017,1,10.51803,Lightning
2017,9/15/2017,9/24/2017,1,0.07936616,Lightning
2017,7/27/2017,8/12/2017,1,28.70875,Lightning
2017,8/2/2017,9/12/2017,1,0.157016,Lightning
2017,8/2/2017,11/3/2017,1,56.16541,Lightning
2017,9/20/2017,9/20/2017,9,0.07941185,Miscellaneous
2017,9/1/2017,9/8/2017,14,7051.351,Unknown / Unidentified
2017,8/3/2017,8/15/2017,1,7693.319,Lightning
2017,8/13/2017,11/3/2017,1,7560.077,Lightning
2017,10/8/2017,10/25/2017,14,36522.95,Unknown / Unidentified
2017,8/10/2017,1/9/2018,1,32893.26,Lightning
2017,8/11/2017,11/28/2017,1,492.5997,Lightning
2017,7/24/2017,8/28/2017,1,0.1962595,Lightning
2017,8/11/2017,8/14/2017,14,12.26719,Unknown / Unidentified
2017,6/28/2017,6/30/2017,9,702.3066,Miscellaneous
2017,6/29/2017,7/2/2017,14,20.00055,Unknown / Unidentified
2017,12/6/2017,12/15/2017,4,419.9208,Campfire
2017,10/9/2017,10/16/2017,11,1613.219,Powerline
2017,8/16/2017,8/16/2017,14,150.2368,Unknown / Unidentified
2017,7/27/2017,7/27/2017,9,1.526605,Miscellaneous
2017,7/18/2017,7/18/2017,14,1175.391,Unknown / Unidentified
2017,6/28/2017,6/28/2017,4,2.568609,Campfire
2017,6/3/2017,6/3/2017,7,42.07929,Arson
2017,8/27/2017,8/27/2017,8,0.1167619,Playing with fire
2017,7/27/2017,8/30/2017,1,4665.485,Lightning
