Year,Alarm Date,Containment Date,Cause #,GIS Calculated Acres,Cause
2015,6/5/2015,6/5/2015,1,7.054897,Lightning
2015,6/11/2015,6/11/2015,14,11.8876,Unknown / Unidentified
2015,12/25/2015,12/29/2015,11,1287.388,Powerline
2015,9/10/2015,9/28/2015,14,70846.53,Unknown / Unidentified
2015,7/2/2015,7/2/2015,7,357.5903,Arson
2015,7/12/2015,7/12/2015,2,53.99769,Equipment Use
2015,2/7/2015,2/9/2015,9,6537.519,Miscellaneous
2015,9/19/2015,9/29/2015,7,1075.519,Arson
2015,9/19/2015,9/21/2015,10,90.41469,Vehicle
2015,10/12/2015,10/16/2015,11,686.7833,Powerline
2015,5/10/2015,5/10/2015,1,66.02117,Lightning
2015,7/20/2015,7/20/2015,2,56.30732,Equipment Use
2015,7/21/2015,7/21/2015,14,62.68637,Unknown / Unidentified
2015,5/1/2015,5/1/2015,3,7.469237,Smoking
2015,8/7/2015,8/7/2015,14,15.96706,Unknown / Unidentified
2015,4/27/2015,4/27/2015,14,8.095657,Unknown / Unidentified
2015,3/13/2015,3/13/2015,4,1.204807,Campfire
2015,4/2/2015,4/2/2015,2,6.601349,Equipment Use
2015,5/3/2015,5/3/2015,14,10.10341,Unknown / Unidentified
2015,5/26/2015,5/26/2015,14,96.20006,Unknown / Unidentified
2015,6/13/2015,6/13/2015,14,31.04365,Unknown / Unidentified
2015,5/29/2015,5/29/2015,2,6.101388,Equipment Use
2015,6/23/2015,6/23/2015,2,11.55442,Equipment Use
2015,6/5/2015,6/6/2015,14,410.6794,Unknown / Unidentified
2015,6/29/2015,6/29/2015,14,9.38639,Unknown / Unidentified
2015,6/24/2015,6/26/2015,14,364.396,Unknown / Unidentified
2015,7/12/2015,7/12/2015,14,16.50616,Unknown / Unidentified
2015,9/9/2015,9/10/2015,1,10.72429,Lightning
2015,9/9/2015,9/10/2015,1,4.724183,Lightning
2015,9/9/2015,9/10/2015,1,7.424892,Lightning
2015,8/29/2015,8/29/2015,2,5.217817,Equipment Use
2015,9/5/2015,9/5/2015,9,53.45473,Miscellaneous
2015,8/16/2015,8/16/2015,14,234.188,Unknown / Unidentified
2015,8/9/2015,8/24/2015,14,25118.38,Unknown / Unidentified
2015,6/9/2015,6/10/2015,11,27.71869,Powerline
2015,7/22/2015,8/5/2015,10,8049.334,Vehicle
2015,7/29/2015,8/14/2015,9,69438.16,Miscellaneous
2015,8/24/2015,8/25/2015,2,24.59181,Equipment Use
2015,8/22/2015,8/27/2015,2,138.7429,Equipment Use
2015,9/2/2015,9/8/2015,2,670.2086,Equipment Use
2015,6/8/2015,6/8/2015,14,75.30615,Unknown / Unidentified
2015,6/16/2015,6/16/2015,14,41.14925,Unknown / Unidentified
2015,6/18/2015,6/24/2015,18,139.9756,Escaped Prescribed Burn
2015,6/19/2015,6/19/2015,14,17.75666,Unknown / Unidentified
2015,7/7/2015,7/7/2015,14,12.06065,Unknown / Unidentified
2015,7/14/2015,7/14/2015,14,20.03405,Unknown / Unidentified
2015,7/22/2015,7/22/2015,14,21.7492,Unknown / Unidentified
2015,7/25/2015,8/12/2015,14,2315.63,Unknown / Unidentified
2015,7/27/2015,7/27/2015,7,644.1685,Arson
2015,8/4/2015,8/4/2015,11,28.872,Powerline
2015,8/5/2015,8/8/2015,1,9.868065,Lightning
2015,8/28/2015,8/28/2015,14,19.38586,Unknown / Unidentified
2015,9/1/2015,9/1/2015,14,20.31422,Unknown / Unidentified
2015,9/21/2015,9/21/2015,2,30.55511,Equipment Use
2015,4/5/2015,4/5/2015,18,20.63441,Escaped Prescribed Burn
2015,8/16/2015,8/17/2015,10,12.05913,Vehicle
2015,8/16/2015,8/28/2015,10,2445.945,Vehicle
2015,7/10/2015,7/15/2015,4,94.62711,Campfire
2015,9/12/2015,10/6/2015,14,76084.84,Unknown / Unidentified
2015,4/2/2015,4/25/2015,5,111.9445,Debris
2015,7/30/2015,10/4/2015,1,15.4554,Lightning
2015,7/4/2015,7/7/2015,10,28.01054,Vehicle
2015,7/18/2015,7/22/2015,1,1728.974,Lightning
2015,6/18/2015,6/24/2015,11,921.6489,Powerline
2015,6/21/2015,6/24/2015,5,134.0251,Debris
2015,6/18/2015,6/19/2015,10,58.63923,Vehicle
2015,6/17/2015,6/18/2015,14,170.9495,Unknown / Unidentified
2015,7/24/2015,7/25/2015,14,21.62256,Unknown / Unidentified
2015,6/19/2015,6/20/2015,14,8.234076,Unknown / Unidentified
2015,7/16/2015,7/17/2015,14,23.97301,Unknown / Unidentified
2015,8/9/2015,8/10/2015,14,56.08641,Unknown / Unidentified
2015,2/23/2015,2/23/2015,5,15.15671,Debris
2015,7/11/2015,7/11/2015,9,52.8651,Miscellaneous
2015,3/29/2015,3/29/2015,10,16.00883,Vehicle
