,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,DURATION
261,SPRING PEAK,2013-08-18,2013-08-27,Lightning,14267.09,11
376,CREEK ,2017-09-03,2017-09-12,Lightning,1747.87,11
215,GEOLOGY,2023-06-10,2023-06-18,Vehicle,1033.308,10
536,OAK,2017-11-29,2017-12-07,Vehicle,325.5135,10
176,BOARDMAN 2,2015-08-01,2015-08-09,Lightning,94.74877,10
496,JIM,2017-07-28,2017-08-05,Lightning,13.09252,10
23,CREEK,2020-08-18,2020-08-26,Vehicle,834.2442,10
195,BEN,2017-06-28,2017-07-06,Vehicle,558.1425,10
284,ROAD,2021-07-10,2021-07-18,Equipment Use,83.56132,10
224,SLIDE 1,2023-08-15,2023-08-23,Lightning,472.7209,10
208,WARNER 1-1,2013-08-19,2013-08-27,Lightning,182.4396,10
252,TELEPHONE,2019-08-31,2019-09-08,Lightning,25.456,10
139,QUEEN,2021-08-01,2021-08-09,Equipment Use,32.81554,10
574,RATTLESNAKE,2017-09-07,2017-09-15,Vehicle,14.99418,10
226,ROAD,2015-07-30,2015-08-07,Lightning,378.9736,10
291,ROWHER,2020-07-01,2020-07-09,Arson,648.1807,10
144,CANYON II,2017-10-09,2017-10-17,Debris,9198.028,10
93,BRANDIE,2022-06-11,2022-06-19,Equipment Use,71.87849,10
119,LOST,2021-07-10,2021-07-18,Lightning,100.7824,10
126,MOJAVE,2021-06-17,2021-06-25,Lightning,2490.498,10
285,PORCUPINE,2013-09-10,2013-09-18,Lightning,0.07934793,10
131,BORDER 2,2021-01-13,2021-01-21,Debris,18.64428,10
428,SLIDE,2017-09-12,2017-09-20,Lightning,58.13599,10
263,FROG,2015-07-30,2015-08-07,Lightning,4862.165,10
538,BRYANT 2,2017-08-03,2017-08-11,Arson,336.6238,10
37,ONION,2013-04-23,2013-05-01,Escaped Prescribed Burn,27.25248,10
258,BAUTISTA,2019-09-15,2019-09-23,Equipment Use,166.2591,10
111,POND,2020-08-01,2020-08-09,Arson,1962.329,10
382,DAIRY,2021-06-15,2021-06-23,Escaped Prescribed Burn,161.2339,10
153,BRIDAL VEIL,2015-10-05,2015-10-13,Lightning,38.40899,10
297,GETTY,2019-10-28,2019-11-05,Powerline,552.6332,10
263,TOWNSEND,2023-08-15,2023-08-23,Lightning,81.23029,10
316,NORTH,2020-08-02,2020-08-10,Vehicle,6882.293,10
281,SNOW,2020-09-17,2020-09-24,Vehicle,6253.439,9
221,R6 CREEK,2019-09-06,2019-09-13,Lightning,66.47962,9
11,FARRIER,2020-07-24,2020-07-31,Playing with fire,22.6343,9
218,R1 RANCH,2019-08-28,2019-09-04,Lightning,3379.286,9
46,RAINBOW,2022-07-16,2022-07-23,Arson,66.32885,9
107,STILL,2022-08-27,2022-09-03,Equipment Use,43.21048,9
260,BASEBALL,2020-02-25,2020-03-03,Escaped Prescribed Burn,215.5255,9
599,37,2017-10-09,2017-10-16,Powerline,1613.219,9
176,BREWER,2017-07-02,2017-07-09,Equipment Use,12.40011,9
63,HOPKINS,2021-09-12,2021-09-19,Arson,253.9064,9
111,PALMAS,2015-10-15,2015-10-22,Lightning,69.16941,9
421,CRESCENT,2017-06-30,2017-07-07,Arson,53.14948,9
270,ANTELOPE,2021-06-22,2021-06-29,Lightning,111.5138,9
140,BAMBI,2021-08-11,2021-08-18,Campfire,7.521858,9
115,KING,2021-06-29,2021-07-06,Lightning,11.13475,9
244,STEPHENS,2015-02-24,2015-03-03,Debris,209.6283,9
468,MILE,2017-07-31,2017-08-07,Arson,67.45031,9
267,CUTTHROAT,2019-09-05,2019-09-12,Lightning,17.78256,9
257,QUEEN,2015-07-25,2015-08-01,Arson,159.3774,9
207,FISH,2015-05-20,2015-05-27,Campfire,20.86502,9
11,TURNOUT,2021-04-18,2021-04-25,Escaped Prescribed Burn,191.6513,9
152,HIGH GLADE,2013-11-23,2013-11-30,Equipment Use,304.9261,9
38,FAWN,2021-09-22,2021-09-29,Arson,8576.493,9
261,ABERNATHY,2021-01-19,2021-01-26,Powerline,373.5444,9
224,DYER,2015-07-30,2015-08-06,Lightning,757.9618,9
237,GRIZZLY,2013-08-09,2013-08-16,Lightning,23.21056,9
6,LIEBRE,2013-11-12,2013-11-19,Arson,14.52183,9
147,MARSH 5,2019-08-02,2019-08-09,Arson,226.6169,9
284,VAN DUZEN,2019-08-18,2019-08-25,Arson,21.87162,9
146,MARSH 3,2019-08-02,2019-08-09,Arson,339.9227,9
148,MARSH 6,2019-08-02,2019-08-09,Arson,173.9333,9
429,SKELETON,2017-09-12,2017-09-18,Lightning,87.87638,8
306,AURORA,2020-06-26,2020-07-02,Lightning,238.2839,8
39,BEALE,2021-06-13,2021-06-19,Powerline,201.303,8
37,FORK,2022-09-07,2022-09-13,Vehicle,818.4309,8
266,DEN,2023-08-18,2023-08-24,Lightning,294.8512,8
60,CORRINE,2015-06-18,2015-06-24,Powerline,921.6489,8
260,BUNNELL,2013-09-10,2013-09-16,Lightning,0.07944366,8
419,POSLIN,2017-08-06,2017-08-12,Lightning,855.2444,8
222,R2 SNOWSTORM,2019-06-13,2019-06-19,Lightning,23.71169,8
36,COW,2021-06-20,2021-06-26,Equipment Use,761.1113,8
437,CLAIRE,2017-09-07,2017-09-13,Lightning,12.89506,8
321,GRAPEVINE,2021-03-14,2021-03-20,Debris,86.20689,8
234,JOESPH,2017-08-30,2017-09-05,Lightning,28.71929,8
214,VALLEY,2023-06-17,2023-06-23,Lightning,28.64047,8
206,CLOVER,2013-09-09,2013-09-15,Arson,8075.774,8
304,LITTLE MARBLE,2021-09-08,2021-09-14,Campfire,14.00079,8
214,WINTER,2017-07-06,2017-07-12,Vehicle,2366.235,8
338,PAN,2021-07-03,2021-07-09,Lightning,38.7627,8
249,FOX,2019-08-28,2019-09-03,Lightning,13.15924,8
123,TREE,2015-07-26,2015-08-01,Equipment Use,12.72052,8
191,PEAK,2017-09-03,2017-09-09,Vehicle,677.8926,8
279,GRIZZLEY TUNNEL,2019-09-16,2019-09-22,Lightning,5.562233,8
233,FIVE,2019-08-03,2019-08-09,Equipment Use,156.3954,8
113,SHINN,2015-06-30,2015-07-06,Lightning,110.8015,8
312,R-2 SCHAFFER,2017-07-24,2017-07-30,Lightning,26.49388,8
70,HIGHWAY,2015-04-18,2015-04-24,Campfire,1048.689,8
158,GOLD,2017-07-11,2017-07-17,Arson,37.16428,8
102,APPLE,2022-07-27,2022-08-02,Powerline,41.09785,8
172,TWO MILE ,2015-04-21,2015-04-27,Debris,7.511982,8
245,WATER,2015-08-01,2015-08-07,Lightning,35.91605,8
118,ANZAR,2022-07-21,2022-07-27,Powerline,101.0951,8
234,PETER,2022-07-14,2022-07-20,Structure,303.67,8
209,DEVIL,2015-06-09,2015-06-15,Lightning,20.12851,8
107,BRANCH,2020-07-28,2020-08-03,Vehicle,2922.204,8
175,PARK,2020-07-04,2020-07-10,Equipment Use,342.5213,8
7,CREEK_4,2019-08-31,2019-09-06,Equipment Use,754.4257,8
271,WATT,2022-10-15,2022-10-21,Powerline,42.42685,8
240,CLARK,2015-07-30,2015-08-05,Lightning,675.5582,8
235,SPRINGER,2015-07-30,2015-08-05,Lightning,0.489983,8
229,HALSEY,2015-07-30,2015-08-05,Lightning,7.228922,8
123,MIAS,2017-08-14,2017-08-20,Powerline,521.0856,8
282,PUMICE ,2020-06-15,2020-06-21,Lightning,43.0267,8
39,COOK,2015-06-18,2015-06-24,Escaped Prescribed Burn,139.9756,8
46,BORDER,2019-05-13,2019-05-19,Debris,23.3554,8
217,R2 RAVEN,2019-08-07,2019-08-13,Lightning,10.84658,8
36,ELK,2015-09-02,2015-09-08,Equipment Use,670.2086,8
482,DOBE,2017-07-13,2017-07-18,Lightning,381.0148,7
144,TAR,2020-08-13,2020-08-18,Lightning,20.48829,7
484,RIMROCK2,2017-07-24,2017-07-29,Lightning,29.35282,7
277,ELK TRAIL,2022-05-26,2022-05-31,Arson,414.1108,7
30,SAND,2019-06-08,2019-06-13,Lightning,2422.018,7
234,IMVITE,2023-04-17,2023-04-22,Vehicle,62.93432,7
113,SPENCEVILLE,2023-07-26,2023-07-31,Equipment Use,10.8,7
26,MINA,2020-08-10,2020-08-15,Campfire,158.8692,7
305,ROUTE,2021-09-11,2021-09-16,Campfire,455.3456,7
449,ICE,2017-10-10,2017-10-15,Equipment Use,29.37,7
128,OVERLAND,2021-06-19,2021-06-24,Campfire,559.1455,7
60,HOUSE,2021-08-04,2021-08-09,Smoking,59.11795,7
151,DAVES,2013-06-10,2013-06-15,Lightning,225.7149,7
54,DEER,2015-07-10,2015-07-15,Campfire,94.62711,7
385,DUTCHMAN,2017-08-07,2017-08-12,Lightning,1522.747,7
9,SHARP,2013-08-08,2013-08-13,Arson,245.4933,7
105,CAMPO,2021-04-29,2021-05-04,Debris,159.9778,7
361,ELM,2017-05-18,2017-05-23,Equipment Use,11146.75,7
118,HOOVER,2021-07-19,2021-07-24,Lightning,58.59269,7
423,TOLL,2017-08-20,2017-08-25,Arson,57.91714,7
123,POND,2021-08-30,2021-09-04,Lightning,490.7352,7
247,BALD FIRE,2015-06-09,2015-06-14,Lightning,26.9475,7
127,LINCOLN,2019-03-15,2019-03-20,Arson,564.2154,7
168,GRADE,2017-07-16,2017-07-21,Vehicle,890.5153,7
13,TURKEY,2023-07-26,2023-07-31,Arson,52.17383,7
141,MARRON 6,2021-08-30,2021-09-04,Debris,28.44671,7
35,MAXWELL,2021-10-05,2021-10-10,Arson,76.48464,7
244,IRON,2020-08-17,2020-08-22,Lightning,37.90358,7
322,R-2 BUTTE WELL,2017-09-06,2017-09-11,Lightning,17.38799,7
452,WINTON,2017-08-28,2017-09-02,Arson,0.170771,7
74,ANZA,2015-08-10,2015-08-15,Vehicle,543.5366,7
316,R-5 STONEY,2017-08-22,2017-08-27,Lightning,203.9681,7
205,LITTLE,2013-07-26,2013-07-31,Lightning,8.567074,7
35,PETERSON ,2015-08-22,2015-08-27,Equipment Use,138.7429,7
74,APSUUN,2017-06-30,2017-07-05,Arson,11.60558,7
302,SCORPION,2020-05-31,2020-06-05,Equipment Use,1320.728,7
320,R-3 SKEDDADLE,2020-06-23,2020-06-28,Lightning,197.5077,7
322,R-5 DRY,2020-06-23,2020-06-28,Lightning,45.45549,7
91,HOLLISTER,2022-03-12,2022-03-17,Arson,123.7686,7
323,R-8 PINECODE,2020-08-24,2020-08-29,Lightning,566.4945,7
271,RAINBOW VIEW,2013-05-09,2013-05-14,Lightning,0.07944103,7
319,R-2 TRUMBULL,2020-06-23,2020-06-28,Lightning,576.6608,7
318,R-3 LITTLE FREDOYNER,2020-07-21,2020-07-26,Lightning,187.3438,7
4,MELANESE,2020-04-14,2020-04-19,Escaped Prescribed Burn,10.31596,7
108,RUCKER,2017-09-29,2017-10-04,Vehicle,429.7042,7
541,RANCH,2017-07-26,2017-07-31,Equipment Use,138.5487,7
0,NELSON,2020-06-18,2020-06-23,Powerline,109.6023,7
41,AGUA,2022-07-18,2022-07-23,Vehicle,396.7744,7
67,WHITEPINE,2017-06-06,2017-06-11,Debris,44.10824,7
292,TEXAS,2020-08-06,2020-08-11,Equipment Use,209.9507,7
232,LOWE,2019-09-22,2019-09-27,Arson,10.50961,7
255,ADAMS,2020-07-26,2020-07-31,Lightning,901.6728,7
9,GUNNISON,2021-05-08,2021-05-12,Equipment Use,548.9937,6
171,FISH,2019-07-15,2019-07-19,Equipment Use,76.82652,6
79,PACHECO,2015-09-09,2015-09-13,Vehicle,217.7269,6
309,SHAFFER,2017-06-19,2017-06-23,Lightning,59.03882,6
80,PARKHILL,2015-06-20,2015-06-24,Vehicle,1812.315,6
363,CREEK,2017-06-23,2017-06-27,Debris,356.9353,6
59,MCCABE,2015-07-18,2015-07-22,Lightning,1728.974,6
112,HART,2021-08-31,2021-09-04,Lightning,6.53971,6
167,BITTER,2020-06-16,2020-06-20,Vehicle,895.4044,6
485,GULCH,2020-11-27,2020-12-01,Campfire,7.514976,6
368,FLAT,2017-08-26,2017-08-30,Equipment Use,110.8288,6
84,RANCHO,2013-07-18,2013-07-22,Smoking,712.046,6
207,W-1 MCDONALD,2019-08-08,2019-08-12,Lightning,1020.325,6
235,DANCE,2013-07-29,2013-08-02,Arson,576.6869,6
136,MARRON 4,2021-07-11,2021-07-15,Vehicle,37.3201,6
432,APACHE ,2017-05-13,2017-05-17,Campfire,24.40058,6
37,ROCK,2021-06-15,2021-06-19,Equipment Use,107.1646,6
10,WONDER,2023-07-24,2023-07-28,Railroad,161.8137,6
347,MANZANITA,2017-06-26,2017-06-30,Vehicle,6303.659,6
93,SUN,2023-11-09,2023-11-13,Equipment Use,211.192,6
19,RAMONA,2023-05-22,2023-05-26,Equipment Use,337.9316,6
456,LOST,2017-07-22,2017-07-26,Campfire,250.5664,6
171,SPENCEVILLE,2017-07-24,2017-07-28,Vehicle,37.28971,6
157,FELIPE,2013-05-23,2013-05-27,Escaped Prescribed Burn,2780.291,6
6,CIENEGA,2015-10-12,2015-10-16,Powerline,686.7833,6
114,RUN,2022-10-29,2022-11-02,Equipment Use,11.89783,6
298,IVANPAH,2020-06-22,2020-06-26,Playing with fire,1051.485,6
315,R-3 MUD,2017-08-22,2017-08-26,Lightning,99.57364,6
168,HUNTER,2020-06-21,2020-06-25,Campfire,194.558,6
77,POWER,2020-07-11,2020-07-15,Powerline,151.5495,6
142,SOLIMAR,2015-12-25,2015-12-29,Powerline,1287.388,6
136,SHELL,2023-07-30,2023-08-03,Vehicle,114.7964,6
75,HUNTERS,2020-06-07,2020-06-11,Equipment Use,82.1401,6
50,SPRING,2021-06-12,2021-06-16,Equipment Use,18.20975,6
99,MADRE,2013-09-23,2013-09-27,Debris,209.502,6
71,BOGUS,2017-06-18,2017-06-22,Debris,55.97834,6
233,PINE,2017-07-27,2017-07-31,Lightning,21.24126,6
391,SECRET,2017-08-07,2017-08-11,Lightning,50.05243,6
48,HILL,2017-06-26,2017-06-30,Vehicle,1645.591,6
67,HOUSE,2022-05-11,2022-05-15,Equipment Use,159.2148,6
181,BARRETT 4,2022-06-12,2022-06-16,Arson,49.2244,6
180,BORDER 13,2022-06-13,2022-06-17,Arson,568.2128,6
575,NORTH DOME,2017-08-02,2017-08-06,Lightning,0.1571503,6
242,BALD,2020-07-28,2020-08-01,Lightning,17.9241,6
210,SYCAMORE,2023-10-16,2023-10-20,Equipment Use,23.93,6
331,R-1 ROCK,2021-05-14,2021-05-18,Lightning,12.32582,6
250,FEATHER,2020-08-13,2020-08-17,Equipment Use,39.70483,6
257,COPPER,2020-08-18,2020-08-22,Lightning,54.70824,6
469,BLUE,2020-10-16,2020-10-20,Lightning,5.151273,6
189,SCALES,2015-08-01,2015-08-05,Equipment Use,45.73383,6
210,PAW,2015-07-31,2015-08-04,Lightning,10.24,6
136,ROCKY,2019-06-14,2019-06-18,Powerline,16.37956,6
216,R1 JUNIPER,2019-08-07,2019-08-11,Lightning,130.1407,6
15,DINELY,2017-06-07,2017-06-11,Equipment Use,340.5638,6
279,BAKER,2020-03-03,2020-03-07,Debris,47.61832,6
197,SPRING,2017-07-03,2017-07-07,Equipment Use,208.2268,6
381,PILOT,2017-08-29,2017-09-02,Lightning,8.603203,6
83,DRUM,2020-06-14,2020-06-17,Equipment Use,695.4706,5
267,MOUNT R,2020-07-03,2020-07-06,Equipment Use,61.77013,5
76,PASS,2020-06-28,2020-07-01,Powerline,2163.698,5
92,HOLLISTER,2020-05-07,2020-05-10,Powerline,157.0178,5
219,R4 RAILROAD,2019-08-10,2019-08-13,Lightning,24.10597,5
79,HENSLEY,2020-08-30,2020-09-02,Arson,398.4815,5
413,BRIDGE,2017-10-31,2017-11-03,Equipment Use,35.51982,5
107,MURKEN,2013-08-19,2013-08-22,Lightning,78.94888,5
214,HORSE,2019-10-13,2019-10-16,Lightning,54.57251,5
117,WHALE,2020-08-15,2020-08-18,Lightning,322.3367,5
261,RIDGE,2020-06-17,2020-06-20,Vehicle,82.71301,5
70,COVE,2019-06-20,2019-06-23,Arson,29.09276,5
578,GRANITE,2017-07-08,2017-07-11,Lightning,4.578662,5
63,HILLS,2019-05-29,2019-06-01,Equipment Use,120.6404,5
182,LOPEZ,2019-09-21,2019-09-24,Campfire,205.1924,5
61,DEER,2019-06-23,2019-06-26,Arson,64.95156,5
468,RALPH ,2020-08-15,2020-08-18,Lightning,9.390384,5
501,BATTLE,2017-06-28,2017-07-01,Equipment Use,653.5079,5
62,ALABAMA,2021-06-18,2021-06-21,Lightning,566.5927,5
317,R-1 MAPES,2020-08-10,2020-08-13,Lightning,258.9581,5
51,SAWDAY,2019-10-25,2019-10-28,Structure,101.1678,5
467,PLASKETT,2020-06-03,2020-06-06,Debris,1.500947,5
504,GRANT,2017-07-31,2017-08-03,Lightning,394.8168,5
508,SKYWAY,2017-06-16,2017-06-19,Vehicle,143.6004,5
143,FOSTER,2013-05-03,2013-05-06,Debris,187.4242,5
12,FIELDS,2020-10-06,2020-10-09,Debris,55.32843,5
326,SMOKETREE,2020-06-02,2020-06-05,Playing with fire,129.9944,5
328,W-4 TERMO,2020-08-17,2020-08-20,Lightning,265.5839,5
22,OAK,2019-09-07,2019-09-10,Equipment Use,53.11696,5
494,MOWITZ,2017-08-23,2017-08-26,Lightning,15.72661,5
1,AMORUSO,2020-06-01,2020-06-04,Equipment Use,685.585,5
121,GRADE,2020-06-22,2020-06-25,Arson,1050.24,5
122,FORKS,2020-06-18,2020-06-21,Structure,117.2348,5
123,SPRINGS,2020-06-19,2020-06-22,Vehicle,223.8869,5
453,MIDDLE,2017-07-09,2017-07-12,Campfire,1.209222,5
48,GARDEN,2020-05-06,2020-05-09,Equipment Use,49.00878,5
26,CANYON,2019-07-22,2019-07-25,Equipment Use,48.00141,5
5,SWEDES,2019-09-06,2019-09-09,Debris,510.1355,5
5,PANTHER RIDGE,2021-01-19,2021-01-22,Powerline,19.72582,5
4,FREEDOM,2021-01-19,2021-01-22,Powerline,33.25922,5
47,BURNETT,2015-08-05,2015-08-08,Lightning,9.868065,5
314,R-4 RANCH,2017-08-09,2017-08-12,Lightning,120.2505,5
120,ROSE,2017-07-31,2017-08-03,Equipment Use,188.1239,5
168,SKY,2015-06-18,2015-06-21,Equipment Use,498.9207,5
71,PEBBLE,2022-07-31,2022-08-03,Structure,54.41259,5
159,STAGECOACH,2017-07-20,2017-07-23,Smoking,11.93284,5
183,JENNINGS 2,2017-07-11,2017-07-14,Vehicle,332.5865,5
143,BECKWOURTH LIGHTNING COMPLEX,2015-07-02,2015-07-05,Lightning,14.3103,5
60,SIERRA,2013-06-17,2013-06-20,Equipment Use,45.56087,5
269,CABLE,2013-03-28,2013-03-31,Powerline,0.343236,5
191,CARAWAY,2023-08-28,2023-08-31,Lightning,11.8399,5
266,OLD,2013-08-18,2013-08-21,Vehicle,161.9402,5
287,FAIRCHILD,2021-06-23,2021-06-26,Lightning,19.52532,5
112,S2 COAL,2015-07-07,2015-07-10,Lightning,29.95277,5
248,ROCK,2021-08-24,2021-08-27,Arson,318.4139,5
94,NISEMAN,2022-06-18,2022-06-21,Equipment Use,17.06631,5
100,PORTER,2022-07-09,2022-07-12,Equipment Use,166.603,5
34,CEDAR,2013-05-01,2013-05-04,Escaped Prescribed Burn,68.20666,5
21,1-10,2023-08-15,2023-08-18,Lightning,56.87772,5
283,LAKE,2013-08-20,2013-08-23,Lightning,0.0793656,5
284,PATE,2013-08-20,2013-08-23,Lightning,0.0792402,5
236,HIDDEN,2015-07-30,2015-08-02,Lightning,11.04564,5
223,DAILEY,2015-07-30,2015-08-02,Lightning,16.6561,5
232,POWER,2022-10-23,2022-10-26,Powerline,21.0131,5
225,WILLOW,2022-08-04,2022-08-07,Lightning,35.42039,5
209,MCGINTY,2022-08-04,2022-08-07,Lightning,48.1479,5
56,POLY,2017-09-26,2017-09-29,Equipment Use,105.6661,5
115,PROVENZA,2022-11-13,2022-11-16,Debris,7.863962,5
121,GREEN,2023-10-06,2023-10-09,Powerline,247.2606,5
201,SUCCESS 2,2021-06-18,2021-06-21,Lightning,423.5609,5
33,HESPERIA,2022-06-06,2022-06-09,Equipment Use,96.88597,5
311,R-10 PAINTER,2017-07-24,2017-07-27,Lightning,83.8342,5
330,TECOPA,2017-09-11,2017-09-14,Lightning,26.99338,5
348,SHAVER,2017-09-11,2017-09-14,Campfire,8.590142,5
153,SLOPE,2021-05-31,2021-06-03,Powerline,23.99675,5
58,SODA,2015-07-04,2015-07-07,Vehicle,28.01054,5
73,LOPEZ,2021-05-08,2021-05-11,Equipment Use,55.25064,5
147,BAKER,2021-05-27,2021-05-30,Arson,24.94695,5
61,RED,2015-06-21,2015-06-24,Debris,134.0251,5
252,BAR,2013-05-04,2013-05-07,Lightning,15.35903,5
313,R-9 SHINN,2017-07-24,2017-07-27,Lightning,278.1283,5
150,MARLAR,2021-08-15,2021-08-18,Vehicle,29.3616,5
336,COWHEAD,2017-10-09,2017-10-12,Campfire,31.66678,5
249,PINE,2020-07-28,2020-07-30,Lightning,11.31372,4
124,DUNE,2022-06-16,2022-06-18,Arson,11.36639,4
424,GENESSEE,2017-06-30,2017-07-02,Arson,6.275238,4
186,WHITE ,2015-07-21,2015-07-23,Lightning,15.37785,4
258,BIRD,2020-07-21,2020-07-23,Lightning,25.04811,4
43,DULUTH,2020-08-10,2020-08-12,Vehicle,71.94994,4
358,PARK,2017-07-17,2017-07-19,Equipment Use,1648.704,4
259,BROCK,2020-06-04,2020-06-06,Lightning,14.98823,4
143,JACK,2022-06-23,2022-06-25,Lightning,21.38803,4
306,WEST,2017-04-01,2017-04-03,Debris,401.2877,4
113,GARDEN BAR,2022-09-17,2022-09-19,Arson,28.27837,4
72,HOPE,2022-06-07,2022-06-09,Equipment Use,13.11081,4
256,ASH,2023-08-16,2023-08-18,Lightning,14.55784,4
119,OPERA,2017-04-30,2017-05-02,Vehicle,999.6262,4
112,NADER,2022-09-17,2022-09-19,Vehicle,16.17019,4
141,RAIL,2013-09-05,2013-09-07,Equipment Use,67.92242,4
274,GIFFORD ,2020-06-08,2020-06-10,Vehicle,16.80192,4
350,PARKFIELD,2017-09-03,2017-09-05,Equipment Use,70.22348,4
42,LOMA,2021-08-08,2021-08-10,Equipment Use,12.10306,4
104,BEAR,2022-07-28,2022-07-30,Equipment Use,9.674923,4
5,LAURELES,2015-09-19,2015-09-21,Vehicle,90.41469,4
238,13 ,2013-04-29,2013-05-01,Campfire,10.66219,4
78,BEN,2020-07-15,2020-07-17,Powerline,48.12535,4
239,GRUB,2013-03-17,2013-03-19,Campfire,11.73746,4
242,MILITARY,2015-10-10,2015-10-12,Campfire,52.84043,4
86,GAREY,2020-11-29,2020-12-01,Equipment Use,12.15279,4
268,SUEY,2022-05-22,2022-05-24,Equipment Use,15.09703,4
48,FRENCHTOWN,2021-07-20,2021-07-22,Vehicle,54.10636,4
269,FAIRVIEW,2022-07-08,2022-07-10,Powerline,11.73994,4
256,BUCK FIRE,2015-07-28,2015-07-30,Equipment Use,15.85715,4
8,SLACKS,2023-07-15,2023-07-17,Vehicle,40.41796,4
70,TULLEY,2021-04-28,2021-04-30,Debris,62.66148,4
141,SYCAMORE,2020-06-23,2020-06-25,Arson,26.59245,4
104,GILBERT,2019-08-04,2019-08-06,Equipment Use,33.09216,4
123,TULLOCH,2019-09-23,2019-09-25,Vehicle,83.95777,4
108,COTTAGE,2019-08-15,2019-08-17,Equipment Use,112.2924,4
144,HOLLOW,2019-07-03,2019-07-05,Vehicle,282.2256,4
173,GARRISON,2022-07-03,2022-07-05,Powerline,147.4871,4
186,BORDER 19,2022-06-24,2022-06-26,Arson,16.96958,4
373,ELEPHANT,2017-07-29,2017-07-31,Lightning,139.4669,4
192,CASNER,2022-09-27,2022-09-29,Equipment Use,178.2691,4
45,STONE,2017-07-09,2017-07-11,Equipment Use,340.4365,4
101,CASTLE,2021-03-19,2021-03-21,Campfire,5.136026,4
46,HIGHLINE,2013-04-01,2013-04-03,Lightning,261.724,4
380,MURPHY,2017-08-24,2017-08-26,Equipment Use,9.045541,4
17,ELEPHANT 2,2017-07-20,2017-07-22,Arson,415.2116,4
16,ROADRUNNER,2017-07-30,2017-08-01,Arson,2284.596,4
80,GIBSON,2021-07-20,2021-07-22,Arson,29.98372,4
71,FRAME,2019-09-30,2019-10-02,Arson,15.02215,4
239,TEFT,2022-07-15,2022-07-17,Vehicle,25.53244,4
289,33,2020-05-22,2020-05-24,Equipment Use,33.6675,4
64,BELL,2022-07-17,2022-07-19,Equipment Use,42.91696,4
183,VICTOR,2023-07-25,2023-07-27,Campfire,57.49,4
317,CHICKEN,2021-07-18,2021-07-20,Equipment Use,117.692,4
127,RIVER,2015-06-22,2015-06-24,Lightning,164.7058,4
321,R-5 SPANISH,2017-08-29,2017-08-31,Lightning,166.8586,4
152,RUTH 2,2021-06-06,2021-06-08,Equipment Use,13.3051,4
338,MYER,2020-06-12,2020-06-14,Equipment Use,12.8949,4
55,TIGER,2013-08-18,2013-08-20,Lightning,16.32401,4
447,KLAMATH,2017-07-04,2017-07-06,Campfire,80.11019,4
335,R-6 TUNNISON,2020-07-28,2020-07-30,Lightning,175.148,4
520,SKEGGS,2017-09-11,2017-09-13,Lightning,36.33775,4
304,REFUGE,2019-05-07,2019-05-09,Equipment Use,3283.456,4
221,TORO,2013-11-08,2013-11-10,Equipment Use,51.07315,4
324,RAILROAD,2020-06-23,2020-06-25,Lightning,131.8772,4
15,1-4 BIZZ,2021-06-23,2021-06-25,Lightning,13.89517,4
317,R-9 FREDONYER,2017-08-23,2017-08-25,Lightning,22.03393,4
261,TOWSLEY,2017-07-13,2017-07-15,Playing with fire,35.99306,4
2,REFUGE,2021-03-27,2021-03-29,Escaped Prescribed Burn,873.3917,4
7,BUTANO,2021-01-19,2021-01-21,Lightning,169.8688,4
471,SILVER,2017-07-04,2017-07-06,Equipment Use,12.00793,4
493,COTTONWOOD,2020-07-27,2020-07-29,Vehicle,788.082,4
290,MUIR 2,2019-10-24,2019-10-26,Vehicle,55.84444,4
148,ROLLING,2013-06-16,2013-06-18,Vehicle,481.9571,4
246,HUNGRY,2021-07-31,2021-08-02,Vehicle,365.7711,4
490,TANK,2017-08-08,2017-08-10,Lightning,11.39594,4
105,36,2015-08-08,2015-08-10,Powerline,97.43904,4
182,LONG,2023-07-25,2023-07-27,Structure,27.6025,4
109,BECKS,2013-01-22,2013-01-24,Debris,318.5916,4
30,DONICA,2022-07-16,2022-07-18,Vehicle,129.1635,4
157,WARM,2015-08-16,2015-08-18,Arson,270.0217,4
160,REX,2017-07-12,2017-07-14,Equipment Use,11.73705,4
14,HIGHWAY,2022-07-29,2022-07-31,Arson,28.10259,4
201,KIRKER,2013-07-01,2013-07-03,Powerline,478.0438,4
170,BEALE,2017-08-20,2017-08-22,Powerline,867.0196,4
215,HORSE,2019-08-24,2019-08-26,Lightning,123.0513,4
181,MONTEZUMA,2017-08-26,2017-08-28,Vehicle,65.18426,4
311,HILL,2020-06-23,2020-06-25,Lightning,63.22726,4
150,CROCKETT,2013-08-09,2013-08-11,Lightning,6.887073,4
220,R3 RYE PATCH,2019-07-26,2019-07-28,Lightning,14.14846,4
148,FISH,2021-07-04,2021-07-06,Smoking,65.27412,4
142,WHITTEMORE,2013-08-21,2013-08-22,Lightning,51.76894,3
81,BAR,2020-04-25,2020-04-26,Debris,57.78563,3
171,ORANGE,2023-06-01,2023-06-02,Equipment Use,108.165,3
308,DELEVAN T28,2019-08-05,2019-08-06,Equipment Use,1.919023,3
180,JUNIPER,2023-07-18,2023-07-19,Vehicle,11.1383,3
8,WILLOW,2020-03-10,2020-03-11,Debris,33.97389,3
115,PASS,2020-08-04,2020-08-05,Vehicle,323.1761,3
2,JACKSON,2023-07-01,2023-07-02,Equipment Use,27.81446,3
