station,2024-01-22
US1CAAL0001,35.3
US1CAAL0003,32.3
US1CAAL0004,29.2
US1CAAL0006,32.5
US1CAAL0012,26.4
US1CAAL0024,34.8
US1CAAL0025,15.7
US1CAAL0030,45.5
US1CAAL0034,20.6
US1CAAL0039,19.6
US1CAAL0050,21.6
US1CAAL0052,37.1
US1CAAL0060,15.2
US1CAAM0007,36.6
US1CAAM0009,31.0
US1CAAM0011,29.7
US1CAAM0013,26.7
US1CAAM0016,26.2
US1CAAM0018,29.2
US1CAAM0019,16.8
US1CABT0005,65.8
US1CABT0008,27.9
US1CABT0009,28.4
US1CABT0019,25.9
US1CABT0026,46.5
US1CABT0032,0.0
US1CABT0033,64.8
US1CABT0042,18.8
US1CABT0044,57.9
US1CACC0001,16.5
US1CACC0004,21.6
US1CACC0006,22.9
US1CACC0010,23.4
US1CACC0011,14.5
US1CACC0012,12.4
US1CACC0018,20.3
US1CACC0025,25.7
US1CACC0031,22.6
US1CACC0036,20.1
US1CACC0037,11.9
US1CACC0040,17.5
US1CACC0045,39.4
US1CACC0046,9.1
US1CACC0052,25.1
US1CACC0053,18.3
US1CACL0001,23.1
US1CACV0011,31.2
US1CACV0012,42.9
US1CADN0001,40.4
US1CADN0005,48.3
US1CADN0006,45.2
US1CADN0007,41.1
US1CADN0008,43.9
US1CADN0011,39.9
US1CADN0012,33.8
US1CADN0017,35.6
US1CADN0021,41.1
US1CAED0003,12.2
US1CAED0010,13.7
US1CAED0023,12.2
US1CAED0029,15.7
US1CAED0032,12.4
US1CAED0036,17.3
US1CAFR0002,21.1
US1CAFR0008,8.4
US1CAFR0014,12.2
US1CAFR0021,4.8
US1CAFR0022,6.4
US1CAFR0025,6.1
US1CAFR0026,10.4
US1CAFR0031,21.3
US1CAFR0033,11.4
US1CAFR0034,16.0
US1CAFR0035,14.5
US1CAFR0036,3.6
US1CAHM0001,10.2
US1CAHM0004,16.8
US1CAHM0005,13.0
US1CAHM0006,17.8
US1CAHM0007,43.2
US1CAHM0009,19.8
US1CAHM0012,4.3
US1CAHM0014,26.7
US1CAHM0026,26.4
US1CAHM0029,3.8
US1CAHM0030,17.5
US1CAHM0031,18.8
US1CAHM0034,7.6
US1CAHM0035,5.8
US1CAHM0038,6.4
US1CAHM0039,12.4
US1CAHM0041,5.6
US1CAHM0046,20.3
US1CAHM0060,18.0
US1CAHM0063,8.9
US1CAHM0065,34.5
US1CAHM0066,35.6
US1CAHM0070,70.1
US1CAHM0073,35.8
US1CAHM0078,15.5
US1CAHM0079,17.8
US1CAHM0084,5.3
US1CAHM0086,19.6
US1CAHM0087,13.5
US1CAHM0088,7.9
US1CAHM0091,26.7
US1CAHM0092,13.0
US1CAHM0093,16.3
US1CAHM0094,2.5
US1CAHM0095,38.6
US1CAHM0097,17.3
US1CAHM0098,7.6
US1CAHM0104,2.8
US1CAHM0111,5.8
US1CAHM0115,7.9
US1CAHM0117,23.9
