Causes,Average Duration (days),Average GIS Acres,Number of Occurences (in the Year)
Lightning,26.0,997.18,56
Equipment Use,1.53,138.83,34
Smoking,1.0,232.97,6
Campfire,14.8,17662.81,15
Debris,1.5,133.87,8
Railroad,0.0,17.3,2
Arson,12.33,5197.43,9
Playing with fire,0.0,41.23,4
Vehicle,0.92,100.82,12
Powerline,1.79,66.13,14
Escaped Prescribed Burn,5.0,958.58,3
