Year,Alarm Date,Containment Date,Cause #,GIS Calculated Acres,Cause
2019,9/18/2019,9/18/2019,7,13.01915,Arson
2019,10/10/2019,10/10/2019,11,8.221602,Powerline
2019,10/24/2019,10/24/2019,2,61.75045,Equipment Use
2019,9/3/2019,9/3/2019,5,9.367375,Debris
2019,8/22/2019,8/26/2019,14,493.2588,Unknown / Unidentified
2019,10/10/2019,10/10/2019,10,42.17504,Vehicle
2019,7/12/2019,7/13/2019,14,24.75569,Unknown / Unidentified
2019,9/5/2019,9/6/2019,1,14.63054,Lightning
2019,9/24/2019,9/24/2019,10,15.38397,Vehicle
2019,8/4/2019,8/6/2019,2,33.09216,Equipment Use
2019,6/25/2019,6/25/2019,2,129.0636,Equipment Use
2019,8/12/2019,8/12/2019,1,46.40511,Lightning
2019,7/5/2019,7/6/2019,2,32.78963,Equipment Use
2019,8/15/2019,8/17/2019,2,112.2924,Equipment Use
2019,10/26/2019,10/27/2019,10,605.4897,Vehicle
2019,11/3/2019,11/14/2019,14,2534.211,Unknown / Unidentified
2019,9/5/2019,9/15/2019,1,8822.024,Lightning
2019,6/22/2019,6/22/2019,14,1.399644,Unknown / Unidentified
2019,7/3/2019,7/3/2019,10,23.174,Vehicle
2019,9/23/2019,9/23/2019,9,66.70489,Miscellaneous
2019,9/5/2019,9/5/2019,14,44.07998,Unknown / Unidentified
2019,7/15/2019,7/15/2019,14,200.0838,Unknown / Unidentified
2019,7/11/2019,7/11/2019,5,32.69442,Debris
2019,6/2/2019,6/2/2019,14,84.13815,Unknown / Unidentified
2019,8/8/2019,8/8/2019,8,20.16607,Playing with fire
2019,7/15/2019,7/15/2019,14,12.29055,Unknown / Unidentified
2019,6/29/2019,6/29/2019,14,34.216,Unknown / Unidentified
2019,5/13/2019,5/13/2019,9,9.96389,Miscellaneous
2019,9/23/2019,9/25/2019,10,83.95777,Vehicle
2019,9/4/2019,9/17/2019,14,583.4399,Unknown / Unidentified
2019,10/21/2019,10/31/2019,10,329.3975,Vehicle
2019,6/21/2019,6/21/2019,10,521.9408,Vehicle
2019,3/15/2019,3/20/2019,7,564.2154,Arson
2019,7/16/2019,7/17/2019,10,81.65115,Vehicle
2019,10/10/2019,10/14/2019,14,1008.193,Unknown / Unidentified
2019,9/4/2019,9/14/2019,1,1939.536,Lightning
2019,8/5/2019,8/6/2019,14,88.16512,Unknown / Unidentified
2019,9/5/2019,9/5/2019,1,15.9213,Lightning
2019,9/7/2019,9/8/2019,1,6.904544,Lightning
2019,6/23/2019,6/23/2019,5,5.647906,Debris
2019,5/24/2019,5/25/2019,11,7.526093,Powerline
2019,6/14/2019,6/18/2019,11,16.37956,Powerline
2019,6/16/2019,6/29/2019,3,9.695025,Smoking
2019,6/12/2019,6/12/2019,14,4.964133,Unknown / Unidentified
2019,9/6/2019,9/6/2019,1,5.438107,Lightning
2019,4/25/2019,4/25/2019,5,3.236623,Debris
2019,9/12/2019,9/12/2019,10,190.1649,Vehicle
2019,6/26/2019,6/30/2019,14,2233.891,Unknown / Unidentified
2019,5/30/2019,5/30/2019,9,135.3394,Miscellaneous
2019,7/3/2019,7/5/2019,10,282.2256,Vehicle
2019,8/1/2019,8/21/2019,7,139.2007,Arson
2019,8/2/2019,8/9/2019,7,339.9227,Arson
2019,8/2/2019,8/9/2019,7,226.6169,Arson
2019,8/2/2019,8/9/2019,7,173.9333,Arson
2019,6/9/2019,6/10/2019,2,207.7456,Equipment Use
2019,5/30/2019,5/30/2019,2,22.57155,Equipment Use
2019,6/8/2019,6/8/2019,14,72.06943,Unknown / Unidentified
2019,6/24/2019,6/24/2019,2,80.34697,Equipment Use
2019,6/26/2019,6/26/2019,14,147.6439,Unknown / Unidentified
2019,6/7/2019,6/7/2019,14,26.63998,Unknown / Unidentified
2019,7/6/2019,7/6/2019,14,34.72543,Unknown / Unidentified
2019,11/25/2019,11/25/2019,7,24.59045,Arson
2019,10/6/2019,10/6/2019,2,0.9653762,Equipment Use
2019,8/18/2019,8/18/2019,2,22.34313,Equipment Use
2019,7/13/2019,7/13/2019,14,9.345996,Unknown / Unidentified
2019,6/8/2019,6/10/2019,14,647.9943,Unknown / Unidentified
2019,8/16/2019,8/20/2019,14,979.4596,Unknown / Unidentified
2019,10/6/2019,10/20/2019,10,5508.35,Vehicle
2019,8/15/2019,8/15/2019,10,428.0987,Vehicle
2019,12/19/2019,12/19/2019,5,12.63458,Debris
2019,7/27/2019,1/27/2020,9,110.7408,Miscellaneous
2019,10/27/2019,1/28/2020,9,703.3557,Miscellaneous
