Year,Alarm Date,Containment Date,Cause #,GIS Calculated Acres,Cause
2021,9/11/2021,9/12/2021,14,24.35467,Unknown / Unidentified
2021,9/12/2021,9/13/2021,10,70.8007,Vehicle
2021,10/5/2021,10/5/2021,14,41.59887,Unknown / Unidentified
2021,8/12/2021,8/12/2021,14,15.82752,Unknown / Unidentified
2021,5/8/2021,5/8/2021,14,60.39558,Unknown / Unidentified
2021,6/12/2021,6/12/2021,10,2.092052,Vehicle
2021,6/27/2021,6/27/2021,10,3.222384,Vehicle
2021,10/3/2021,10/3/2021,14,10.0517,Unknown / Unidentified
2021,9/12/2021,9/12/2021,14,7.573153,Unknown / Unidentified
2021,7/12/2021,7/12/2021,6,18.59738,Railroad
2021,6/15/2021,6/19/2021,2,107.1646,Equipment Use
2021,8/28/2021,8/29/2021,14,8.997741,Unknown / Unidentified
2021,3/1/2021,3/1/2021,18,257.8323,Escaped Prescribed Burn
2021,4/5/2021,4/5/2021,5,21.86377,Debris
2021,3/27/2021,3/29/2021,18,873.3917,Escaped Prescribed Burn
2021,1/19/2021,1/22/2021,9,20.30736,Miscellaneous
2021,1/19/2021,1/22/2021,11,33.25922,Powerline
2021,1/19/2021,1/22/2021,11,19.72582,Powerline
2021,1/19/2021,1/21/2021,9,21.93688,Miscellaneous
2021,1/19/2021,1/21/2021,1,169.8688,Lightning
2021,1/19/2021,1/21/2021,9,8.611075,Miscellaneous
2021,5/8/2021,5/12/2021,2,548.9937,Equipment Use
2021,6/9/2021,6/11/2021,14,248.6175,Unknown / Unidentified
2021,4/18/2021,4/25/2021,18,191.6513,Escaped Prescribed Burn
2021,6/21/2021,6/22/2021,9,23.05541,Miscellaneous
2021,5/21/2021,5/24/2021,14,18.17299,Unknown / Unidentified
2021,6/8/2021,6/8/2021,14,1.699813,Unknown / Unidentified
2021,6/23/2021,6/25/2021,1,13.89517,Lightning
2021,6/24/2021,6/25/2021,1,132.4866,Lightning
2021,6/28/2021,7/3/2021,14,118.0034,Unknown / Unidentified
2021,4/13/2021,4/13/2021,5,4.151186,Debris
2021,4/22/2021,4/22/2021,18,4.059574,Escaped Prescribed Burn
2021,5/30/2021,5/30/2021,5,2.300643,Debris
2021,5/5/2021,5/5/2021,5,1.678553,Debris
2021,6/5/2021,6/5/2021,9,21.63566,Miscellaneous
2021,6/25/2021,6/25/2021,2,37.56758,Equipment Use
2021,7/11/2021,7/11/2021,14,127.659,Unknown / Unidentified
2021,6/14/2021,6/14/2021,14,39.47499,Unknown / Unidentified
2021,7/4/2021,7/4/2021,10,83.55169,Vehicle
2021,7/6/2021,7/6/2021,14,16.39773,Unknown / Unidentified
2021,8/12/2021,8/13/2021,1,52.51308,Lightning
2021,10/5/2021,10/8/2021,14,45.5523,Unknown / Unidentified
2021,7/14/2021,7/14/2021,7,43.3417,Arson
2021,7/17/2021,7/17/2021,9,40.82636,Miscellaneous
2021,8/1/2021,8/2/2021,2,41.50576,Equipment Use
2021,7/12/2021,7/13/2021,9,23.22825,Miscellaneous
2021,10/5/2021,10/10/2021,7,76.48464,Arson
2021,6/20/2021,6/26/2021,2,761.1113,Equipment Use
2021,9/22/2021,9/29/2021,7,8576.493,Arson
2021,6/13/2021,6/19/2021,11,201.303,Powerline
2021,5/23/2021,5/23/2021,14,55.11501,Unknown / Unidentified
2021,5/31/2021,5/31/2021,2,11.46257,Equipment Use
2021,8/8/2021,8/10/2021,2,12.10306,Equipment Use
2021,5/31/2021,6/4/2021,14,21.81921,Unknown / Unidentified
2021,5/19/2021,5/20/2021,11,18.2641,Powerline
2021,8/11/2021,8/11/2021,10,184.0656,Vehicle
2021,8/4/2021,8/13/2021,14,2618.794,Unknown / Unidentified
2021,6/8/2021,6/16/2021,14,938.9399,Unknown / Unidentified
2021,7/20/2021,7/22/2021,10,54.10636,Vehicle
2021,5/12/2021,5/12/2021,9,25.35059,Miscellaneous
2021,6/12/2021,6/16/2021,2,18.20975,Equipment Use
2021,6/21/2021,6/23/2021,14,39.57343,Unknown / Unidentified
2021,5/1/2021,5/1/2021,14,31.73762,Unknown / Unidentified
2021,5/20/2021,5/20/2021,2,18.61205,Equipment Use
2021,6/13/2021,6/13/2021,2,65.68092,Equipment Use
2021,6/21/2021,6/21/2021,9,34.85899,Miscellaneous
2021,6/26/2021,6/26/2021,9,13.73235,Miscellaneous
2021,9/5/2021,9/5/2021,14,45.94286,Unknown / Unidentified
