acq_date,frp,bright_ti5,bright_ti4,latitude,longitude
2013-01-05,0.64,276.48,301.87,37.18429,-121.67905
2013-01-05,0.81,274.94,305.91,37.45426,-121.93393
2013-01-05,0.68,274.28,299.06,38.00505,-121.93266
2013-01-05,1.54,279.66,296.27,38.02269,-122.06379
2013-01-05,1.43,284.54,302.9,38.07193,-122.1391
2013-01-05,0.43,273.89,296.77,38.15936,-122.56442
2013-01-05,0.95,276.39,309.52,33.71483,-117.71146
2013-01-05,0.82,278.99,297.31,33.77602,-118.23004
2013-01-05,0.82,282.0,295.68,33.77721,-118.23585
2013-01-05,1.37,281.66,296.32,33.81911,-118.24209
2013-01-05,2.48,284.06,299.21,33.853,-118.33001
2013-01-05,1.27,279.49,302.3,33.9317,-117.83817
2013-01-05,7.34,289.29,336.54,32.53692,-115.47377
2013-01-05,7.34,290.24,348.39,32.53906,-115.46653
2013-01-05,7.34,289.03,347.37,32.54354,-115.47644
2013-01-05,7.34,288.62,333.57,32.54568,-115.4692
2013-01-05,8.32,297.88,353.45,32.66961,-114.76966
2013-01-05,8.32,293.12,367.0,32.66988,-114.76601
2013-01-05,3.08,292.88,329.69,33.11952,-115.46653
2013-01-06,0.7,277.86,308.54,33.71513,-117.70968
2013-01-06,0.54,273.51,302.13,33.7944,-117.47359
2013-01-07,1.1,278.39,296.53,37.31584,-122.08947
2013-01-07,1.54,281.66,298.36,38.02497,-122.06383
2013-01-07,0.68,277.17,301.98,32.85681,-117.14926
2013-01-07,0.51,278.36,297.0,32.85825,-117.02831
2013-01-07,0.53,270.48,296.33,33.71711,-117.70991
2013-01-07,1.08,281.37,295.08,33.81354,-118.23689
2013-01-07,1.69,284.5,301.95,33.85386,-118.33416
2013-01-07,0.57,275.95,300.0,34.3198,-118.51353
2013-01-07,0.72,275.7,296.94,34.32537,-118.52831
2013-01-07,1.26,275.35,311.49,34.33599,-118.52138
2013-01-07,7.21,278.22,342.4,36.0047,-119.14616
2013-01-07,5.15,277.51,345.82,36.00689,-119.14836
2013-01-07,2.76,286.92,325.37,36.25019,-121.10619
2013-01-08,1.03,279.97,298.08,33.77773,-118.22977
2013-01-08,2.29,285.71,303.11,33.85327,-118.33281
2013-01-08,1.48,278.08,309.47,34.0938,-117.52908
2013-01-08,1.88,277.58,313.46,34.09429,-117.53473
2013-01-08,0.73,279.16,296.22,34.33603,-118.52264
2013-01-08,1.89,276.53,302.14,34.09212,-117.53359
2013-01-08,1.79,277.09,303.8,34.09529,-117.52914
2013-01-08,8.03,298.99,333.98,32.88049,-114.47421
2013-01-08,2.81,292.88,330.17,33.24717,-117.01775
2013-01-08,1.43,292.92,325.33,33.28789,-117.02389
2013-01-08,2.16,297.38,330.71,34.09483,-117.53406
2013-01-08,2.08,285.7,325.63,36.83368,-120.13655
