Year,Alarm Date,Containment Date,Cause #,GIS Calculated Acres,Cause
2013,6/22/2013,6/22/2013,14,15.10816,Unknown / Unidentified
2013,7/30/2013,8/18/2013,2,3.933502,Equipment Use
2013,5/17/2013,5/18/2013,3,659.6399,Smoking
2013,12/29/2013,12/29/2013,14,12.89286,Unknown / Unidentified
2013,5/27/2013,5/27/2013,2,5.662212,Equipment Use
2013,9/23/2013,9/27/2013,5,209.502,Debris
2013,5/28/2013,5/28/2013,2,145.1069,Equipment Use
2013,9/8/2013,9/8/2013,3,6.544206,Smoking
2013,5/1/2013,5/1/2013,14,39.12205,Unknown / Unidentified
2013,8/27/2013,8/27/2013,2,10.215,Equipment Use
2013,9/10/2013,9/18/2013,9,23.00315,Miscellaneous
2013,8/19/2013,8/22/2013,1,78.94888,Lightning
2013,7/4/2013,7/4/2013,8,10.29018,Playing with fire
2013,9/25/2013,9/25/2013,11,7.909993,Powerline
2013,11/8/2013,11/9/2013,10,132.2902,Vehicle
2013,10/4/2013,10/5/2013,14,158.9431,Unknown / Unidentified
2013,11/23/2013,11/24/2013,14,22.64108,Unknown / Unidentified
2013,8/16/2013,8/17/2013,10,64.27366,Vehicle
2013,5/8/2013,5/8/2013,9,21.44638,Miscellaneous
2013,10/3/2013,10/4/2013,14,17.72634,Unknown / Unidentified
2013,9/28/2013,9/29/2013,14,98.82275,Unknown / Unidentified
2013,8/7/2013,8/8/2013,14,35.77302,Unknown / Unidentified
2013,8/30/2013,8/30/2013,14,6.735321,Unknown / Unidentified
2013,7/26/2013,7/27/2013,2,177.8443,Equipment Use
2013,11/22/2013,11/27/2013,14,3506.425,Unknown / Unidentified
2013,6/20/2013,6/21/2013,2,35.05123,Equipment Use
2013,10/26/2013,10/26/2013,14,0.5135471,Unknown / Unidentified
2013,10/3/2013,10/4/2013,14,303.9268,Unknown / Unidentified
2013,4/30/2013,5/1/2013,5,60.21228,Debris
2013,11/21/2013,11/23/2013,14,187.2553,Unknown / Unidentified
2013,5/1/2013,5/2/2013,11,14.15715,Powerline
2013,8/24/2013,8/25/2013,11,19.8916,Powerline
2013,4/24/2013,4/24/2013,11,2.200399,Powerline
2013,5/1/2013,5/2/2013,11,83.76048,Powerline
2013,6/1/2013,6/26/2013,9,489.5211,Miscellaneous
2013,12/16/2013,12/20/2013,9,913.963,Miscellaneous
2013,5/4/2013,5/12/2013,9,50.99357,Miscellaneous
2013,7/17/2013,8/7/2013,4,212.4645,Campfire
2013,5/27/2013,8/1/2013,4,1912.05,Campfire
2013,10/5/2013,10/14/2013,14,2229.46,Unknown / Unidentified
2013,7/27/2013,7/28/2013,1,10.52909,Lightning
2013,9/5/2013,9/6/2013,9,97.09415,Miscellaneous
2013,8/7/2013,8/8/2013,1,10.79402,Lightning
2013,9/5/2013,9/7/2013,2,67.92242,Equipment Use
2013,8/21/2013,8/22/2013,1,51.76894,Lightning
2013,5/3/2013,5/6/2013,5,187.4242,Debris
2013,10/12/2013,10/12/2013,2,13.9834,Equipment Use
2013,7/23/2013,7/23/2013,10,41.20865,Vehicle
2013,11/22/2013,11/23/2013,5,84.23232,Debris
2013,4/30/2013,4/30/2013,14,183.6424,Unknown / Unidentified
2013,6/16/2013,6/18/2013,10,481.9571,Vehicle
2013,7/4/2013,7/5/2013,1,10.26719,Lightning
2013,8/9/2013,8/11/2013,1,6.887073,Lightning
2013,6/10/2013,6/15/2013,1,225.7149,Lightning
2013,11/23/2013,11/30/2013,2,304.9261,Equipment Use
2013,6/2/2013,6/2/2013,9,20.55704,Miscellaneous
2013,5/22/2013,5/23/2013,7,61.55982,Arson
2013,5/22/2013,5/22/2013,14,325.2898,Unknown / Unidentified
2013,7/6/2013,7/15/2013,14,7084.673,Unknown / Unidentified
2013,5/23/2013,5/27/2013,18,2780.291,Escaped Prescribed Burn
2013,5/26/2013,5/31/2013,9,1270.866,Miscellaneous
2013,7/17/2013,7/17/2013,14,1.434162,Unknown / Unidentified
2013,5/3/2013,5/3/2013,14,164.2063,Unknown / Unidentified
2013,9/6/2013,9/7/2013,1,12.95418,Lightning
2013,9/24/2013,9/28/2013,14,58.84497,Unknown / Unidentified
2013,6/15/2013,6/15/2013,14,109.2949,Unknown / Unidentified
2013,9/10/2013,9/10/2013,14,254.6736,Unknown / Unidentified
2013,7/12/2013,7/12/2013,9,40.9242,Miscellaneous
2013,8/19/2013,8/19/2013,9,17.1972,Miscellaneous
2013,7/6/2013,7/6/2013,14,8.084121,Unknown / Unidentified
2013,5/4/2013,5/4/2013,14,24.32616,Unknown / Unidentified
2013,9/12/2013,9/12/2013,3,9.204685,Smoking
2013,7/8/2013,7/8/2013,14,72.70832,Unknown / Unidentified
2013,6/5/2013,6/5/2013,2,33.0784,Equipment Use
2013,6/4/2013,6/4/2013,2,58.55238,Equipment Use
2013,6/13/2013,6/13/2013,14,179.7226,Unknown / Unidentified
2013,8/10/2013,8/10/2013,6,23.57369,Railroad
2013,6/15/2013,6/15/2013,14,65.92692,Unknown / Unidentified
2013,6/1/2013,6/1/2013,2,1.882901,Equipment Use
2013,8/31/2013,8/31/2013,14,47.90649,Unknown / Unidentified
2013,5/11/2013,5/11/2013,9,22.87774,Miscellaneous
2013,5/12/2013,5/25/2013,1,65.45874,Lightning
2013,8/13/2013,8/25/2013,1,0.7553352,Lightning
2013,10/27/2013,11/27/2013,1,39.54399,Lightning
2013,8/18/2013,11/4/2013,1,21.56635,Lightning
2013,8/18/2013,9/6/2013,1,20.3914,Lightning
2013,8/18/2013,11/4/2013,1,90.90901,Lightning
2013,8/18/2013,9/9/2013,1,20.06105,Lightning
2013,8/18/2013,11/4/2013,1,335.9537,Lightning
2013,9/4/2013,9/4/2013,11,17.30028,Powerline
2013,7/19/2013,7/19/2013,14,40.5702,Unknown / Unidentified
2013,2/28/2013,3/2/2013,14,362.2378,Unknown / Unidentified
2013,9/11/2013,9/11/2013,14,72.77747,Unknown / Unidentified
2013,7/16/2013,7/17/2013,14,168.0977,Unknown / Unidentified
2013,8/4/2013,8/4/2013,14,67.45936,Unknown / Unidentified
2013,10/4/2013,10/4/2013,2,24.74532,Equipment Use
2013,8/7/2013,8/13/2013,14,20308.45,Unknown / Unidentified
2013,5/25/2013,5/25/2013,9,126.6421,Miscellaneous
2013,5/1/2013,5/4/2013,14,3166.079,Unknown / Unidentified
2013,11/9/2013,11/9/2013,10,27.81954,Vehicle
2013,5/2/2013,5/2/2013,3,7.173444,Smoking
2013,6/8/2013,6/8/2013,9,40.46907,Miscellaneous
2013,5/21/2013,5/21/2013,9,89.7011,Miscellaneous
2013,7/1/2013,7/3/2013,11,478.0438,Powerline
2013,9/8/2013,9/16/2013,9,3107.727,Miscellaneous
2013,7/24/2013,8/24/2013,1,14.3679,Lightning
2013,7/26/2013,8/15/2013,1,5.95861,Lightning
2013,7/26/2013,7/31/2013,1,8.567074,Lightning
2013,9/9/2013,9/15/2013,7,8075.774,Arson
2013,7/9/2013,7/9/2013,14,29.70096,Unknown / Unidentified
2013,8/19/2013,8/27/2013,1,182.4396,Lightning
2013,9/10/2013,9/10/2013,2,7.327134,Equipment Use
2013,7/4/2013,7/4/2013,9,0.2727566,Miscellaneous
2013,8/15/2013,8/15/2013,2,49.51719,Equipment Use
2013,5/26/2013,5/26/2013,5,0.4501346,Debris
2013,7/8/2013,7/8/2013,14,0.09033957,Unknown / Unidentified
2013,6/16/2013,6/16/2013,5,2.147175,Debris
2013,7/11/2013,7/11/2013,2,1.844568,Equipment Use
2013,7/30/2013,7/30/2013,2,0.1090613,Equipment Use
2013,7/31/2013,7/31/2013,1,44.57877,Lightning
2013,7/7/2013,7/10/2013,14,60.89512,Unknown / Unidentified
2013,5/20/2013,5/20/2013,14,30.29119,Unknown / Unidentified
2013,9/24/2013,9/24/2013,11,94.40611,Powerline
2013,11/8/2013,11/10/2013,2,51.07315,Equipment Use
2013,6/15/2013,6/15/2013,14,9.926195,Unknown / Unidentified
2013,7/22/2013,9/8/2013,1,22937.52,Lightning
2013,6/16/2013,7/7/2013,4,1707.613,Campfire
2013,5/11/2013,5/22/2013,9,39.52785,Miscellaneous
2013,9/8/2013,9/20/2013,1,179.3931,Lightning
2013,8/19/2013,8/20/2013,9,63.62325,Miscellaneous
2013,7/23/2013,7/23/2013,1,19.64708,Lightning
2013,8/23/2013,9/20/2013,1,2049.495,Lightning
2013,9/10/2013,9/12/2013,9,439.6849,Miscellaneous
2013,8/18/2013,8/19/2013,1,378.6183,Lightning
2013,8/18/2013,8/19/2013,1,411.8869,Lightning
2013,6/3/2013,6/3/2013,8,100.1428,Playing with fire
2013,7/31/2013,10/1/2013,7,22444.86,Arson
2013,8/10/2013,10/2/2013,1,12541.42,Lightning
2013,7/29/2013,8/2/2013,7,576.6869,Arson
2013,9/11/2013,9/12/2013,1,61.28841,Lightning
2013,8/9/2013,8/16/2013,1,23.21056,Lightning
2013,4/29/2013,5/1/2013,4,10.66219,Campfire
2013,3/17/2013,3/19/2013,4,11.73746,Campfire
2013,5/14/2013,5/15/2013,1,8.425359,Lightning
2013,8/5/2013,8/18/2013,4,1075.877,Campfire
2013,8/17/2013,8/17/2013,14,46.3307,Unknown / Unidentified
2013,7/15/2013,7/15/2013,2,50.12178,Equipment Use
2013,6/29/2013,6/29/2013,14,11.35403,Unknown / Unidentified
2013,6/23/2013,6/23/2013,14,154.3738,Unknown / Unidentified
2013,5/30/2013,5/30/2013,2,236.6837,Equipment Use
2013,5/1/2013,5/2/2013,5,208.3874,Debris
2013,8/23/2013,8/29/2013,9,11428.75,Miscellaneous
2013,8/10/2013,10/8/2013,9,27430.52,Miscellaneous
2013,5/4/2013,5/7/2013,1,15.35903,Lightning
2013,5/9/2013,5/9/2013,14,11.81112,Unknown / Unidentified
2013,6/18/2013,6/18/2013,14,25.82967,Unknown / Unidentified
2013,4/8/2013,4/8/2013,11,145.2335,Powerline
2013,12/10/2013,12/10/2013,11,44.73134,Powerline
2013,6/6/2013,6/6/2013,7,37.86338,Arson
2013,5/1/2013,5/1/2013,11,0.1311737,Powerline
2013,8/18/2013,8/27/2013,1,14267.09,Lightning
2013,5/26/2013,5/28/2013,14,431.1986,Unknown / Unidentified
2013,9/20/2013,9/24/2013,9,24.56812,Miscellaneous
2013,7/20/2001,7/20/2001,8,39.5129,Playing with fire
2013,7/29/2013,7/29/2013,14,44.05412,Unknown / Unidentified
2013,11/14/2013,11/14/2013,2,22.4388,Equipment Use
2013,8/3/2013,8/4/2013,9,10.93474,Miscellaneous
2013,8/9/2013,8/9/2013,9,206.0807,Miscellaneous
2013,6/9/2013,6/9/2013,2,17.78473,Equipment Use
2013,9/7/2013,9/9/2013,9,5.024302,Miscellaneous
2013,5/13/2013,5/14/2013,10,49.12442,Vehicle
2013,7/9/2013,7/9/2013,2,11.9789,Equipment Use
2013,11/12/2013,11/19/2013,7,14.52183,Arson
2013,5/3/2013,5/4/2013,4,4.500647,Campfire
2013,5/30/2013,12/18/2013,9,30267.69,Miscellaneous
2013,8/8/2013,8/13/2013,7,245.4933,Arson
2013,6/22/2013,6/22/2013,2,29.87113,Equipment Use
2013,8/17/2013,8/17/2013,2,98.36967,Equipment Use
2013,4/19/2013,5/1/2013,4,14.4006,Campfire
2013,8/19/2013,10/29/2013,1,406.6946,Lightning
2013,5/4/2013,5/5/2013,14,510.2238,Unknown / Unidentified
2013,6/6/2013,6/20/2013,4,3779.732,Campfire
2013,3/30/2013,3/31/2013,4,0.9463348,Campfire
2013,5/15/2013,5/15/2013,6,11.03264,Railroad
2013,11/12/2013,11/12/2013,9,5.235994,Miscellaneous
2013,8/24/2013,8/29/2013,9,95.79614,Miscellaneous
2013,5/13/2013,5/13/2013,2,76.87362,Equipment Use
2013,7/15/2013,7/30/2013,9,27523.67,Miscellaneous
2013,9/24/2013,9/24/2013,9,123.3818,Miscellaneous
2013,8/6/2013,8/7/2013,2,59.22004,Equipment Use
2013,8/4/2013,8/4/2013,9,13.2623,Miscellaneous
2013,7/19/2013,9/19/2013,14,12.05707,Unknown / Unidentified
2013,6/28/2013,6/29/2013,7,534.2628,Arson
2013,2/24/2013,3/1/2013,14,406.8415,Unknown / Unidentified
2013,1/27/2013,1/27/2013,14,13.56809,Unknown / Unidentified
2013,6/29/2013,6/29/2013,10,105.2913,Vehicle
2013,7/3/2013,7/3/2013,10,92.91267,Vehicle
2013,8/4/2013,8/4/2013,8,14.96562,Playing with fire
2013,5/3/2013,5/3/2013,2,353.4941,Equipment Use
2013,8/1/2013,8/10/2013,9,69.25648,Miscellaneous
