station,lat,lon,elev,name
US1CAHM0016,40.7563,-124.1661,53.6,CA BAYVIEW 0.8 SE                              
US1CAHM0020,40.5673,-124.1357,59.4,CA FORTUNA 1.3 S                               
US1CAHM0021,40.8873,-124.0724,88.1,CA ARCATA 1.4 NNE                              
US1CAHM0022,40.9392,-123.6236,199.6,CA WILLOW CREEK 4.5 NNE                        
US1CAHM0024,40.7997,-124.1618,18.6,CA EUREKA 0.4 NW                               
US1CAHM0025,40.8757,-124.0964,4.6,CA ARCATA 1.0 NW                               
US1CAHM0026,40.4734,-123.7013,815.3,CA BRIDGEVILLE 5.2 ENE                         
US1CAHM0029,40.5867,-124.1409,19.8,CA FORTUNA 0.1 NW                              
US1CAHM0030,40.0775,-123.8239,126.5,CA GARBERVILLE 2.2 SW                          
US1CAHM0031,40.0677,-123.83,118.6,CA GARBERVILLE 2.9 SW                          
US1CAHM0032,40.0886,-123.8103,155.4,CA GARBERVILLE 1.1 WSW                         
US1CAHM0033,40.8959,-124.0951,9.8,CA ARCATA 2.1 NNW                              
US1CAHM0034,40.7895,-124.0795,32.3,CA KNEELAND 4.8 WNW                            
US1CAHM0035,40.7642,-124.1476,59.1,CA EUREKA 2.2 S                                
US1CAHM0036,40.0368,-124.0524,337.4,CA SHELTER COVE 1.2 ENE                        
US1CAHM0037,40.9527,-124.0337,52.7,CA MCKINLEYVILLE 4.3 E                         
US1CAHM0038,40.7659,-123.9985,612.0,CA KNEELAND 0.4 NNW                            
US1CAHM0039,40.8881,-123.9944,54.6,CA BLUE LAKE 0.6 NNW                           
US1CAHM0040,40.9383,-124.1264,17.7,CA MCKINLEYVILLE 1.2 SSW                       
US1CAHM0041,40.757,-124.1814,30.5,CA EUREKA 3.0 SSW                              
US1CAHM0042,40.9496,-124.1037,38.7,CA MCKINLEYVILLE 0.7 ESE                       
US1CAHM0044,40.1093,-123.8519,291.1,CA REDWAY 1.8 WSW                              
US1CAIN0001,37.3626,-118.3883,1261.9,CA BISHOP 0.6 SE                               
US1CAIN0002,37.3227,-118.5404,1829.4,CA BISHOP 8.5 WSW                              
US1CAIN0004,37.3878,-118.4141,1274.4,CA BISHOP 1.7 NW                               
US1CAIN0005,37.4115,-118.5474,1382.9,CA BISHOP 8.8 WNW                              
US1CAIN0006,37.3992,-118.3465,1254.6,CA LAWS 0.1SW                                  
US1CAKG0001,36.2932,-119.7718,68.0,CA LEMOORE 0.9 ESE                             
US1CAKG0003,36.295,-119.7914,68.0,CA LEMOORE 0.3 SW                              
US1CAKG0004,36.3769,-119.6527,78.6,CA HANFORD 3.6 N                               
US1CAKG0005,36.3349,-119.6743,74.7,CA HANFORD 1.7 WNW                             
US1CAKG0006,36.3314,-119.6668,74.1,CA HANFORD 1.2 WNW                             
US1CAKN0001,35.6345,-117.9782,1316.4,CA INYOKERN 9.4 WSW                            
US1CAKN0003,35.1323,-118.4799,1202.4,CA TEHACHAPI 2.2 W                             
