station,2016-01-06
US1CAAL0001,23.9
US1CAAL0003,14.5
US1CAAL0004,7.9
US1CAAL0006,27.4
US1CAAL0007,16.3
US1CAAL0011,16.5
US1CAAL0012,9.4
US1CAAL0016,22.4
US1CAAL0018,20.8
US1CAAL0022,13.7
US1CAAL0025,24.4
US1CAAL0030,19.8
US1CAAM0002,47.0
US1CAAM0003,48.3
US1CAAM0006,38.1
US1CAAM0009,47.2
US1CABT0002,7.4
US1CABT0005,11.7
US1CABT0007,13.7
US1CABT0008,10.9
US1CABT0009,19.8
US1CABT0010,8.9
US1CABT0011,15.2
US1CABT0012,14.0
US1CABT0013,9.4
US1CABT0015,17.3
US1CABT0016,34.3
US1CABT0017,17.3
US1CABT0018,3.3
US1CABT0019,17.3
US1CABT0023,13.2
US1CABT0026,3.6
US1CABT0032,15.5
US1CACC0001,20.3
US1CACC0004,10.4
US1CACC0006,15.2
US1CACC0010,16.5
US1CACC0011,18.3
US1CACC0012,8.6
US1CACC0016,12.2
US1CACC0018,14.2
US1CACC0025,15.0
US1CACC0027,13.5
US1CACC0028,41.9
US1CACC0031,15.2
US1CACC0033,14.0
US1CACC0035,24.6
US1CACV0006,35.8
US1CADN0001,13.2
US1CADN0005,11.4
US1CADN0006,10.2
US1CADN0007,10.2
US1CADN0008,9.4
US1CADN0009,11.9
US1CADN0011,10.2
US1CAED0003,16.5
US1CAED0010,24.4
US1CAED0011,37.3
US1CAED0012,37.1
US1CAED0014,15.7
US1CAED0017,36.6
US1CAED0020,6.6
US1CAED0021,15.5
US1CAED0023,15.5
US1CAFR0002,18.8
US1CAFR0005,45.7
US1CAFR0006,21.8
US1CAFR0008,12.7
US1CAFR0009,47.5
US1CAFR0013,19.1
US1CAFR0014,18.3
US1CAFR0020,18.8
US1CAFR0021,19.1
US1CAFR0022,26.7
US1CAHM0001,7.1
US1CAHM0004,8.1
US1CAHM0005,4.8
US1CAHM0006,2.3
US1CAHM0007,42.4
US1CAHM0009,4.3
US1CAHM0012,14.5
