station,2017-02-18
US1CAAL0001,19.8
US1CAAL0003,12.7
US1CAAL0006,34.0
US1CAAL0007,22.1
US1CAAL0011,10.2
US1CAAL0012,13.0
US1CAAL0018,19.6
US1CAAL0024,16.0
US1CAAL0025,18.5
US1CAAL0030,21.8
US1CAAL0031,16.8
US1CAAL0032,21.3
US1CAAL0033,17.0
US1CAAL0035,10.9
US1CAAM0002,17.3
US1CAAM0003,15.7
US1CAAM0004,6.1
US1CAAM0009,10.7
US1CABT0002,47.5
US1CABT0005,40.6
US1CABT0008,54.4
US1CABT0009,61.2
US1CABT0012,53.1
US1CABT0015,55.6
US1CABT0016,82.6
US1CABT0017,54.6
US1CABT0019,58.7
US1CABT0026,49.0
US1CABT0032,41.1
US1CABT0033,43.9
US1CACC0001,18.3
US1CACC0004,19.8
US1CACC0006,19.6
US1CACC0010,21.1
US1CACC0011,20.3
US1CACC0012,13.0
US1CACC0016,10.9
US1CACC0018,16.0
US1CACC0019,18.5
US1CACC0025,21.1
US1CACC0027,10.2
US1CACC0028,21.6
US1CACC0031,20.3
US1CACC0033,14.0
US1CACC0035,19.1
US1CACC0036,10.9
US1CACL0001,97.0
US1CACV0006,28.4
US1CACV0008,13.2
US1CADN0001,7.1
US1CADN0005,9.1
US1CADN0006,5.8
US1CADN0007,6.6
US1CADN0008,7.1
US1CADN0009,9.4
US1CADN0011,7.1
US1CADN0012,8.6
US1CADN0013,7.6
US1CAED0003,13.2
US1CAED0010,15.0
US1CAED0011,9.4
US1CAED0012,11.9
US1CAED0017,11.7
US1CAED0020,5.1
US1CAED0021,18.3
US1CAED0023,18.5
US1CAED0027,8.4
US1CAFR0002,15.2
US1CAFR0005,38.9
US1CAFR0006,15.2
US1CAFR0008,11.2
US1CAFR0009,39.6
US1CAFR0013,16.5
US1CAFR0014,12.7
US1CAFR0020,13.5
US1CAFR0021,29.5
US1CAFR0022,30.2
US1CAFR0025,35.1
US1CAFR0026,14.0
US1CAFR0027,15.2
US1CAHM0004,26.4
US1CAHM0005,26.7
US1CAHM0006,18.0
US1CAHM0007,39.9
US1CAHM0009,27.9
US1CAHM0012,35.1
US1CAHM0014,27.7
US1CAHM0016,23.4
US1CAHM0020,33.0
US1CAHM0021,27.4
US1CAHM0022,17.5
US1CAHM0026,15.2
US1CAHM0029,35.8
US1CAHM0030,23.4
US1CAHM0031,23.1
US1CAHM0034,25.4
US1CAHM0035,23.9
US1CAHM0037,24.9
US1CAHM0038,35.8
US1CAHM0039,22.6
US1CAHM0041,24.1
US1CAHM0046,26.9
US1CAHM0047,29.7
US1CAHM0048,18.0
US1CAHM0051,26.7
US1CAHM0052,43.7
US1CAHM0060,18.8
US1CAHM0063,21.3
US1CAHM0065,23.6
US1CAHM0066,25.9
US1CAHM0068,23.1
US1CAHM0070,36.8
US1CAHM0073,35.6
US1CAIN0002,15.0
US1CAIN0004,24.4
US1CAIN0007,22.1
US1CAIN0008,16.0
US1CAIN0009,33.0
US1CAIN0010,27.4
US1CAIN0011,26.9
US1CAIN0012,29.0
US1CAIN0013,24.1
US1CAKG0001,9.7
US1CAKG0003,9.4
US1CAKG0004,12.2
US1CAKG0005,1.3
US1CAKN0001,49.3
US1CAKN0003,65.0
US1CAKN0013,15.2
US1CAKN0017,12.2
US1CAKN0022,5.8
US1CAKN0026,23.9
US1CAKN0029,0.0
US1CALA0001,61.7
US1CALA0003,75.4
US1CALA0005,93.5
US1CALA0008,118.9
US1CALA0009,78.5
US1CALA0010,68.6
US1CALA0011,61.2
US1CALA0014,71.6
US1CALA0015,61.0
US1CALA0023,51.3
US1CALA0030,110.5
US1CALA0031,33.0
US1CALA0036,18.0
US1CALA0038,86.4
US1CALA0039,67.3
US1CALA0043,72.1
US1CALA0044,66.3
US1CALA0046,96.5
US1CALA0049,53.3
US1CALA0051,35.6
US1CALA0054,129.3
US1CALA0057,55.1
US1CALA0059,47.5
US1CALA0060,85.6
US1CALA0063,81.3
US1CALA0064,60.2
US1CALA0067,94.5
US1CALA0068,62.2
US1CALK0003,34.3
US1CALK0006,62.7
US1CALK0008,64.8
US1CALK0009,30.2
US1CALK0013,19.3
US1CALK0014,35.1
US1CALS0001,14.0
US1CALS0002,14.0
US1CALS0004,14.2
US1CALS0006,0.8
US1CAMA0001,64.3
US1CAMA0002,31.8
US1CAMA0003,13.2
US1CAMA0004,29.0
US1CAMA0007,41.7
US1CAMA0008,5.3
US1CAMA0009,12.2
US1CAMD0003,30.0
US1CAMD0005,37.8
US1CAMD0007,24.1
US1CAMD0009,28.2
US1CAMD0014,29.0
US1CAMD0016,32.8
US1CAMD0017,23.9
US1CAMD0019,27.4
US1CAMD0021,41.1
US1CAMD0022,41.9
US1CAMD0026,37.3
US1CAMD0030,36.3
US1CAMD0033,36.8
US1CAME0004,7.1
US1CAMN0001,15.7
US1CAMP0001,28.2
US1CAMP0004,16.5
US1CAMP0006,56.6
US1CAMP0008,18.5
US1CAMR0002,51.3
US1CAMR0004,39.6
US1CAMR0005,33.3
US1CAMR0007,36.8
US1CAMR0009,39.4
US1CAMR0011,32.8
US1CAMR0015,39.9
US1CAMR0016,31.0
US1CAMR0018,43.9
US1CAMR0024,36.1
US1CAMR0025,38.9
US1CAMR0026,38.9
US1CAMR0029,37.1
US1CAMR0030,10.9
US1CAMR0031,45.5
US1CAMR0032,29.2
US1CAMR0035,43.9
US1CAMR0037,52.8
US1CAMR0038,21.3
US1CAMR0040,41.1
US1CAMR0045,27.9
US1CAMT0003,39.1
US1CAMT0005,35.6
US1CAMT0006,17.5
US1CAMT0009,31.2
US1CAMT0014,66.0
US1CAMT0017,22.6
US1CAMT0019,44.5
US1CAMT0020,18.5
US1CAMT0021,23.9
US1CAMT0023,122.7
US1CAMT0025,21.8
US1CAMT0027,122.9
US1CAMT0029,5.8
US1CAMT0033,20.8
US1CAMT0036,21.8
US1CAMT0038,34.8
US1CAMT0041,4.6
US1CAMT0042,86.6
US1CAMT0043,30.5
US1CANP0003,54.6
US1CANP0007,57.4
US1CANP0010,23.6
US1CANV0001,41.1
US1CANV0003,19.1
US1CANV0010,32.3
US1CANV0011,30.7
US1CANV0014,31.5
US1CANV0016,37.8
US1CANV0022,32.8
US1CANV0034,40.6
US1CANV0035,42.9
US1CANV0036,39.9
US1CANV0041,40.9
US1CANV0042,34.5
US1CAOR0001,35.3
US1CAOR0005,39.4
US1CAOR0006,60.2
US1CAOR0009,31.8
US1CAOR0015,30.5
US1CAOR0016,38.1
US1CAOR0019,53.3
US1CAOR0021,27.7
US1CAOR0025,47.8
US1CAOR0026,57.2
US1CAOR0027,43.4
US1CAOR0028,63.8
US1CAOR0029,42.9
US1CAOR0031,32.5
US1CAOR0035,37.1
US1CAOR0037,58.7
US1CAOR0041,66.5
US1CAOR0042,41.1
US1CAOR0043,52.3
US1CAOR0047,52.8
US1CAOR0049,44.7
US1CAOR0050,55.9
US1CAOR0051,21.3
US1CAOR0052,50.0
US1CAOR0053,35.6
US1CAPC0001,27.4
US1CAPC0007,21.1
US1CAPC0010,23.6
US1CAPC0011,34.3
US1CAPC0013,26.2
US1CAPC0019,23.1
US1CAPC0021,25.7
US1CAPC0024,32.3
US1CAPC0032,29.2
US1CAPC0034,24.1
US1CAPC0035,26.2
US1CAPC0037,29.5
US1CAPM0002,60.5
US1CAPM0003,27.2
US1CAPM0006,30.5
US1CAPM0009,6.1
US1CARV0002,12.4
US1CARV0003,15.0
US1CARV0005,21.3
US1CARV0008,48.3
US1CARV0012,56.6
US1CARV0015,31.8
US1CARV0017,38.9
US1CARV0018,26.7
US1CARV0019,31.8
US1CARV0020,36.8
US1CARV0021,35.6
US1CARV0027,4.3
US1CARV0028,37.6
US1CARV0034,48.0
US1CARV0036,31.2
US1CARV0039,26.2
US1CARV0043,28.7
US1CARV0045,24.4
US1CARV0047,22.6
US1CARV0050,21.3
US1CARV0053,33.8
US1CARV0054,36.8
US1CASA0002,20.3
US1CASA0005,23.1
US1CASA0006,15.5
US1CASA0007,17.8
US1CASA0012,19.6
US1CASA0030,14.7
US1CASA0035,9.9
US1CASA0039,23.6
US1CASA0045,11.4
US1CASA0048,21.6
US1CASA0051,14.7
US1CASB0001,93.5
US1CASB0004,154.9
US1CASB0007,139.7
US1CASB0009,139.7
US1CASB0011,126.5
US1CASB0014,50.5
US1CASB0017,133.4
US1CASC0001,24.9
US1CASC0002,35.8
US1CASC0003,32.5
US1CASC0006,36.1
US1CASC0007,22.4
US1CASC0010,11.7
US1CASC0011,41.9
US1CASC0012,26.7
US1CASC0013,31.8
US1CASC0015,35.1
US1CASC0027,23.4
US1CASC0032,26.7
US1CASC0040,79.0
US1CASC0041,22.4
US1CASC0042,36.8
US1CASC0045,34.3
US1CASC0048,50.3
US1CASC0052,32.5
US1CASC0053,83.1
US1CASC0054,26.9
US1CASC0057,33.0
US1CASC0061,83.3
US1CASC0063,20.6
US1CASC0064,28.7
US1CASD0001,36.3
US1CASD0003,35.8
US1CASD0004,36.6
US1CASD0006,29.5
US1CASD0007,38.6
US1CASD0008,30.7
US1CASD0009,7.6
US1CASD0010,33.0
US1CASD0011,34.3
US1CASD0012,32.8
US1CASD0015,42.7
US1CASD0018,35.3
US1CASD0019,39.1
US1CASD0022,34.5
US1CASD0023,35.1
US1CASD0024,31.0
US1CASD0025,27.9
US1CASD0027,30.0
US1CASD0029,31.2
US1CASD0030,51.3
US1CASD0035,38.1
US1CASD0039,34.3
US1CASD0040,32.0
US1CASD0047,30.7
US1CASD0049,32.5
US1CASD0052,36.1
US1CASD0053,21.1
US1CASD0054,25.4
US1CASD0055,27.4
US1CASD0057,35.3
US1CASD0059,34.8
US1CASD0060,42.4
US1CASD0061,30.5
US1CASD0062,34.5
US1CASD0063,38.1
US1CASD0072,19.1
US1CASD0074,38.9
US1CASD0076,35.6
US1CASD0080,45.0
US1CASD0086,43.7
US1CASD0090,29.5
US1CASD0096,33.8
US1CASD0097,34.5
US1CASD0099,31.5
US1CASD0100,31.5
US1CASD0101,25.4
US1CASD0103,22.9
US1CASD0104,20.3
US1CASD0105,9.9
US1CASD0109,48.3
US1CASD0110,25.9
US1CASD0113,37.3
US1CASD0114,37.3
US1CASD0115,0.0
US1CASD0116,35.8
US1CASD0117,3.8
US1CASD0120,37.6
US1CASD0123,36.1
US1CASD0124,37.3
US1CASD0128,33.0
US1CASD0129,24.9
US1CASD0130,4.3
US1CASD0131,27.9
US1CASD0132,18.5
US1CASD0133,31.8
US1CASD0136,26.9
US1CASD0140,0.0
US1CASD0141,38.1
US1CASD0142,26.2
US1CASD0143,29.7
US1CASD0146,38.6
US1CASF0004,3.0
US1CASH0002,41.1
US1CASH0006,28.4
US1CASH0010,39.4
US1CASH0011,43.9
US1CASH0018,44.7
US1CASH0024,35.6
US1CASH0030,55.6
US1CASH0051,55.9
US1CASH0056,46.0
US1CASH0057,69.1
