Year,Fire Name,Alarm Date,Containment Date,Duration (Days),Cause,Acres,Area,Perimeter
2022,CANFIELD,2022-06-23,2022-06-23,0.0,Unknown / Unidentified,9.554518,65135.02734375,1850.4484846813
2022,CANYON,2022-06-13,2022-06-13,0.0,Miscellaneous,16.40938,105358.90625,2236.60294530803
2022,HIGHWAY,2022-07-29,2022-07-31,2.0,Arson,28.10259,167094.93359375,3772.20916184072
2022,BRUNS,2022-05-24,2022-05-24,0.0,Equipment Use,12.17408,79041.0859375,1564.27781392097
2022,CANYON,2022-06-23,2022-06-23,0.0,Miscellaneous,50.373,325599,2557.14082101876
2022,DEER,2022-07-18,2022-07-18,0.0,Arson,14.51391,94507.5234375,1774.28265616205
2022,WILLOW,2022-05-20,2022-05-20,0.0,Equipment Use,28.56241,186536.04296875,2205.78783056346
2022,HIGHLAND,2022-05-23,2022-05-23,0.0,Miscellaneous,91.53281,593837.0390625,3718.12484557159
2022,PASS,2022-05-18,2022-05-18,0.0,Vehicle,65.37904,423776.01953125,3956.83332698863
2022,MIDWAY,2022-06-21,2022-06-21,0.0,Vehicle,13.50571,87549.99609375,1587.23025419049
2022,TESLA,2022-06-23,2022-06-23,0.0,Vehicle,551.7821,3567673.48046875,9866.88744520358
2022,KIRKER,2022-06-24,2022-06-24,0.0,Vehicle,84.79446,553173.5078125,5517.33140719251
2022,FLYNN,2022-07-19,2022-07-19,0.0,Vehicle,173.7565,1125771.41015625,5923.65008110136
2022,PASS,2022-07-29,2022-07-29,0.0,Unknown / Unidentified,38.44807,249253.96875,3222.69536240286
2022,FLYNN,2022-05-15,2022-05-15,0.0,Unknown / Unidentified,131.9128,854787.015625,7418.30490708047
2022,SCENIC,2022-06-23,2022-06-23,0.0,Vehicle,120.4983,787655.02734375,5501.80102355976
2022,CAMINO,2022-08-03,2022-08-03,0.0,Unknown / Unidentified,19.18303,124655.86328125,2921.78617193272
2022,3-8 DIXON,2022-08-08,2022-08-09,1.0,Lightning,11.36938,80933.24609375,2120.06531736143
