Year,Alarm Date,Containment Date,Cause #,GIS Calculated Acres,Cause
2018,7/17/2018,7/17/2018,7,28.34346,Arson
2018,5/22/2018,5/24/2018,14,59.08208,Unknown / Unidentified
2018,6/11/2018,6/12/2018,10,11.04537,Vehicle
2018,7/6/2018,7/7/2018,9,10.41985,Miscellaneous
2018,7/6/2018,7/9/2018,14,118.0118,Unknown / Unidentified
2018,7/18/2018,7/19/2018,10,77.55305,Vehicle
2018,7/20/2018,7/23/2018,2,90.147,Equipment Use
2018,5/17/2018,5/17/2018,11,59.46514,Powerline
2018,6/3/2018,6/3/2018,11,35.76863,Powerline
2018,6/4/2018,6/12/2018,11,528.1719,Powerline
2018,6/4/2018,6/6/2018,9,266.1002,Miscellaneous
2018,6/12/2018,6/18/2018,9,194.3561,Miscellaneous
2018,7/25/2018,7/25/2018,14,38.78732,Unknown / Unidentified
2018,8/6/2018,8/7/2018,9,2222.979,Miscellaneous
2018,8/11/2018,8/11/2018,2,683.0506,Equipment Use
2018,9/1/2018,9/2/2018,11,59.66168,Powerline
2018,9/13/2018,9/15/2018,11,411.9871,Powerline
2018,2/17/2018,2/17/2018,5,15.67677,Debris
2018,6/24/2018,6/27/2018,7,10.36754,Arson
2018,6/19/2018,6/19/2018,10,12.85658,Vehicle
2018,10/13/2018,10/13/2018,2,171.9416,Equipment Use
2018,7/11/2018,7/15/2018,14,213.3461,Unknown / Unidentified
2018,7/12/2018,7/15/2018,9,110.1655,Miscellaneous
2018,6/25/2018,6/26/2018,9,287.0119,Miscellaneous
2018,11/16/2018,11/16/2018,2,1.401421,Equipment Use
2018,7/2/2018,7/2/2018,14,0.663654,Unknown / Unidentified
2018,7/23/2018,7/23/2018,14,0.007144618,Unknown / Unidentified
2018,10/31/2018,11/1/2018,2,0.2020703,Equipment Use
2018,1/31/2018,1/31/2018,14,0.02883826,Unknown / Unidentified
2018,4/14/2018,4/14/2018,14,0.3926331,Unknown / Unidentified
2018,8/4/2018,8/4/2018,9,0.05268874,Miscellaneous
2018,11/16/2018,11/16/2018,9,0.03789303,Miscellaneous
2018,1/28/2018,1/29/2018,14,1.48225,Unknown / Unidentified
2018,7/13/2018,7/13/2018,14,0.1295556,Unknown / Unidentified
2018,10/22/2018,10/22/2018,14,0.3801489,Unknown / Unidentified
2018,1/28/2018,1/29/2018,14,0.7208683,Unknown / Unidentified
2018,6/30/2018,6/30/2018,9,0.521827,Miscellaneous
2018,1/31/2018,1/31/2018,9,0.002820561,Miscellaneous
2018,6/4/2018,6/4/2018,2,1.533825,Equipment Use
2018,1/29/2018,1/29/2018,14,0.001796366,Unknown / Unidentified
2018,6/12/2018,6/12/2018,14,2.010384,Unknown / Unidentified
2018,9/26/2018,9/26/2018,9,6.311197,Miscellaneous
2018,2/25/2018,2/25/2018,14,0.2079522,Unknown / Unidentified
2018,9/18/2018,9/18/2018,14,0.003499902,Unknown / Unidentified
2018,5/7/2018,5/7/2018,14,0.3439097,Unknown / Unidentified
2018,11/8/2018,11/8/2018,14,0.6135216,Unknown / Unidentified
2018,6/19/2018,6/19/2018,14,0.3048694,Unknown / Unidentified
2018,1/20/2018,1/20/2018,14,0.6356196,Unknown / Unidentified
2018,8/25/2018,8/25/2018,9,0.07621309,Miscellaneous
2018,6/16/2018,6/16/2018,14,0.8802599,Unknown / Unidentified
2018,7/6/2018,7/6/2018,14,0.01594587,Unknown / Unidentified
2018,10/16/2018,10/16/2018,14,0.06417423,Unknown / Unidentified
2018,11/12/2018,11/14/2018,9,182.1956,Miscellaneous
2018,6/27/2018,6/28/2018,14,27.95707,Unknown / Unidentified
2018,6/30/2018,6/30/2018,14,0.1293269,Unknown / Unidentified
2018,11/15/2018,11/16/2018,14,154.4603,Unknown / Unidentified
2018,1/28/2018,1/28/2018,14,0.766014,Unknown / Unidentified
2018,9/18/2018,9/18/2018,14,60.45642,Unknown / Unidentified
2018,6/12/2018,6/12/2018,14,1.850803,Unknown / Unidentified
2018,1/3/2018,1/3/2018,14,0.03201193,Unknown / Unidentified
2018,7/2/2018,7/2/2018,14,0.2560846,Unknown / Unidentified
2018,2/15/2018,2/15/2018,9,0.1679282,Miscellaneous
2018,7/15/2018,7/15/2018,14,0.001514838,Unknown / Unidentified
2018,11/8/2018,11/8/2018,9,0.2200132,Miscellaneous
2018,11/12/2018,11/13/2018,14,10.07955,Unknown / Unidentified
2018,7/6/2018,7/6/2018,14,0.1705595,Unknown / Unidentified
2018,8/1/2018,8/1/2018,14,9.722479,Unknown / Unidentified
2018,8/20/2018,8/20/2018,14,2.230697,Unknown / Unidentified
2018,6/29/2018,6/30/2018,14,7.0504,Unknown / Unidentified
2018,6/12/2018,6/12/2018,14,7.057304,Unknown / Unidentified
2018,10/19/2018,10/19/2018,14,5.842196,Unknown / Unidentified
2018,6/28/2018,6/28/2018,2,0.0939797,Equipment Use
2018,7/30/2018,7/30/2018,9,0.2936715,Miscellaneous
2018,2/7/2018,2/7/2018,2,0.2350992,Equipment Use
2018,7/16/2018,7/16/2018,9,0.5226448,Miscellaneous
2018,8/12/2018,8/13/2018,14,15.85888,Unknown / Unidentified
2018,6/14/2018,6/14/2018,2,0.7231185,Equipment Use
2018,7/30/2018,7/30/2018,9,0.002526514,Miscellaneous
2018,7/21/2018,7/21/2018,14,1.527544,Unknown / Unidentified
2018,12/22/2017,12/22/2017,14,0.3788415,Unknown / Unidentified
2018,11/8/2018,11/22/2018,14,4310.055,Unknown / Unidentified
2018,12/21/2017,12/21/2017,14,0.01809152,Unknown / Unidentified
2018,8/4/2018,8/4/2018,14,17.67473,Unknown / Unidentified
2018,12/14/2018,12/14/2018,14,0.009721164,Unknown / Unidentified
2018,7/8/2018,7/8/2018,2,0.1438642,Equipment Use
2018,8/3/2018,8/4/2018,14,3516.185,Unknown / Unidentified
2018,5/31/2018,5/31/2018,14,0.4558595,Unknown / Unidentified
2018,2/14/2018,2/14/2018,14,0.5393313,Unknown / Unidentified
2018,8/16/2018,8/17/2018,14,111.3694,Unknown / Unidentified
2018,7/8/2018,7/9/2018,14,45.50365,Unknown / Unidentified
2018,5/28/2018,5/28/2018,14,1.762257,Unknown / Unidentified
2018,9/12/2018,9/14/2018,14,201.6082,Unknown / Unidentified
2018,4/10/2018,4/10/2018,14,4.71712,Unknown / Unidentified
2018,7/29/2018,7/29/2018,14,2.932689,Unknown / Unidentified
2018,9/11/2018,9/11/2018,14,2.366473,Unknown / Unidentified
2018,8/30/2018,8/30/2018,14,1.119159,Unknown / Unidentified
2018,6/8/2018,6/8/2018,14,29.90837,Unknown / Unidentified
2018,3/30/2018,3/30/2018,14,0.2215543,Unknown / Unidentified
2018,5/5/2018,5/5/2018,14,13.65057,Unknown / Unidentified
2018,5/31/2018,5/31/2018,14,1.946541,Unknown / Unidentified
2018,6/18/2018,6/18/2018,14,2.075565,Unknown / Unidentified
2018,6/6/2018,6/6/2018,14,19.21136,Unknown / Unidentified
2018,9/9/2018,9/12/2018,9,14.5872,Miscellaneous
2018,10/15/2018,10/26/2018,14,9.709066,Unknown / Unidentified
2018,7/24/2018,7/27/2018,14,18.63135,Unknown / Unidentified
2018,6/7/2018,6/11/2018,9,20.33479,Miscellaneous
2018,10/12/2018,10/13/2018,9,26.81759,Miscellaneous
2018,6/29/2018,8/9/2018,2,11759.62,Equipment Use
2018,6/24/2018,7/4/2018,14,163.3823,Unknown / Unidentified
2018,6/25/2018,7/5/2018,14,79.39225,Unknown / Unidentified
2018,7/16/2018,7/21/2018,7,106.9955,Arson
2018,8/6/2018,8/8/2018,10,292.3123,Vehicle
2018,9/9/2018,9/13/2018,10,574.9939,Vehicle
2018,8/5/2018,8/20/2018,14,135.9872,Unknown / Unidentified
2018,1/23/2018,1/23/2018,14,0.1679536,Unknown / Unidentified
2018,1/28/2018,1/28/2018,14,0.4142567,Unknown / Unidentified
2018,1/24/2018,1/24/2018,14,0.09832976,Unknown / Unidentified
2018,2/19/2018,2/19/2018,14,0.007379493,Unknown / Unidentified
2018,3/27/2018,3/27/2018,14,0.004819541,Unknown / Unidentified
2018,3/28/2018,3/28/2018,14,0.02353987,Unknown / Unidentified
2018,6/2/2018,6/10/2018,14,175.7186,Unknown / Unidentified
2018,6/11/2018,6/14/2018,14,154.9657,Unknown / Unidentified
2018,4/15/2018,4/15/2018,14,7.518083,Unknown / Unidentified
2018,7/11/2018,7/11/2018,14,0.2125467,Unknown / Unidentified
2018,7/9/2018,7/9/2018,14,0.3192534,Unknown / Unidentified
2018,8/5/2018,8/5/2018,14,0.740642,Unknown / Unidentified
2018,8/2/2018,8/2/2018,14,2.909111,Unknown / Unidentified
2018,8/5/2018,8/5/2018,14,0.07474243,Unknown / Unidentified
2018,9/15/2018,9/15/2018,14,0.09713092,Unknown / Unidentified
2018,2/12/2018,2/12/2018,14,0.006579902,Unknown / Unidentified
2018,9/29/2018,9/29/2018,14,0.01172807,Unknown / Unidentified
2018,11/26/2018,11/26/2018,14,0.7929642,Unknown / Unidentified
2018,6/6/2018,6/6/2018,14,1.118917,Unknown / Unidentified
2018,6/13/2018,6/13/2018,14,1.712397,Unknown / Unidentified
2018,5/28/2018,5/28/2018,14,5.426959,Unknown / Unidentified
2018,6/1/2018,6/1/2018,14,2.75961,Unknown / Unidentified
2018,5/21/2018,5/21/2018,14,12.94914,Unknown / Unidentified
2018,7/18/2018,7/21/2018,14,822.23,Unknown / Unidentified
2018,6/30/2018,7/11/2018,14,89831.15,Unknown / Unidentified
2018,6/1/2018,6/1/2018,14,12.08517,Unknown / Unidentified
2018,7/28/2018,8/1/2018,14,136.7954,Unknown / Unidentified
2018,8/10/2018,8/12/2018,9,2158.429,Miscellaneous
2018,8/26/2018,8/28/2018,14,103.5501,Unknown / Unidentified
2018,8/16/2018,8/16/2018,14,12.97519,Unknown / Unidentified
2018,8/8/2018,8/9/2018,14,40.67442,Unknown / Unidentified
2018,8/9/2018,8/9/2018,14,10.19067,Unknown / Unidentified
2018,8/30/2018,8/30/2018,14,58.4351,Unknown / Unidentified
2018,9/2/2018,9/3/2018,14,35.20044,Unknown / Unidentified
2018,7/21/2018,7/21/2018,14,50.16753,Unknown / Unidentified
2018,9/3/2018,9/3/2018,14,24.47021,Unknown / Unidentified
2018,9/8/2018,9/15/2018,14,2488.218,Unknown / Unidentified
2018,7/27/2018,8/10/2018,14,48920.39,Unknown / Unidentified
2018,7/27/2018,9/19/2018,9,410202.5,Miscellaneous
2018,6/13/2018,6/23/2018,14,156.3773,Unknown / Unidentified
2018,5/17/2018,5/18/2018,2,1260.987,Equipment Use
2018,9/14/2018,9/15/2018,14,21.58016,Unknown / Unidentified
2018,2/13/2018,2/13/2018,11,0.02526989,Powerline
2018,4/19/2018,4/20/2018,11,7.767941,Powerline
2018,5/4/2018,5/5/2018,14,17.8683,Unknown / Unidentified
2018,5/6/2018,5/6/2018,11,14.20331,Powerline
2018,6/9/2018,6/12/2018,14,175.1159,Unknown / Unidentified
2018,5/27/2018,5/27/2018,2,0.1131595,Equipment Use
2018,6/21/2018,6/21/2018,14,0.9127468,Unknown / Unidentified
2018,8/18/2018,8/18/2018,15,9.17901,Structure
2018,9/8/2018,9/8/2018,3,0.1195796,Smoking
2018,6/4/2018,6/5/2018,2,1350.647,Equipment Use
2018,10/16/2018,10/16/2018,14,2.155347,Unknown / Unidentified
2018,11/1/2018,11/1/2018,2,0.08640093,Equipment Use
2018,9/22/2018,9/23/2018,14,3350.528,Unknown / Unidentified
2018,10/10/2018,10/10/2018,11,0.1335966,Powerline
2018,10/31/2018,10/31/2018,14,1.347234,Unknown / Unidentified
2018,11/7/2018,11/14/2018,9,6.980345,Miscellaneous
2018,9/9/2018,9/9/2018,14,219.2987,Unknown / Unidentified
2018,9/29/2018,9/29/2018,14,80.10158,Unknown / Unidentified
2018,12/25/2018,12/25/2018,11,2.18085,Powerline
2018,7/29/2018,7/29/2018,2,1.116125,Equipment Use
2018,9/2/2018,9/2/2018,10,46.9971,Vehicle
2018,6/19/2018,6/19/2018,2,2.174773,Equipment Use
2018,5/15/2018,5/15/2018,3,2.701591,Smoking
2018,2/2/2018,2/2/2018,5,12.39872,Debris
2018,3/7/2018,3/7/2018,5,1.086734,Debris
2018,3/12/2018,3/12/2018,5,2.126607,Debris
2018,4/23/2018,4/23/2018,5,1.094254,Debris
2018,5/13/2018,5/13/2018,5,1.055311,Debris
2018,6/12/2018,6/12/2018,2,2.203994,Equipment Use
2018,7/15/2018,7/20/2018,1,223.8636,Lightning
2018,7/23/2018,7/26/2018,1,0.2656228,Lightning
2018,7/23/2018,7/26/2018,1,2.148668,Lightning
2018,10/10/2018,10/12/2018,2,15.11181,Equipment Use
2018,6/6/2018,6/7/2018,5,36.80684,Debris
2018,7/5/2018,7/21/2018,5,38008.79,Debris
